problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,"Alright. Guys, it is 60'clock. Welcome to your last session. Yes, this is the last one today, and so I just wanna say it's been a pleasure being with you guys all along the way. That's",2023-03-05T15:00:09.960-08:00,2023-03-05T15:00:23.830-08:00,tutor,tutor,1,,,
,,,you know. Time moves on.,2023-03-05T15:00:23.960-08:00,2023-03-05T15:00:25.810-08:00,tutor,tutor,1,,,
,,,"So we're gonna talk to you a little bit about prepping for test day. And then, obviously at the end, I will make some final remarks and just advice that I have for you guys. because, trust me, there is a lot of it.",2023-03-05T15:00:25.820-08:00,2023-03-05T15:00:37.180-08:00,tutor,tutor,1,,,
,,,I've had my fair share of Sats to know what works and what doesn't.,2023-03-05T15:00:37.190-08:00,2023-03-05T15:00:42.110-08:00,tutor,tutor,1,,,
,,,"And so i'm just gonna start off with a welcome question. How are we feeling going into test day? Are you nervous? Are you maybe confident, and also share something? You learned.",2023-03-05T15:00:42.190-08:00,2023-03-05T15:00:52.620-08:00,tutor,tutor,1,,,
,,,"pretty confident, great. Well to you that pretty good, nice.",2023-03-05T15:01:05.200-08:00,2023-03-05T15:01:09.030-08:00,tutor,tutor,1,,,
,,,more confident. That's good.,2023-03-05T15:01:12.520-08:00,2023-03-05T15:01:15.230-08:00,tutor,tutor,1,,,
,,,"All right. Well, hopefully, you have taken something from this session. But the message I have alerted a lot there with you, and I'm more confident, too. That's glad to. Here Yup and i'm sure you guys will all do really. Well, from what I've seen with these practice tests, you guys, you guys nailed it. I mean, yeah, you make your fair share of mistakes, but",2023-03-05T15:01:21.950-08:00,2023-03-05T15:01:38.270-08:00,tutor,tutor,1,,,
,,,"sometimes it's usually just like a kind of thing, and",2023-03-05T15:01:38.370-08:00,2023-03-05T15:01:41.720-08:00,tutor,tutor,1,,,
,,,I just advise you for this last practice test. You'll have half an hour. and most of you will probably finish before.,2023-03-05T15:01:41.780-08:00,2023-03-05T15:01:49.470-08:00,tutor,tutor,1,,,
,,,if you do have extra time.,2023-03-05T15:01:49.610-08:00,2023-03-05T15:01:51.450-08:00,tutor,tutor,1,,,
,,,"spend it and go back and look over the questions. All of them make sure to double check. Okay. So treat this practice test like the real thing. Okay, because",2023-03-05T15:01:51.900-08:00,2023-03-05T15:02:03.480-08:00,tutor,tutor,1,,,
,,,"you know, even if you and maybe you'll run out of time. Maybe then you need to work on your time management, right? But just do what you can. All right. I believe in you and remember",2023-03-05T15:02:03.520-08:00,2023-03-05T15:02:14.160-08:00,tutor,tutor,1,,,
,,,the grittens right.,2023-03-05T15:02:14.220-08:00,2023-03-05T15:02:16.940-08:00,tutor,tutor,1,,,
