problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,Hello.,2023-02-16T14:57:27.980-08:00,2023-02-16T14:57:28.730-08:00,tutor,tutor,1,,,
,,,Hi! Everyone! How's it going?,2023-02-16T15:00:22.850-08:00,2023-02-16T15:00:24.330-08:00,tutor,tutor,1,,,
,,,"Okay, guys, I I haven't told you you are supposed to have your camera on if you can, so. if possible. Could you guys turn those on?",2023-02-16T15:01:08.260-08:00,2023-02-16T15:01:15.710-08:00,tutor,tutor,1,,,
,,,No. it started,2023-02-16T15:01:42.500-08:00,2023-02-16T15:01:43.870-08:00,tutor,tutor,1,,,
,,,interesting.,2023-02-16T15:01:43.990-08:00,2023-02-16T15:01:44.860-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-16T15:02:20.240-08:00,2023-02-16T15:02:20.850-08:00,tutor,tutor,1,,,
,,,So,2023-02-16T15:02:21.650-08:00,2023-02-16T15:02:22.730-08:00,tutor,tutor,1,,,
,,,"okay, Guys day 2 0f this session now.",2023-02-16T15:02:30.050-08:00,2023-02-16T15:02:32.780-08:00,tutor,tutor,1,,,
,,,So,2023-02-16T15:02:32.810-08:00,2023-02-16T15:02:33.860-08:00,tutor,tutor,1,,,
,,,do you ever want to go around and say one word about how they're feeling about. The math sat so far.,2023-02-16T15:02:35.140-08:00,2023-02-16T15:02:40.470-08:00,tutor,tutor,1,,,
,,,I,2023-02-16T15:02:49.850-08:00,2023-02-16T15:02:51.490-08:00,tutor,tutor,1,,,
,,,i'm a little bit nervous. It's i'm not that good to ask. So,2023-02-16T15:02:52.020-08:00,2023-02-16T15:02:56.240-08:00,student,student A,1,,,
,,,"yes, we can move on.",2023-02-16T15:03:11.890-08:00,2023-02-16T15:03:13.340-08:00,tutor,tutor,1,,,
,,,"Okay. So for today we're going to review some sat testing tips to targeted group practice. Another practice test today with that calculator this time, and then review that once we're done.",2023-02-16T15:03:14.250-08:00,2023-02-16T15:03:25.140-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-16T15:03:33.640-08:00,2023-02-16T15:03:34.310-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-16T15:03:37.730-08:00,2023-02-16T15:03:39.130-08:00,tutor,tutor,1,,,
,,,"the tip, the first tip is to answer every question.",2023-02-16T15:03:41.760-08:00,2023-02-16T15:03:44.630-08:00,tutor,tutor,1,,,
,,,is it? There's no penalty for putting the wrong answer.,2023-02-16T15:03:44.710-08:00,2023-02-16T15:03:48.380-08:00,tutor,tutor,1,,,
,,,So,2023-02-16T15:03:48.890-08:00,2023-02-16T15:03:49.800-08:00,tutor,tutor,1,,,
,,,answer every question.,2023-02-16T15:03:51.110-08:00,2023-02-16T15:03:52.560-08:00,tutor,tutor,1,,,
,,,The useful strategies to guess the same letter every time.,2023-02-16T15:03:55.470-08:00,2023-02-16T15:03:58.840-08:00,tutor,tutor,1,,,
,,,You'll get,2023-02-16T15:03:59.870-08:00,2023-02-16T15:04:01.190-08:00,tutor,tutor,1,,,
,,,on average 25% of those correct,2023-02-16T15:04:01.650-08:00,2023-02-16T15:04:04.070-08:00,tutor,tutor,1,,,
,,,"that number 2 is go for the money. All the questions are worth the same value. So focus on easy questions first and maximize points. Don't be afraid to skip problems and come back as a rule of thumb, skip the question if it takes more than one t0 2 min",2023-02-16T15:04:07.050-08:00,2023-02-16T15:04:21.140-08:00,tutor,tutor,1,,,
,,,user remaining time at the end to go back and work on hard questions.,2023-02-16T15:04:21.410-08:00,2023-02-16T15:04:25.170-08:00,tutor,tutor,1,,,
,,,Tip number 3 is difficulty overview.,2023-02-16T15:04:28.940-08:00,2023-02-16T15:04:31.570-08:00,tutor,tutor,1,,,
