problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,"Hi, everyone, i'm just gonna share my screen. Now.",2023-02-23T14:30:29.210-08:00,2023-02-23T14:30:32.870-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-23T14:30:42.950-08:00,2023-02-23T14:30:43.900-08:00,tutor,tutor,1,,,
,,,Can everyone see? Just give me a thumbs up?,2023-02-23T14:30:47.970-08:00,2023-02-23T14:30:50.380-08:00,tutor,tutor,1,,,
,,,Everyone could turn on their camera. That'd be great,2023-02-23T14:30:53.300-08:00,2023-02-23T14:30:55.580-08:00,tutor,tutor,1,,,
,,,cool. Okay.,2023-02-23T14:31:03.060-08:00,2023-02-23T14:31:04.960-08:00,tutor,tutor,1,,,
,,,So,2023-02-23T14:31:05.170-08:00,2023-02-23T14:31:06.120-08:00,tutor,tutor,1,,,
,,,"we'll just do the welcome slides real quick, and then we'll just go into the",2023-02-23T14:31:06.460-08:00,2023-02-23T14:31:10.610-08:00,tutor,tutor,1,,,
,,,"curriculum. As for usual, on that, it's around day.",2023-02-23T14:31:11.360-08:00,2023-02-23T14:31:15.110-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-23T14:31:17.010-08:00,2023-02-23T14:31:19.250-08:00,tutor,tutor,1,,,
,,,"okay. So the question is, what feedback do you have so far for the Sat boot camp. and so you can share in the chat or out loud, if you want.",2023-02-23T14:31:20.670-08:00,2023-02-23T14:31:31.550-08:00,tutor,tutor,1,,,
,,,or you can just put a little emoji like on the slide.,2023-02-23T14:31:31.590-08:00,2023-02-23T14:31:35.390-08:00,tutor,tutor,1,,,
,,,"just like any like favorite things, things that",2023-02-23T14:31:35.440-08:00,2023-02-23T14:31:38.780-08:00,tutor,tutor,1,,,
,,,we think that you think can be improved just anything like that.,2023-02-23T14:31:39.060-08:00,2023-02-23T14:31:42.770-08:00,tutor,tutor,1,,,
,,,Take like,2023-02-23T14:31:45.230-08:00,2023-02-23T14:31:46.210-08:00,tutor,tutor,1,,,
,,,about 2 min.,2023-02-23T14:31:47.800-08:00,2023-02-23T14:31:49.770-08:00,tutor,tutor,1,,,
,,,and if you wanna and raise your hand if you want to say that lab.,2023-02-23T14:31:50.330-08:00,2023-02-23T14:31:53.360-08:00,tutor,tutor,1,,,
,,,"But if you're talking to chat, it's fine.",2023-02-23T14:31:53.400-08:00,2023-02-23T14:31:55.260-08:00,tutor,tutor,1,,,
,,,Also in my,2023-02-23T14:32:02.900-08:00,2023-02-23T14:32:04.510-08:00,tutor,tutor,1,,,
