problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Hello, [STUDENT_5] and [STUDENT_5].",2023-02-26T09:57:42.850-08:00,2023-02-26T09:57:45.000-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-26T09:57:45.670-08:00,2023-02-26T09:57:46.560-08:00,student,student A,1,,,
,,,Sounds like a company name.,2023-02-26T09:57:47.260-08:00,2023-02-26T09:57:48.770-08:00,student,student B,1,,,
,,,"Hey, Tuberia!",2023-02-26T09:57:52.730-08:00,2023-02-26T09:57:53.880-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-26T09:58:00.560-08:00,2023-02-26T09:58:01.900-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-26T09:58:03.380-08:00,2023-02-26T09:58:04.530-08:00,student,student C,1,,,
,,,"Hello, [STUDENT_9]!",2023-02-26T09:59:01.190-08:00,2023-02-26T09:59:02.259-08:00,tutor,tutor,1,,,
,,,Give me a wait like Commit it.,2023-02-26T10:00:11.140-08:00,2023-02-26T10:00:13.700-08:00,tutor,tutor,1,,,
,,,Point 6 people.,2023-02-26T10:00:14.930-08:00,2023-02-26T10:00:16.240-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_3].",2023-02-26T10:01:02.500-08:00,2023-02-26T10:01:03.660-08:00,tutor,tutor,1,,,
,,,Yeah. I guess anyone who joins up to now on that,2023-02-26T10:01:11.440-08:00,2023-02-26T10:01:16.500-08:00,tutor,tutor,1,,,
,,,it to see the Weekly Daily or,2023-02-26T10:01:17.030-08:00,2023-02-26T10:01:20.730-08:00,tutor,tutor,1,,,
,,,Bi Weekly. I don't know. What do you? What do you call something that happens,2023-02-26T10:01:21.550-08:00,2023-02-26T10:01:25.480-08:00,tutor,tutor,1,,,
,,,twice a week?,2023-02-26T10:01:25.620-08:00,2023-02-26T10:01:26.940-08:00,tutor,tutor,1,,,
,,,My weekly random question of the day. That,2023-02-26T10:01:28.780-08:00,2023-02-26T10:01:32.410-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-26T10:01:33.240-08:00,2023-02-26T10:01:36.170-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-26T10:01:36.240-08:00,2023-02-26T10:01:36.850-08:00,tutor,tutor,1,,,
,,,"So week, 3 day, 2",2023-02-26T10:01:37.350-08:00,2023-02-26T10:01:41.020-08:00,tutor,tutor,1,,,
,,,"of what this is. The third to last day i'll see, you guys. So we're halfway through it. Which is",2023-02-26T10:01:41.550-08:00,2023-02-26T10:01:49.190-08:00,tutor,tutor,1,,,
,,,"interesting. So question for today, or what is a",2023-02-26T10:01:50.760-08:00,2023-02-26T10:01:56.070-08:00,tutor,tutor,1,,,
,,,big challenge you have face. And how did you overcoming one big chance for me was like,2023-02-26T10:01:56.420-08:00,2023-02-26T10:02:04.050-08:00,tutor,tutor,1,,,
,,,no definitely studying,2023-02-26T10:02:04.290-08:00,2023-02-26T10:02:05.600-08:00,tutor,tutor,1,,,
,,,"Oops standing for s 80. I think it was a big chance for me, and then",2023-02-26T10:02:06.100-08:00,2023-02-26T10:02:10.390-08:00,tutor,tutor,1,,,
