problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,Hello!,2023-02-26T13:55:54.330-08:00,2023-02-26T13:55:55.410-08:00,student,student A,1,,,
,,,Can you hear me?,2023-02-26T13:56:07.930-08:00,2023-02-26T13:56:09.330-08:00,student,student A,1,,,
,,,Oh.,2023-02-26T13:56:29.680-08:00,2023-02-26T13:56:31.160-08:00,tutor,tutor,1,,,
,,,"maybe try reconnecting to audio or leaving, and then rejoining the meeting. But if it persists you can all continue using the chat function.",2023-02-26T13:56:34.990-08:00,2023-02-26T13:56:46.200-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_11]!",2023-02-26T13:57:28.650-08:00,2023-02-26T13:57:29.960-08:00,tutor,tutor,1,,,
,,,"Hey, Michelle!",2023-02-26T13:58:04.080-08:00,2023-02-26T13:58:05.220-08:00,tutor,tutor,1,,,
,,,Hi! How are you?,2023-02-26T13:58:12.390-08:00,2023-02-26T13:58:13.760-08:00,student,student B,1,,,
,,,I'm. Good thanks for asking. How are you?,2023-02-26T13:58:14.080-08:00,2023-02-26T13:58:16.300-08:00,student,student B,1,,,
,,,I'm. Pretty good.,2023-02-26T13:58:17.550-08:00,2023-02-26T13:58:18.860-08:00,student,student B,1,,,
,,,"Hi, Jed!",2023-02-26T13:59:24.600-08:00,2023-02-26T13:59:25.520-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_7]. Hi, [STUDENT_12]!",2023-02-26T14:00:13.070-08:00,2023-02-26T14:00:15.090-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_8]!",2023-02-26T14:00:48.090-08:00,2023-02-26T14:00:49.370-08:00,tutor,tutor,1,,,
,,,"Okay, we'll go ahead and get started now. Hello, everyone. I hope you've got Have been having a great day. Welcome to our sixth session.",2023-02-26T14:01:07.920-08:00,2023-02-26T14:01:18.480-08:00,tutor,tutor,1,,,
,,,"Yep. So before we start once again, I highly recommend you all to turn on your cameras and feel free to unmute whenever you like to interrupt me to ask questions, or, you know, comment anything.",2023-02-26T14:01:19.230-08:00,2023-02-26T14:01:31.720-08:00,tutor,tutor,1,,,
,,,"But yeah, let's get started. So",2023-02-26T14:01:32.280-08:00,2023-02-26T14:01:35.950-08:00,tutor,tutor,1,,,
,,,once again we'll have our fun. Little icebreaker.,2023-02-26T14:01:39.270-08:00,2023-02-26T14:01:43.250-08:00,tutor,tutor,1,,,
,,,"really quick, and",2023-02-26T14:01:43.550-08:00,2023-02-26T14:01:45.790-08:00,tutor,tutor,1,,,
,,,so,2023-02-26T14:01:47.440-08:00,2023-02-26T14:01:48.460-08:00,tutor,tutor,1,,,
,,,share my screen.,2023-02-26T14:01:52.220-08:00,2023-02-26T14:01:53.400-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-26T14:02:03.690-08:00,2023-02-26T14:02:04.430-08:00,tutor,tutor,1,,,
,,,"Okay. So this is week, 3 day, 2, and",2023-02-26T14:02:16.850-08:00,2023-02-26T14:02:21.810-08:00,tutor,tutor,1,,,
,,,"our welcome question for today our little icebreaker will be kind of about obstacles. And how you guys have experienced a pretty difficult challenge, or really big obstacle in your life.",2023-02-26T14:02:21.880-08:00,2023-02-26T14:02:35.870-08:00,tutor,tutor,1,,,
,,,"and like how you approach to overcoming it. And yeah, so this can be about anything like from academics to sports, to just",2023-02-26T14:02:35.870-08:00,2023-02-26T14:02:44.100-08:00,tutor,tutor,1,,,
,,,honestly anything like.,2023-02-26T14:02:44.130-08:00,2023-02-26T14:02:45.780-08:00,tutor,tutor,1,,,
,,,So does anyone want to volunteer to go first?,2023-02-26T14:02:46.510-08:00,2023-02-26T14:02:49.810-08:00,tutor,tutor,1,,,
,,,I'll go.,2023-02-26T14:03:08.840-08:00,2023-02-26T14:03:09.690-08:00,student,student C,1,,,
,,,Okay.,2023-02-26T14:03:09.930-08:00,2023-02-26T14:03:10.600-08:00,tutor,tutor,1,,,
,,,"Okay. So I don't know if this is like entirely related, but I used to have like the weirdest, like",2023-02-26T14:03:11.390-08:00,2023-02-26T14:03:16.810-08:00,student,student C,1,,,
,,,fear of dolls for a long time.,2023-02-26T14:03:17.060-08:00,2023-02-26T14:03:19.570-08:00,student,student C,1,,,
,,,"and then recently I kinda got out over it like I went to like an escaped room. It was like doll themed not voluntarily, by the way, I was kind of forced into it.",2023-02-26T14:03:20.030-08:00,2023-02-26T14:03:29.860-08:00,student,student C,1,,,
,,,"So i'm not really that intimidated by them, you guys anymore.",2023-02-26T14:03:30.270-08:00,2023-02-26T14:03:35.510-08:00,student,student C,1,,,
,,,"Okay, that's awesome. I've always been freaked out by dolls like I've always been confused by this horror movies where the main character, like Alex Dolls, i'm like so confused by that. But you want to go ahead and choose someone else.",2023-02-26T14:03:36.530-08:00,2023-02-26T14:03:49.150-08:00,tutor,tutor,1,,,
,,,"I think, Rachel.",2023-02-26T14:03:51.570-08:00,2023-02-26T14:03:52.900-08:00,student,student C,1,,,
,,,something kind of challenging that I faced was recently. I've been trying to get a job and,2023-02-26T14:03:56.360-08:00,2023-02-26T14:04:03.940-08:00,student,student B,1,,,
,,,it I just don't have like any experience at all. So it's been kind of hard. But I just got one recently. So,2023-02-26T14:04:04.500-08:00,2023-02-26T14:04:11.770-08:00,student,student B,1,,,
,,,yeah.,2023-02-26T14:04:13.240-08:00,2023-02-26T14:04:13.890-08:00,student,student B,1,,,
,,,and I pick,2023-02-26T14:04:16.470-08:00,2023-02-26T14:04:19.260-08:00,student,student B,1,,,
,,,[STUDENT_12] to your next.,2023-02-26T14:04:20.630-08:00,2023-02-26T14:04:22.520-08:00,student,student B,1,,,
,,,"I mean, like one of a big challenge that I faced is probably like getting",2023-02-26T14:04:25.390-08:00,2023-02-26T14:04:31.160-08:00,student,student D,1,,,
,,,a good mild time for track season.,2023-02-26T14:04:31.220-08:00,2023-02-26T14:04:35.110-08:00,student,student D,1,,,
,,,"and I overcame it well, like I wasn't able to get like under 7 min. But I over came up by like practicing and stuff like that. I don't know if that's like",2023-02-26T14:04:35.380-08:00,2023-02-26T14:04:44.910-08:00,student,student D,1,,,
,,,"big challenge, though. But yeah.",2023-02-26T14:04:45.120-08:00,2023-02-26T14:04:47.480-08:00,student,student D,1,,,
,,,that's awesome congrats.,2023-02-26T14:04:47.510-08:00,2023-02-26T14:04:49.080-08:00,tutor,tutor,1,,,
,,,"Thanks. I'll choose, [STUDENT_11].",2023-02-26T14:04:49.820-08:00,2023-02-26T14:04:53.010-08:00,student,student D,1,,,
,,,I think the hardest challenge I've overcome academically so far has been just like,2023-02-26T14:04:54.590-08:00,2023-02-26T14:05:01.560-08:00,student,student E,1,,,
,,,"feeling really on motivated at a certain point, and just not wanting to do my work anymore. And I feel like I've overcome it somewhat",2023-02-26T14:05:02.100-08:00,2023-02-26T14:05:13.070-08:00,student,student E,1,,,
,,,"just by giving myself goals almost, and making myself reach them.",2023-02-26T14:05:13.630-08:00,2023-02-26T14:05:19.930-08:00,student,student E,1,,,
,,,And has Jack gone?,2023-02-26T14:05:20.990-08:00,2023-02-26T14:05:23.840-08:00,student,student E,1,,,
,,,Yeah.,2023-02-26T14:05:24.430-08:00,2023-02-26T14:05:25.090-08:00,tutor,tutor,1,,,
,,,"Okay, yeah, that's awesome. Yeah, I used to be really scared of presenting in front of people as well. That was a big issue for me, too.",2023-02-26T14:05:35.140-08:00,2023-02-26T14:05:42.420-08:00,tutor,tutor,1,,,
,,,"Jet, do you want to go ahead and choose someone else to go",2023-02-26T14:05:43.200-08:00,2023-02-26T14:05:45.850-08:00,tutor,tutor,1,,,
,,,for me? I would say a big challenger.,2023-02-26T14:05:50.090-08:00,2023-02-26T14:05:53.090-08:00,tutor,tutor,1,,,
,,,the probably I struggle like a bounded test for math.,2023-02-26T14:05:53.130-08:00,2023-02-26T14:05:58.140-08:00,student,student F,1,,,
,,,"And so I had to like, go back and rest about the material for the final and just studying and reaching out to people that definitely helped.",2023-02-26T14:05:58.270-08:00,2023-02-26T14:06:06.520-08:00,student,student F,1,,,
,,,You want to go ahead and choose someone else. [STUDENT_8].,2023-02-26T14:06:17.310-08:00,2023-02-26T14:06:19.380-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, sorry. It has [STUDENT_7] gone.",2023-02-26T14:06:20.450-08:00,2023-02-26T14:06:24.320-08:00,student,student F,1,,,
,,,Okay. So this Isn't: really a big challenge. But recently I have been struggling with learning a new,2023-02-26T14:06:27.430-08:00,2023-02-26T14:06:34.470-08:00,student,student G,1,,,
,,,"dance move, and so it's called a switch leap, and so it's really difficult, so I overcame it by asking other people around me how to do it, and just kept on practicing it.",2023-02-26T14:06:34.600-08:00,2023-02-26T14:06:45.230-08:00,student,student G,1,,,
,,,Awesome.,2023-02-26T14:06:46.090-08:00,2023-02-26T14:06:47.000-08:00,tutor,tutor,1,,,
,,,harsh.,2023-02-26T14:06:47.280-08:00,2023-02-26T14:06:48.860-08:00,student,student G,1,,,
,,,"A big challenge that I faced was like the fear of dark. Sorry, the fear of the dark, and I just kind of like close myself in my room, and then I like going to turn on the light, and I was like there's nothing done like nothing's going to happen.",2023-02-26T14:06:51.260-08:00,2023-02-26T14:07:04.200-08:00,student,student H,1,,,
,,,and I just like overcame it like that,2023-02-26T14:07:04.430-08:00,2023-02-26T14:07:06.570-08:00,student,student H,1,,,
