problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Alright, Hi! Guys. Is that",2023-02-25T12:09:12.370-08:00,2023-02-25T12:09:13.790-08:00,tutor,tutor,1,,,
,,,better?,2023-02-25T12:09:15.040-08:00,2023-02-25T12:09:15.750-08:00,tutor,tutor,1,,,
,,,"Okay, now we shouldn't hear any echo. Oh, sorry about that.",2023-02-25T12:09:26.950-08:00,2023-02-25T12:09:31.530-08:00,tutor,tutor,1,,,
,,,"So I did say before, but",2023-02-25T12:09:36.140-08:00,2023-02-25T12:09:38.680-08:00,tutor,tutor,1,,,
,,,obviously it didn't go through.,2023-02-25T12:09:38.880-08:00,2023-02-25T12:09:40.400-08:00,tutor,tutor,1,,,
,,,"We are going to be taking practice to be one today. We're going to get started straight with that, and then go over any questions you guys might have had on those practice tests. If you have any pro.",2023-02-25T12:09:40.470-08:00,2023-02-25T12:09:51.450-08:00,tutor,tutor,1,,,
,,,"if you have any questions on any practice you have done in the past. Please let me know beforehand we can get started on that before, so if there is anything you can put in the chat or let me know.",2023-02-25T12:09:52.590-08:00,2023-02-25T12:10:02.660-08:00,tutor,tutor,1,,,
,,,"Otherwise, we are going to get started",2023-02-25T12:10:03.500-08:00,2023-02-25T12:10:05.570-08:00,tutor,tutor,1,,,
,,,settings. Work?,2023-02-25T12:10:07.350-08:00,2023-02-25T12:10:08.880-08:00,tutor,tutor,1,,,
,,,No questions.,2023-02-25T12:10:14.560-08:00,2023-02-25T12:10:15.740-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-25T12:10:16.830-08:00,2023-02-25T12:10:17.460-08:00,tutor,tutor,1,,,
,,,I can't share.,2023-02-25T12:10:22.110-08:00,2023-02-25T12:10:22.960-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-25T12:10:23.050-08:00,2023-02-25T12:10:23.790-08:00,tutor,tutor,1,,,
,,,"Can you all just quickly pull up the assessments, Tab. You don't need to go into it just yet.",2023-02-25T12:10:49.300-08:00,2023-02-25T12:10:56.180-08:00,tutor,tutor,1,,,
,,,"if you have it, though that would be lovely.",2023-02-25T12:10:56.380-08:00,2023-02-25T12:10:59.190-08:00,tutor,tutor,1,,,
,,,"If not, that's fine.",2023-02-25T12:10:59.360-08:00,2023-02-25T12:11:01.670-08:00,tutor,tutor,1,,,
,,,But if you could pull up ahead of time.,2023-02-25T12:11:03.580-08:00,2023-02-25T12:11:05.620-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-25T12:11:06.760-08:00,2023-02-25T12:11:07.420-08:00,tutor,tutor,1,,,
,,,"generally, how are we feeling going into the sat in about a week?",2023-02-25T12:11:18.060-08:00,2023-02-25T12:11:22.700-08:00,tutor,tutor,1,,,
,,,Ish.,2023-02-25T12:11:22.830-08:00,2023-02-25T12:11:23.620-08:00,tutor,tutor,1,,,
,,,Good.,2023-02-25T12:11:30.200-08:00,2023-02-25T12:11:30.920-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-25T12:11:31.080-08:00,2023-02-25T12:11:31.850-08:00,tutor,tutor,1,,,
,,,How's the reading portion? I know we don't work on reading in here.,2023-02-25T12:11:36.110-08:00,2023-02-25T12:11:39.020-08:00,tutor,tutor,1,,,
,,,But how many of you feel more confident with reading over math,2023-02-25T12:11:40.260-08:00,2023-02-25T12:11:42.970-08:00,tutor,tutor,1,,,
,,,Zoom.,2023-02-25T12:11:59.830-08:00,2023-02-25T12:12:00.720-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-25T12:12:01.510-08:00,2023-02-25T12:12:03.440-08:00,tutor,tutor,1,,,
,,,Better not reading. Okay.,2023-02-25T12:12:21.560-08:00,2023-02-25T12:12:23.170-08:00,tutor,tutor,1,,,
,,,Good to know. So,2023-02-25T12:12:23.440-08:00,2023-02-25T12:12:25.780-08:00,tutor,tutor,1,,,
,,,okay,2023-02-25T12:12:29.290-08:00,2023-02-25T12:12:31.170-08:00,tutor,tutor,1,,,
,,,"screen now, so welcome to week. 3 day one",2023-02-25T12:12:31.210-08:00,2023-02-25T12:12:34.570-08:00,tutor,tutor,1,,,
,,,"your schoolhouse portfolio. By the way, if you ever want to be coming to you, you are a tutor.",2023-02-25T12:12:35.980-08:00,2023-02-25T12:12:41.870-08:00,tutor,tutor,1,,,
,,,"There are special places to put them on like your mit application or your Chicago app. Just so that you know a lot of colleges are looking for. If you have a certification and calculus or statistics most specifically, but having any sort of",2023-02-25T12:12:42.030-08:00,2023-02-25T12:12:55.460-08:00,tutor,tutor,1,,,
,,,"volunteer work on school House, or any sort of tutoring done.",2023-02-25T12:12:55.530-08:00,2023-02-25T12:12:59.700-08:00,tutor,tutor,1,,,
,,,"No, it's just it. It looks nice.",2023-02-25T12:12:59.770-08:00,2023-02-25T12:13:01.850-08:00,tutor,tutor,1,,,
,,,"We did targeted group practice last week, so we are going to get into the practice test.",2023-02-25T12:13:04.210-08:00,2023-02-25T12:13:09.100-08:00,tutor,tutor,1,,,
,,,and that is assigned. We are going to work through. B one. Okay.,2023-02-25T12:13:09.289-08:00,2023-02-25T12:13:13.500-08:00,tutor,tutor,1,,,
,,,Do you all have that up access to it? Because I'm going to start the timer for that.,2023-02-25T12:13:13.929-08:00,2023-02-25T12:13:18.310-08:00,tutor,tutor,1,,,
,,,Yes. Okay.,2023-02-25T12:13:23.710-08:00,2023-02-25T12:13:24.820-08:00,tutor,tutor,1,,,
,,,What will I throw up the timers?,2023-02-25T12:13:26.520-08:00,2023-02-25T12:13:29.230-08:00,tutor,tutor,1,,,
,,,"Let's share a bit about your future plans. If you have a dream job or a dream career, what might that be, and why",2023-02-25T12:13:29.300-08:00,2023-02-25T12:13:36.200-08:00,tutor,tutor,1,,,
,,,anyone,2023-02-25T12:13:48.430-08:00,2023-02-25T12:13:49.200-08:00,tutor,tutor,1,,,
,,,I can. I can go first. That's cool.,2023-02-25T12:13:49.310-08:00,2023-02-25T12:13:51.810-08:00,student,student A,1,,,
,,,"Yeah, go ahead",2023-02-25T12:13:51.910-08:00,2023-02-25T12:13:53.090-08:00,tutor,tutor,1,,,
,,,"for me. It's it's commercial acting and a little bit of business in there as well, just because",2023-02-25T12:13:53.410-08:00,2023-02-25T12:14:01.910-08:00,student,student A,1,,,
,,,I have found I really enjoy,2023-02-25T12:14:01.940-08:00,2023-02-25T12:14:05.520-08:00,student,student A,1,,,
,,,"stepping into different worlds, and allowing and giving others sort of the",2023-02-25T12:14:05.640-08:00,2023-02-25T12:14:10.630-08:00,student,student A,1,,,
,,,the experience of,2023-02-25T12:14:11.280-08:00,2023-02-25T12:14:13.580-08:00,student,student A,1,,,
,,,"experiencing, not reality. If that makes sense.",2023-02-25T12:14:14.160-08:00,2023-02-25T12:14:17.770-08:00,student,student A,1,,,
,,,"Okay, sort of like being able to take a step back from what's actually happening",2023-02-25T12:14:19.200-08:00,2023-02-25T12:14:23.450-08:00,tutor,tutor,1,,,
,,,to get into your own space that you purposely chose.,2023-02-25T12:14:23.760-08:00,2023-02-25T12:14:27.460-08:00,tutor,tutor,1,,,
