problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Hi, guys, we'll just wait for a couple of people to show up.",2023-03-04T16:00:48.990-08:00,2023-03-04T16:00:52.300-08:00,tutor,tutor,1,,,
,,,How's everyone doing?,2023-03-04T16:01:05.110-08:00,2023-03-04T16:01:06.600-08:00,tutor,tutor,1,,,
,,,Hey? Good! How about you?,2023-03-04T16:01:09.490-08:00,2023-03-04T16:01:10.730-08:00,student,student A,1,,,
,,,I'm. Good. I'm. Good. It's our last session together so little bit sad about that. I've I've been enjoying teaching you guys. it's really fun.,2023-03-04T16:01:11.380-08:00,2023-03-04T16:01:20.380-08:00,tutor,tutor,1,,,
,,,"Yeah. So today i'll just like over the lesson time real quick. So basically it's going to be a bit more simple. We're just going to start off with a practice test because it's a 30 min test, so it'll take a little bit longer, and then we go into, you know, looking over that practice test. If we have time you'll go over a couple of spare problems that I had. But",2023-03-04T16:01:26.970-08:00,2023-03-04T16:01:44.360-08:00,tutor,tutor,1,,,
,,,"you know, if we don't, that's okay as well. And then, after that we have 10 min where we just go over some testing tips. What to do in test day before test day, like just, I believe the night before, maybe, and anything like else you guys would like to know about the sat. You can ask me. In general.",2023-03-04T16:01:44.370-08:00,2023-03-04T16:02:00.980-08:00,tutor,tutor,1,,,
,,,"It's pretty pretty chill, obviously, this one. I just want to make sure everyone's feeling comfortable with it.",2023-03-04T16:02:01.110-08:00,2023-03-04T16:02:05.779-08:00,tutor,tutor,1,,,
,,,How are you? Can you turn your camera on?,2023-03-04T16:02:22.150-08:00,2023-03-04T16:02:24.280-08:00,tutor,tutor,1,,,
,,,"I think we should be waiting for a couple of more people, but you know we can start. They can come in as",2023-03-04T16:02:31.290-08:00,2023-03-04T16:02:36.960-08:00,tutor,tutor,1,,,
,,,"they will. So I was just explaining to people who are here a little bit earlier that the lesson plan is, we have 30 min of just going through a practice test on the final practice test. Then 30 min of going over that, and then the last 10 min will be dedicated to testing tips and",2023-03-04T16:02:37.130-08:00,2023-03-04T16:02:52.490-08:00,tutor,tutor,1,,,
,,,"what you might want to do just before testing day, the the morning of testing day, and any like general things that I I would advise you guys to do as well.",2023-03-04T16:02:52.490-08:00,2023-03-04T16:03:00.260-08:00,tutor,tutor,1,,,
,,,So what we're gonna do is start with that practice test. It's a little bit different from other sessions. Can everyone just go to the Boot Camp Series Page I'm. Going to activate the practice test. Now it should be Assessment B 3.,2023-03-04T16:03:00.280-08:00,2023-03-04T16:03:12.480-08:00,tutor,tutor,1,,,
,,,Can everyone see that?,2023-03-04T16:03:17.890-08:00,2023-03-04T16:03:19.360-08:00,tutor,tutor,1,,,
,,,"Okay, great. And this is a calculator paper. So if everyone get their calculators out, i'll set up the time until then.",2023-03-04T16:03:24.910-08:00,2023-03-04T16:03:31.790-08:00,tutor,tutor,1,,,
,,,"All right. So this is the final time. I will tell you guys. You can start so good luck, everyone. You have 30 min, and you may begin",2023-03-04T16:04:00.710-08:00,2023-03-04T16:04:09.510-08:00,tutor,tutor,1,,,
,,,about a minute left. Just make sure you check your access before submitting,2023-03-04T16:32:59.320-08:00,2023-03-04T16:33:03.140-08:00,tutor,tutor,1,,,
,,,"also with the first question. I believe that there weren't really there was some confusion with the answer choices. Don't worry, Just share the correct answer afterwards. But if you get it wrong, don't worry about it. What it's meant to say is the option. Seeing options. You have to say maximum instead of minimum",2023-03-04T16:33:03.350-08:00,2023-03-04T16:33:18.810-08:00,tutor,tutor,1,,,
,,,"alright. Time's up, and everyone just submit their answers.",2023-03-04T16:34:12.870-08:00,2023-03-04T16:34:17.070-08:00,tutor,tutor,1,,,
,,,"All right. So that test is actually quite difficult. It was one of the harder tests for sure. And so if you didn't do so, well don't worry about it. I honestly think that you know even I made a couple of mistakes because I wasn't too sure how to do it. And yeah.",2023-03-04T16:34:26.210-08:00,2023-03-04T16:34:41.950-08:00,tutor,tutor,1,,,
,,,someone mentioned that they didn't have enough time perfectly understandable. This was quite a rush test.,2023-03-04T16:34:42.050-08:00,2023-03-04T16:34:46.770-08:00,tutor,tutor,1,,,
,,,"So what we're going to do is go over it, you know. Learn from these mistakes. Remember that this is not your final test score. So",2023-03-04T16:34:46.780-08:00,2023-03-04T16:34:53.240-08:00,tutor,tutor,1,,,
,,,it's not a reflection of anything like that. So let me just share my screen. We have plenty of time to go over it,2023-03-04T16:34:53.280-08:00,2023-03-04T16:35:00.880-08:00,tutor,tutor,1,,,
,,,all right. So this is the test you guys completed.,2023-03-04T16:35:08.840-08:00,2023-03-04T16:35:11.720-08:00,tutor,tutor,1,,,
,,,"So does anyone have anything right off the bat? They want me to get started with, or Shall I? Just, you know, pick whatever I think",2023-03-04T16:35:12.360-08:00,2023-03-04T16:35:18.860-08:00,tutor,tutor,1,,,
,,,stood out.,2023-03-04T16:35:20.740-08:00,2023-03-04T16:35:21.670-08:00,tutor,tutor,1,,,
,,,Nothing is yet,2023-03-04T16:35:28.650-08:00,2023-03-04T16:35:29.900-08:00,tutor,tutor,1,,,
,23.0,1.0,Okay. So I first person just told me to go over 5.,2023-03-04T16:35:34.060-08:00,2023-03-04T16:35:38.440-08:00,tutor,tutor,2,,23.0,
,,,"So 5 is this one over here, right the one with X and Y and that table. So we're told that we have x going up as a 3, a 5 a. Whereas y is going up, we'll going down like this 0 minus a 2 minus 2, a. So telling us that we have a linear relationship. When we have a linear relationship.",2023-03-04T16:35:38.740-08:00,2023-03-04T16:35:57.940-08:00,tutor,tutor,2,,23.0,
,,,What kind of form are we looking to put our answer in?,2023-03-04T16:35:58.020-08:00,2023-03-04T16:36:01.260-08:00,tutor,tutor,2,,23.0,
,,,Does anyone know the name of the form that we need to put our answer in. If it's linear,2023-03-04T16:36:06.440-08:00,2023-03-04T16:36:10.320-08:00,tutor,tutor,2,,23.0,
,,,standard form.,2023-03-04T16:36:12.650-08:00,2023-03-04T16:36:13.960-08:00,student,student B,2,,23.0,
,,,"standard form, yes, or slope intercept form either way it works. So you know the way that it's easiest for us to do would be first making in terms of y equals Mx plus b, and then rearranging accordingly. Because why go? That myx is more useful than any of these forms. So",2023-03-04T16:36:14.690-08:00,2023-03-04T16:36:30.870-08:00,tutor,tutor,2,,23.0,
,,,how can we find the gradient? Does anyone know how we can do that?,2023-03-04T16:36:30.990-08:00,2023-03-04T16:36:33.960-08:00,tutor,tutor,2,,23.0,
,,,"So with the gradient, right, we need 2 points. Yeah, [STUDENT_6]. You were going to say something",2023-03-04T16:36:40.130-08:00,2023-03-04T16:36:43.530-08:00,tutor,tutor,2,,23.0,
,,,"you can take, you know, he said, the 2 points on the X and the Y.",2023-03-04T16:36:43.580-08:00,2023-03-04T16:36:48.560-08:00,student,student B,2,,23.0,
,,,"It's like the first 2, the negative a minus 0",2023-03-04T16:36:48.570-08:00,2023-03-04T16:36:56.190-08:00,student,student B,2,,23.0,
,,,"over 3, a minus a. and that would turn down to negative a over",2023-03-04T16:36:56.210-08:00,2023-03-04T16:37:02.370-08:00,student,student B,2,,23.0,
,,,"2, a, so these a's cancel on your left with negative one half as your gradient. So you've got M. Now how can we find B",2023-03-04T16:37:02.500-08:00,2023-03-04T16:37:14.250-08:00,tutor,tutor,2,,23.0,
,,,"anyone? Have any ideas, [STUDENT_5]? Do you have an idea of how he can find B.",2023-03-04T16:37:26.800-08:00,2023-03-04T16:37:30.030-08:00,tutor,tutor,2,,23.0,
,,,Do you plug the numbers for X and Y into the formula.,2023-03-04T16:37:33.370-08:00,2023-03-04T16:37:40.310-08:00,student,student C,2,,23.0,
,,,"Yeah, exactly. So could you walk us through that.",2023-03-04T16:37:40.410-08:00,2023-03-04T16:37:42.910-08:00,tutor,tutor,2,,23.0,
,,,Could you do? 0 equals,2023-03-04T16:37:44.980-08:00,2023-03-04T16:37:47.090-08:00,student,student C,2,,23.0,
,,,negative one half,2023-03-04T16:37:47.720-08:00,2023-03-04T16:37:49.550-08:00,student,student C,2,,23.0,
,,,a plus B.,2023-03-04T16:37:52.100-08:00,2023-03-04T16:37:54.320-08:00,student,student C,2,,23.0,
,,,Yep. Exactly. And then from there,2023-03-04T16:37:54.510-08:00,2023-03-04T16:37:57.460-08:00,tutor,tutor,2,,23.0,
,,,divide by a half the 0,2023-03-04T16:38:00.580-08:00,2023-03-04T16:38:03.250-08:00,student,student C,2,,23.0,
,,,"is B 0,",2023-03-04T16:38:03.950-08:00,2023-03-04T16:38:05.100-08:00,student,student C,2,,23.0,
,,,"So that so that that's actually a good point. You I mean you've got the first equation correct. It's just if you divide by half, remember that you also have to divide B by half. and if you range 4 B. So what would actually be easier? Just remember that you can write it in terms of a, because we do have a and our answer choices over here.",2023-03-04T16:38:06.390-08:00,2023-03-04T16:38:23.480-08:00,tutor,tutor,2,,23.0,
,,,So what you technically could do is just bring the negative halfway to one side and get B equals half a.,2023-03-04T16:38:23.570-08:00,2023-03-04T16:38:29.500-08:00,tutor,tutor,2,,23.0,
,,,"because it be, is halfway the negative halfway, plus half a just kind of that to 0. So our final equation is negative half x plus half a but good thinking.",2023-03-04T16:38:33.110-08:00,2023-03-04T16:38:43.380-08:00,tutor,tutor,2,,23.0,
,,,"So this is what we have now. Now. They've asked us to write it in a specific form in the form ax plus b, y is equal to C, where C is a, B, C, a, B, and C are all constants.",2023-03-04T16:38:43.940-08:00,2023-03-04T16:38:54.000-08:00,tutor,tutor,2,,23.0,
,,,How might we do that,2023-03-04T16:38:54.050-08:00,2023-03-04T16:38:55.360-08:00,tutor,tutor,2,,23.0,
,,,"aiden, are you? Do you have an idea of how we might do this?",2023-03-04T16:39:05.520-08:00,2023-03-04T16:39:09.150-08:00,tutor,tutor,2,,23.0,
,,,"Not really. I didn't get this question. So i'm just trying to like follow along with what you're saying. Okay, sure, no worries.",2023-03-04T16:39:11.650-08:00,2023-03-04T16:39:18.470-08:00,tutor,tutor,2,,23.0,
,,,"Well, the first thing I think we should do is because we see the add to choices. There are no fractions right, and we can see that we have the fraction over here. What we want to do is try and get rid of this fraction. So if you multiply by 2, these fractions will go away.",2023-03-04T16:39:18.920-08:00,2023-03-04T16:39:30.920-08:00,tutor,tutor,2,,23.0,
,,,"and what we'll get is because if you multiply with 2, you have to multiply every turn by 2 right? So we would get 2. Y is equal to negative x plus a just multiplying everything by 2 right there.",2023-03-04T16:39:30.960-08:00,2023-03-04T16:39:40.450-08:00,tutor,tutor,2,,23.0,
,,,"and what we can then do is, bring the X the other side to get x plus twoy",2023-03-04T16:39:40.720-08:00,2023-03-04T16:39:45.690-08:00,tutor,tutor,2,,23.0,
,,,"is equal to a, and that falls along with answered choice. A.",2023-03-04T16:39:45.750-08:00,2023-03-04T16:39:49.530-08:00,tutor,tutor,2,,23.0,
,,,"So basically whenever you're told it's a linear relationship. I would advise you straight away right down. Y equals Mx plus b. You can find the gradient using 2 points ideally, and it. Substitute one of those points back into the equation to get what the answer is for B. And then from there you can rework into whatever form that they want you to get in terms of.",2023-03-04T16:39:51.640-08:00,2023-03-04T16:40:08.470-08:00,tutor,tutor,2,,23.0,
,,,Does that make sense for everyone?,2023-03-04T16:40:11.260-08:00,2023-03-04T16:40:13.290-08:00,tutor,tutor,2,,23.0,
,,,"Great, Great.",2023-03-04T16:40:16.970-08:00,2023-03-04T16:40:18.460-08:00,tutor,tutor,2,,23.0,
,30.0,1.0,"right? Another question is Question 12, hey? Let me go. Find that one right now",2023-03-04T16:40:19.270-08:00,2023-03-04T16:40:24.110-08:00,tutor,tutor,3,,30.0,
