problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Hey? I'm not sure if anyone else is joining or not. So if you want to work on anything specifically, let me know, or If not, I can just go through some of the problems from the last test or something, and we can see if there's anyone that joins back to you.",2023-03-06T17:11:20.790-08:00,2023-03-06T17:11:37.640-08:00,tutor,tutor,1,,,
,,,How can we do the suggested ones from last class?,2023-03-06T17:11:38.250-08:00,2023-03-06T17:11:42.230-08:00,student,student A,1,,,
,,,I'm sorry,2023-03-06T17:11:42.810-08:00,2023-03-06T17:11:43.870-08:00,tutor,tutor,1,,,
,,,can we do the suggested ones from last class?,2023-03-06T17:11:44.370-08:00,2023-03-06T17:11:47.270-08:00,student,student A,1,,,
,,,Sure.,2023-03-06T17:11:47.510-08:00,2023-03-06T17:11:48.270-08:00,tutor,tutor,1,,,
,,,just once I went over last class or the other ones.,2023-03-06T17:11:48.560-08:00,2023-03-06T17:11:52.210-08:00,student,student A,1,,,
,,,Can you repeat that,2023-03-06T17:11:52.800-08:00,2023-03-06T17:11:54.070-08:00,student,student A,1,,,
,,,"you want me to go like, do the ones I did last class again.",2023-03-06T17:11:54.350-08:00,2023-03-06T17:11:58.050-08:00,tutor,tutor,1,,,
,,,or join you when,2023-03-06T17:11:58.610-08:00,2023-03-06T17:12:00.030-08:00,tutor,tutor,1,,,
,,,you went over the highly suggested one.,2023-03-06T17:12:00.150-08:00,2023-03-06T17:12:04.150-08:00,student,student A,1,,,
,,,"Yeah, okay, I got some of the others wrong, too. So I would like to go over that.",2023-03-06T17:12:04.410-08:00,2023-03-06T17:12:09.750-08:00,student,student A,1,,,
,,,"Yeah, for sure.",2023-03-06T17:12:09.820-08:00,2023-03-06T17:12:10.990-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-06T17:12:11.390-08:00,2023-03-06T17:12:12.390-08:00,student,student A,1,,,
,,,"Yeah, No problem.",2023-03-06T17:12:12.460-08:00,2023-03-06T17:12:13.690-08:00,tutor,tutor,1,,,
,,,I'm: so sorry.,2023-03-06T17:12:23.890-08:00,2023-03-06T17:12:25.030-08:00,tutor,tutor,1,,,
,,,All right. Let me share my screen real quick.,2023-03-06T17:12:32.880-08:00,2023-03-06T17:12:34.979-08:00,tutor,tutor,1,,,
,,,All right. Hopefully You can see that.,2023-03-06T17:12:52.910-08:00,2023-03-06T17:12:56.140-08:00,tutor,tutor,1,,,
,,,[STUDENT_1]. We're just going over awesome princess. We're going over some of the other test questions,2023-03-06T17:12:57.230-08:00,2023-03-06T17:13:03.920-08:00,tutor,tutor,1,,,
,,,that were suggested.,2023-03-06T17:13:03.980-08:00,2023-03-06T17:13:06.200-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-06T17:13:06.930-08:00,2023-03-06T17:13:07.800-08:00,student,student A,1,,,
,,,that looks like this.,2023-03-06T17:13:11.480-08:00,2023-03-06T17:13:14.080-08:00,tutor,tutor,1,,,
,-1.0,1.0,"Okay, Which of the following is equivalent to 2 x times the quantity of X squared minus 3. X.",2023-03-06T17:13:16.330-08:00,2023-03-06T17:13:24.070-08:00,tutor,tutor,2,,-1.0,
,,,"Okay. So this is one of the problems where I would suggest looking at the given answers again, because it's asking you which of the following is equivalent.",2023-03-06T17:13:24.450-08:00,2023-03-06T17:13:33.020-08:00,tutor,tutor,2,,-1.0,
,,,So,2023-03-06T17:13:35.870-08:00,2023-03-06T17:13:37.200-08:00,tutor,tutor,2,,-1.0,
,,,"I would say, a trick for problems like these is",2023-03-06T17:13:38.880-08:00,2023-03-06T17:13:43.770-08:00,tutor,tutor,2,,-1.0,
,,,"in this loose won't always a 100% work. But I this one, will always a 100% give you one answer. But it's a trick that I like using plugging a number usually not 0, or even one sometimes is a little iffy into this equation.",2023-03-06T17:13:44.370-08:00,2023-03-06T17:14:00.680-08:00,tutor,tutor,2,,-1.0,
,,,"I say, 2 is usually good if this makes sense to you, and you think this will help you, and then find which one of these is the same. If you don't want to actually have to think through which one of these it is so",2023-03-06T17:14:00.760-08:00,2023-03-06T17:14:13.360-08:00,tutor,tutor,2,,-1.0,
,,,that let's say.,2023-03-06T17:14:13.890-08:00,2023-03-06T17:14:15.500-08:00,tutor,tutor,2,,-1.0,
,,,or or i'll do that way of solving it afterwards. But first I look at these and I see okay.,2023-03-06T17:14:15.540-08:00,2023-03-06T17:14:21.120-08:00,tutor,tutor,2,,-1.0,
,,,"these each. This all of these have are these: 3 have one term minus another term, and this one it says, one chart. so that tells me, because this is being multiplied by all of this",2023-03-06T17:14:21.270-08:00,2023-03-06T17:14:31.580-08:00,tutor,tutor,2,,-1.0,
,,,that we need to get rid of the multiplication. So we need to distribute this. So I distribute the 2 X to both of these.,2023-03-06T17:14:32.010-08:00,2023-03-06T17:14:40.850-08:00,tutor,tutor,2,,-1.0,
,,,"and that will be me with 2 X cubed for the first term, and then negative 3 x times 2 x would be negative, 6 X squared. Sorry.",2023-03-06T17:14:41.160-08:00,2023-03-06T17:14:50.110-08:00,tutor,tutor,2,,-1.0,
,,,"and then I would. Look here! Oh, that matches this one! So it's t.",2023-03-06T17:14:50.350-08:00,2023-03-06T17:14:54.880-08:00,tutor,tutor,2,,-1.0,
,,,"But back to this trick. It doesn't always work in this case this the trick would probably be a little slower. But if you're blanking on oh, what do I do? This is just a good fall back, so let's say 2. I would plug that in. I'd get 4 times 2 squared is 4 minus 3 times 2 would be sit negative.",2023-03-06T17:14:54.940-08:00,2023-03-06T17:15:13.680-08:00,tutor,tutor,2,,-1.0,
,,,"would be sitting in. It would be my 6 or negative 2,",2023-03-06T17:15:13.820-08:00,2023-03-06T17:15:16.790-08:00,tutor,tutor,2,,-1.0,
,,,"and then that would be negative 8, and then I would just plug in 2 to all these. So 2 here would give me negative. 16 can't be a 2 here would give me 14. Can't be B",2023-03-06T17:15:17.250-08:00,2023-03-06T17:15:28.600-08:00,tutor,tutor,2,,-1.0,
,,,to here. Would give me.,2023-03-06T17:15:28.660-08:00,2023-03-06T17:15:31.450-08:00,tutor,tutor,2,,-1.0,
,,,"Actually, I think I did this 1 one wrong. Go, give me",2023-03-06T17:15:32.360-08:00,2023-03-06T17:15:35.500-08:00,tutor,tutor,2,,-1.0,
,,,20 sorry.,2023-03-06T17:15:36.560-08:00,2023-03-06T17:15:38.430-08:00,tutor,tutor,2,,-1.0,
,,,"2 here would give me 10. Happy that one, and then 2 Here I would hopefully give me a night of 8.",2023-03-06T17:15:38.860-08:00,2023-03-06T17:15:47.580-08:00,tutor,tutor,2,,-1.0,
,,,Yeah.,2023-03-06T17:15:49.390-08:00,2023-03-06T17:15:50.100-08:00,tutor,tutor,2,,-1.0,
,,,So that's another way. Chevron works better for you.,2023-03-06T17:15:50.800-08:00,2023-03-06T17:15:54.500-08:00,tutor,tutor,2,,-1.0,
,,,Yeah. Any questions about that one?,2023-03-06T17:15:54.650-08:00,2023-03-06T17:15:58.360-08:00,tutor,tutor,2,,-1.0,
,,,Hello.,2023-03-06T17:15:59.620-08:00,2023-03-06T17:16:00.480-08:00,student,student A,2,,-1.0,
,,,Awesome.,2023-03-06T17:16:01.420-08:00,2023-03-06T17:16:02.180-08:00,tutor,tutor,2,,-1.0,
,,,Okay.,2023-03-06T17:16:04.290-08:00,2023-03-06T17:16:04.970-08:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,Alright. A retail company has 50 large stores located in different areas throughout the State. A researcher for the company believes that employed job satisfaction,2023-03-06T17:16:12.480-08:00,2023-03-06T17:16:23.120-08:00,tutor,tutor,3,,-1.0,
,,,that varies greatly from store to store.,2023-03-06T17:16:24.950-08:00,2023-03-06T17:16:27.380-08:00,tutor,tutor,3,,-1.0,
,,,Which of the following sampling methods is the most appropriate to estimate the proportion of all employees of the company who are satisfied with their job.,2023-03-06T17:16:27.390-08:00,2023-03-06T17:16:36.140-08:00,tutor,tutor,3,,-1.0,
,,,So this is a statistics one. It's not actually really math. It's more just asking you,2023-03-06T17:16:36.200-08:00,2023-03-06T17:16:41.480-08:00,tutor,tutor,3,,-1.0,
,,,good methods of sampling.,2023-03-06T17:16:41.870-08:00,2023-03-06T17:16:43.480-08:00,tutor,tutor,3,,-1.0,
,,,So,2023-03-06T17:16:44.570-08:00,2023-03-06T17:16:45.710-08:00,tutor,tutor,3,,-1.0,
,,,"whenever it comes to statistics, problems like these, I find the way that makes most sense for me. And what I like is to",2023-03-06T17:16:46.410-08:00,2023-03-06T17:16:53.900-08:00,tutor,tutor,3,,-1.0,
,,,"find which one would make the most logical sense for answering the question, so what's? And this is asking which of the following is most appropriate to estimate the proportion of all employees that are satisfied with their job.",2023-03-06T17:16:54.610-08:00,2023-03-06T17:17:05.380-08:00,tutor,tutor,3,,-1.0,
,,,So let's just look through the answers.,2023-03-06T17:17:05.760-08:00,2023-03-06T17:17:07.660-08:00,tutor,tutor,3,,-1.0,
,,,"selecting one of the 50 stores at random, and then survey surveying each employ at that store.",2023-03-06T17:17:07.670-08:00,2023-03-06T17:17:13.250-08:00,tutor,tutor,3,,-1.0,
,,,"Well, they're saying the job satisfaction varies greatly from store to store. So if we just look at one store that could not represent that could not represent all the other stores that could be very different if everyone's super happy at this store, but they're miserable at some other stores. That one store doesn't represent the overarching thing.",2023-03-06T17:17:13.430-08:00,2023-03-06T17:17:31.140-08:00,tutor,tutor,3,,-1.0,
,,,So we're not going to want to do that one,2023-03-06T17:17:31.460-08:00,2023-03-06T17:17:33.410-08:00,tutor,tutor,3,,-1.0,
,,,selecting 10 employees from each store at random. Then each employee selected,2023-03-06T17:17:34.410-08:00,2023-03-06T17:17:39.390-08:00,tutor,tutor,3,,-1.0,
,,,"that that could be good, because if you're taking a small section from each store, and you think it varies. Then. Oh, you might get a store where everyone where this section likes it, and this store, where it doesn't like it. So that will give you a better overall. So that that is the answer. But we can go through. Why, the other ones are wrong",2023-03-06T17:17:39.880-08:00,2023-03-06T17:17:58.410-08:00,tutor,tutor,3,,-1.0,
,,,"surveying the 25 highest paid, the 25 lowest paid employees",2023-03-06T17:17:58.410-08:00,2023-03-06T17:18:02.910-08:00,tutor,tutor,3,,-1.0,
,,,that that could seem like it could be good but just.,2023-03-06T17:18:02.950-08:00,2023-03-06T17:18:06.250-08:00,tutor,tutor,3,,-1.0,
,,,but pay,2023-03-06T17:18:06.420-08:00,2023-03-06T17:18:08.210-08:00,tutor,tutor,3,,-1.0,
,,,"they Haven't told us that pay correlates to happiness at all here, so that would be making inferences that we probably don't want to make. So I would say that one. It's just kind of funky. When you get something that feels a little off, it probably is off",2023-03-06T17:18:08.220-08:00,2023-03-06T17:18:21.500-08:00,tutor,tutor,3,,-1.0,
,,,"creating a website on which employees can express their opinions, and then, using the first 50 responses",2023-03-06T17:18:22.200-08:00,2023-03-06T17:18:27.570-08:00,tutor,tutor,3,,-1.0,
,,,once again. Then you're only looking at 50. Just,2023-03-06T17:18:27.970-08:00,2023-03-06T17:18:30.530-08:00,tutor,tutor,3,,-1.0,
,,,"we're just looking at 50 responses, even though it may vary, and you don't know how like. If you really hate your job, you might be more likely to",2023-03-06T17:18:31.770-08:00,2023-03-06T17:18:40.930-08:00,tutor,tutor,3,,-1.0,
,,,give your opinion.,2023-03-06T17:18:41.340-08:00,2023-03-06T17:18:42.700-08:00,tutor,tutor,3,,-1.0,
,,,"or, if you really like like, you don't know. So generally you're gonna wanna",2023-03-06T17:18:42.820-08:00,2023-03-06T17:18:47.740-08:00,tutor,tutor,3,,-1.0,
,,,"We use logic, and in this case this is a type of statistical survey. I do not remember which it is. But here let me look up",2023-03-06T17:18:48.090-08:00,2023-03-06T17:18:56.140-08:00,tutor,tutor,3,,-1.0,
,,,"so. Okay, that's it.",2023-03-06T17:18:58.110-08:00,2023-03-06T17:19:00.590-08:00,tutor,tutor,3,,-1.0,
,,,"I don't know if you you don't really need to know this, but it might just be good to how have it in your brain a little bit.",2023-03-06T17:19:03.840-08:00,2023-03-06T17:19:09.990-08:00,tutor,tutor,3,,-1.0,
,,,"Okay, Here we go. and you don't. You don't need to know all these for sure.",2023-03-06T17:19:15.780-08:00,2023-03-06T17:19:19.370-08:00,tutor,tutor,3,,-1.0,
,,,"But here I just it looks at some simple, random sampling, completely right down systematic. It looks like",2023-03-06T17:19:19.500-08:00,2023-03-06T17:19:26.850-08:00,tutor,tutor,3,,-1.0,
,,,every few or something,2023-03-06T17:19:27.930-08:00,2023-03-06T17:19:30.050-08:00,tutor,tutor,3,,-1.0,
,,,"stratified. You know. These stratified sample, I believe, is the one that they said in that was used in this. So here we go.",2023-03-06T17:19:30.940-08:00,2023-03-06T17:19:40.580-08:00,tutor,tutor,3,,-1.0,
,,,Stratified sampling is taking,2023-03-06T17:19:40.700-08:00,2023-03-06T17:19:44.570-08:00,tutor,tutor,3,,-1.0,
,,,"small from different groups, taking a few from each group. So that's kind of like this one taking a few from each store, which is the correct answer. Systematic. Everyone's given a number. Anyway.",2023-03-06T17:19:45.700-08:00,2023-03-06T17:19:57.010-08:00,tutor,tutor,3,,-1.0,
,,,"These are just a few to know, I feel like",2023-03-06T17:19:57.310-08:00,2023-03-06T17:19:59.840-08:00,tutor,tutor,3,,-1.0,
,,,"in my experience. Stratified is usually the answer to most college board questions. I would say generally, when you get a question where it's asking about sampling which this is asking you about like how the sampling the whole point of statistics is to only look at a small group of people and have that represent a great huge population.",2023-03-06T17:20:00.330-08:00,2023-03-06T17:20:19.440-08:00,tutor,tutor,3,,-1.0,
,,,"So they're asking how you can only look at a few people generally for these type of questions, and have that represent everything. So that's a good way to know. All this is probably about sampling. And I would say, stratified is generally the answer. Not always. But",2023-03-06T17:20:19.740-08:00,2023-03-06T17:20:33.160-08:00,tutor,tutor,3,,-1.0,
,,,"you're basically can bet on it being the answer. If it's saying, Take a few people from a bunch of different groups. In this case a bunch of different stores. And look at that. That will",2023-03-06T17:20:33.300-08:00,2023-03-06T17:20:42.600-08:00,tutor,tutor,3,,-1.0,
,,,"almost, if that's an option. Probably your answer. Any questions about this one I know sampling is kind of weird because it's not really math.",2023-03-06T17:20:42.640-08:00,2023-03-06T17:20:49.940-08:00,tutor,tutor,3,,-1.0,
,,,Okay. Cool.,2023-03-06T17:20:52.640-08:00,2023-03-06T17:20:53.850-08:00,tutor,tutor,3,,-1.0,
,,,Hmm.,2023-03-06T17:20:59.710-08:00,2023-03-06T17:21:00.500-08:00,tutor,tutor,3,,-1.0,
,-1.0,1.0,"Which of the following colonies show a decrease in size. Oh, I guess you know, Get the actual test one. Sec.",2023-03-06T17:21:03.210-08:00,2023-03-06T17:21:09.210-08:00,tutor,tutor,4,,-1.0,
,,,The table above shows to the I'm: Sorry. Okay. Here we go.,2023-03-06T17:21:36.140-08:00,2023-03-06T17:21:41.500-08:00,tutor,tutor,4,,-1.0,
,,,"So let's just look Whenever you see a graph, always look at the graph and we read the table, and as you read information, look at the graph. So here we go, 3 colonies of insects. We're each treated with a different pesticide over an 8 week period to test the effectiveness of the 3 pesticides.",2023-03-06T17:21:42.150-08:00,2023-03-06T17:21:57.850-08:00,tutor,tutor,4,,-1.0,
,,,"Alright. So colonies, ABC.",2023-03-06T17:21:57.980-08:00,2023-03-06T17:22:01.770-08:00,tutor,tutor,4,,-1.0,
,,,A second,2023-03-06T17:22:02.060-08:00,2023-03-06T17:22:02.860-08:00,tutor,tutor,4,,-1.0,
,,,"colonies, a, B and C were treated with pesticides, a, B and C resp.",2023-03-06T17:22:03.010-08:00,2023-03-06T17:22:08.430-08:00,tutor,tutor,4,,-1.0,
,,,"All right. So just looking at that we have our, you can see, use each code for a different colonies. So these each code, therefore correlated because they're correlated with a different with pesticides, a, B and C. We know the colony a represents a, B, B, C.",2023-03-06T17:22:09.770-08:00,2023-03-06T17:22:24.680-08:00,tutor,tutor,4,,-1.0,
,,,Okay.,2023-03-06T17:22:24.910-08:00,2023-03-06T17:22:25.750-08:00,tutor,tutor,4,,-1.0,
,,,"Each pesticide was applied every 2 weeks to one of the 3 colonies over an 8 week period. So we see weeks are in the x-axis. That's our dependent variable 0 2 0 2 4 6 8, and then how we're showing each of the colonies at each of the weeks. So just to good, understand what's going on in the graph, and how that relates to the words",2023-03-06T17:22:26.200-08:00,2023-03-06T17:22:45.730-08:00,tutor,tutor,4,,-1.0,
