problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"Okay, so let's get started. There's only 3 people, I guess, for now in the class today. I think that's because school i'll send the notification late",2023-02-22T13:03:48.670-08:00,2023-02-22T13:03:58.580-08:00,tutor,tutor,1,,,
,,,"for the 5 min before class, so some people should be starting to join just about now. But we'll get started, because already 404.",2023-02-22T13:03:58.620-08:00,2023-02-22T13:04:06.750-08:00,tutor,tutor,1,,,
,,,So last session I mentioned. If you guys have any questions t0 0n any map,2023-02-22T13:04:09.680-08:00,2023-02-22T13:04:15.930-08:00,tutor,tutor,1,,,
,,,on the sorry i'm meeting a few people 20 just now.,2023-02-22T13:04:16.020-08:00,2023-02-22T13:04:19.300-08:00,tutor,tutor,1,,,
,,,You Second.,2023-02-22T13:04:21.310-08:00,2023-02-22T13:04:22.380-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-22T13:04:23.690-08:00,2023-02-22T13:04:24.460-08:00,tutor,tutor,1,,,
,,,"Okay, yeah. Sorry about that last session. I mentioned that if you guys had any sat math questions from any practices that you took or cloned me, or anything you could mention those to me, and I would g0 0ver them. Does anyone here have any questions",2023-02-22T13:04:24.990-08:00,2023-02-22T13:04:41.450-08:00,tutor,tutor,1,,,
,,,over anything?,2023-02-22T13:04:43.090-08:00,2023-02-22T13:04:44.020-08:00,tutor,tutor,1,,,
,,,"It can be a specific concept on Khan Academy that you're struggling with. Let's say, you, aren't very good with",2023-02-22T13:04:49.440-08:00,2023-02-22T13:04:56.020-08:00,tutor,tutor,1,,,
,,,"parabolas. I can g0 0ver topics of Pablo, and s0 0n. Just anything you guys want",2023-02-22T13:04:56.100-08:00,2023-02-22T13:05:01.900-08:00,tutor,tutor,1,,,
,,,plan practice.,2023-02-22T13:05:05.510-08:00,2023-02-22T13:05:06.700-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-22T13:05:11.560-08:00,2023-02-22T13:05:13.120-08:00,tutor,tutor,1,,,
,,,let's just d0 0ur plan practicing.,2023-02-22T13:05:15.000-08:00,2023-02-22T13:05:18.030-08:00,tutor,tutor,1,,,
,,,We can do that.,2023-02-22T13:05:19.660-08:00,2023-02-22T13:05:20.700-08:00,tutor,tutor,1,,,
,,,"So we still need to review sat practice test 3. I believe you managed to get to question 8, but we did not end up finishing it. Is there anyone here that wasn't there last meeting, and couldn't do the practice test 3 0n",2023-02-22T13:05:22.490-08:00,2023-02-22T13:05:37.040-08:00,tutor,tutor,1,,,
,,,Saturday. I,2023-02-22T13:05:37.340-08:00,2023-02-22T13:05:38.560-08:00,tutor,tutor,1,,,
,,,go ahead. So then we'll just that's starting.,2023-02-22T13:05:49.750-08:00,2023-02-22T13:05:53.050-08:00,tutor,tutor,1,,,
,,,"So I believe you did Number 15,",2023-02-22T13:06:00.330-08:00,2023-02-22T13:06:02.050-08:00,tutor,tutor,1,,,
,,,and we finished number 16 as well.,2023-02-22T13:06:03.660-08:00,2023-02-22T13:06:05.940-08:00,tutor,tutor,1,,,
,,,"So we're on 17, right?",2023-02-22T13:06:09.320-08:00,2023-02-22T13:06:10.960-08:00,tutor,tutor,1,,,
,,,Anyone.,2023-02-22T13:06:13.490-08:00,2023-02-22T13:06:14.300-08:00,tutor,tutor,1,,,
,,,Nope. Okay.,2023-02-22T13:06:20.790-08:00,2023-02-22T13:06:22.460-08:00,tutor,tutor,1,,,
,-1.0,1.0,"Well, we'll move on with 17 then. If 2 w plus 4, t equals 14 in 4 w plus 5 t equals 25.",2023-02-22T13:06:23.310-08:00,2023-02-22T13:06:33.440-08:00,tutor,tutor,2,,-1.0,
,,,What is the value of 2 w plus 3 t.,2023-02-22T13:06:33.630-08:00,2023-02-22T13:06:37.270-08:00,tutor,tutor,2,,-1.0,
,,,So i'll give you guys around 30 t0 30 s to solve this problem.,2023-02-22T13:06:39.230-08:00,2023-02-22T13:06:43.990-08:00,tutor,tutor,2,,-1.0,
,,,and then,2023-02-22T13:06:44.030-08:00,2023-02-22T13:06:44.970-08:00,tutor,tutor,2,,-1.0,
