problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,"Okay, Only 7 people are here",2023-02-18T23:03:02.420+00:00,2023-02-18T23:03:05.520+00:00,tutor,tutor,1,,,
,,,"right now. I'll probably wait until 6 0 5, and then get started.",2023-02-18T23:03:06.380+00:00,2023-02-18T23:03:11.160+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-18T23:05:16.660+00:00,2023-02-18T23:05:17.680+00:00,tutor,tutor,1,,,
,,,Yes.,2023-02-18T23:05:18.990+00:00,2023-02-18T23:05:20.710+00:00,tutor,tutor,1,,,
,,,If anyone comes in it'll be fine. We can go ahead and start.,2023-02-18T23:05:21.280+00:00,2023-02-18T23:05:25.350+00:00,tutor,tutor,1,,,
,,,"Yeah, welcome back everyone.",2023-02-18T23:05:26.350+00:00,2023-02-18T23:05:29.280+00:00,tutor,tutor,1,,,
,,,Third session. Now.,2023-02-18T23:05:31.500+00:00,2023-02-18T23:05:33.520+00:00,tutor,tutor,1,,,
,,,"okay, let's start with a welcome question. What is your favorite subject at school. We'll just do this basically the same way we get",2023-02-18T23:05:36.550+00:00,2023-02-18T23:05:48.630+00:00,tutor,tutor,1,,,
,,,"other couple of times where you go. And then you call on someone else to go. I guess, to start. We can have.",2023-02-18T23:05:49.370+00:00,2023-02-18T23:05:59.370+00:00,tutor,tutor,1,,,
,,,"Actually, I can answer this first. I",2023-02-18T23:06:02.230+00:00,2023-02-18T23:06:05.300+00:00,tutor,tutor,1,,,
,,,and then call on someone. I guess,2023-02-18T23:06:05.350+00:00,2023-02-18T23:06:08.210+00:00,tutor,tutor,1,,,
,,,it's. I don't know it's properly. Math. I'm: really indecisive. I'm really bad at taking favorites.,2023-02-18T23:06:08.710+00:00,2023-02-18T23:06:17.780+00:00,tutor,tutor,1,,,
,,,"Help out, [STUDENT_1]. Next",2023-02-18T23:06:19.630+00:00,2023-02-18T23:06:21.800+00:00,tutor,tutor,1,,,
,,,"I'd have to say history would be my favorite, and [STUDENT_4] could go next.",2023-02-18T23:06:22.100+00:00,2023-02-18T23:06:26.419+00:00,student,student A,1,,,
,,,"Oh, yeah, [STUDENT_4]'s",2023-02-18T23:06:45.030+00:00,2023-02-18T23:06:47.180+00:00,tutor,tutor,1,,,
,,,Mike Doesn't work. Can you call on someone else in the chat? Yeah.,2023-02-18T23:06:48.840+00:00,2023-02-18T23:06:52.660+00:00,tutor,tutor,1,,,
,,,[STUDENT_8] could go next to them?,2023-02-18T23:06:53.510+00:00,2023-02-18T23:06:55.600+00:00,student,student A,1,,,
,,,My favorite subject is a math,2023-02-18T23:06:59.420+00:00,2023-02-18T23:07:02.430+00:00,student,student A,1,,,
,,,and,2023-02-18T23:07:14.450+00:00,2023-02-18T23:07:16.130+00:00,student,student B,1,,,
,,,Kristy on. I can go next.,2023-02-18T23:07:19.490+00:00,2023-02-18T23:07:21.540+00:00,student,student B,1,,,
,,,so my favorite subject is like music.,2023-02-18T23:07:25.500+00:00,2023-02-18T23:07:28.450+00:00,student,student C,1,,,
,,,and I guess,2023-02-18T23:07:30.320+00:00,2023-02-18T23:07:34.280+00:00,student,student C,1,,,
,,,my heat I can go next.,2023-02-18T23:07:36.470+00:00,2023-02-18T23:07:38.120+00:00,student,student C,1,,,
,,,My favorite subject is English.,2023-02-18T23:07:40.620+00:00,2023-02-18T23:07:45.060+00:00,student,student D,1,,,
,,,I sure,2023-02-18T23:07:49.930+00:00,2023-02-18T23:07:51.480+00:00,student,student D,1,,,
,,,can't go next.,2023-02-18T23:07:51.510+00:00,2023-02-18T23:07:52.930+00:00,student,student D,1,,,
,,,My favorite subject is biology.,2023-02-18T23:07:54.360+00:00,2023-02-18T23:07:58.510+00:00,student,student D,1,,,
,,,I remember that,2023-02-18T23:08:19.250+00:00,2023-02-18T23:08:20.470+00:00,tutor,tutor,1,,,
,,,calling someone else.,2023-02-18T23:08:20.540+00:00,2023-02-18T23:08:22.150+00:00,tutor,tutor,1,,,
,,,Oh.,2023-02-18T23:08:22.960+00:00,2023-02-18T23:08:24.150+00:00,student,student E,1,,,
,,,"for me, so I can go next.",2023-02-18T23:08:26.810+00:00,2023-02-18T23:08:28.750+00:00,student,student E,1,,,
,,,"Okay, mine is on English.",2023-02-18T23:08:30.540+00:00,2023-02-18T23:08:35.100+00:00,student,student F,1,,,
,,,I'll call on [STUDENT_1],2023-02-18T23:08:37.280+00:00,2023-02-18T23:08:40.290+00:00,student,student F,1,,,
,,,actually is that everyone has everyone already gone.,2023-02-18T23:08:45.800+00:00,2023-02-18T23:08:49.640+00:00,tutor,tutor,1,,,
,,,This is [STUDENT_1] already right? Right?,2023-02-18T23:08:52.750+00:00,2023-02-18T23:08:54.970+00:00,tutor,tutor,1,,,
,,,"Yeah, I think that's everyone.",2023-02-18T23:08:58.280+00:00,2023-02-18T23:08:59.850+00:00,tutor,tutor,1,,,
,,,So,2023-02-18T23:09:01.260+00:00,2023-02-18T23:09:02.900+00:00,tutor,tutor,1,,,
,,,"yeah, okay, I guess we're gonna talk about schoolhouse next. Everyone went right",2023-02-18T23:09:12.010+00:00,2023-02-18T23:09:18.980+00:00,tutor,tutor,1,,,
,,,for the welcome question. I think so.,2023-02-18T23:09:19.970+00:00,2023-02-18T23:09:22.750+00:00,tutor,tutor,1,,,
,,,"The Yup School House. I mean. You probably already know this, considering your",2023-02-18T23:09:24.480+00:00,2023-02-18T23:09:29.900+00:00,tutor,tutor,1,,,
,,,using it right now. But school has one t0 0ne live homework help and small group review sessions basically like what we're doing right now.,2023-02-18T23:09:29.980+00:00,2023-02-18T23:09:42.300+00:00,tutor,tutor,1,,,
,,,But for stuff. Others are the sap. Also.,2023-02-18T23:09:42.330+00:00,2023-02-18T23:09:45.520+00:00,tutor,tutor,1,,,
,,,there's a lot of subjects taught on School House right?,2023-02-18T23:09:49.890+00:00,2023-02-18T23:09:53.630+00:00,tutor,tutor,1,,,
,,,A lot of mass science other other stuff like that. You can find it on the website.,2023-02-18T23:09:54.260+00:00,2023-02-18T23:10:03.920+00:00,tutor,tutor,1,,,
,,,"And okay, that's it. So all right. We got a permanent group practice another practice test for the calculator.",2023-02-18T23:10:06.680+00:00,2023-02-18T23:10:20.030+00:00,tutor,tutor,1,,,
,,,and after that we'll review the practice this. So,2023-02-18T23:10:20.260+00:00,2023-02-18T23:10:24.080+00:00,tutor,tutor,1,,,
,,,"let's start with the targeted group practice, then.",2023-02-18T23:10:24.800+00:00,2023-02-18T23:10:28.140+00:00,tutor,tutor,1,,,
,,,So,2023-02-18T23:10:29.580+00:00,2023-02-18T23:10:31.970+00:00,tutor,tutor,1,,,
,,,yeah.,2023-02-18T23:10:33.790+00:00,2023-02-18T23:10:34.640+00:00,tutor,tutor,1,,,
,,,this time.,2023-02-18T23:10:35.640+00:00,2023-02-18T23:10:37.030+00:00,tutor,tutor,1,,,
,,,"Oh, there's a chat.",2023-02-18T23:10:37.120+00:00,2023-02-18T23:10:38.890+00:00,tutor,tutor,1,,,
,,,Hold on. I'm gonna,2023-02-18T23:10:40.010+00:00,2023-02-18T23:10:41.660+00:00,tutor,tutor,1,,,
,,,hold on.,2023-02-18T23:10:48.600+00:00,2023-02-18T23:10:49.540+00:00,tutor,tutor,1,,,
,,,I guess I can.,2023-02-18T23:10:53.960+00:00,2023-02-18T23:10:55.330+00:00,tutor,tutor,1,,,
,,,"Well, we didn't really do anything before you came in. We just had a local question, so",2023-02-18T23:10:56.300+00:00,2023-02-18T23:11:02.570+00:00,tutor,tutor,1,,,
,,,I don't think there's anything you need on the slides.,2023-02-18T23:11:02.640+00:00,2023-02-18T23:11:06.060+00:00,tutor,tutor,1,,,
,,,"Okay, let's let's get started.",2023-02-18T23:11:10.810+00:00,2023-02-18T23:11:13.560+00:00,tutor,tutor,1,,,
,,,"So today, from last.",2023-02-18T23:11:13.680+00:00,2023-02-18T23:11:17.710+00:00,tutor,tutor,1,,,
,,,the last practice test you guys took,2023-02-18T23:11:18.640+00:00,2023-02-18T23:11:22.010+00:00,tutor,tutor,1,,,
,,,the suggested,2023-02-18T23:11:22.260+00:00,2023-02-18T23:11:24.000+00:00,tutor,tutor,1,,,
,,,topics are review topics. Are these 3,2023-02-18T23:11:26.120+00:00,2023-02-18T23:11:30.970+00:00,tutor,tutor,1,,,
,,,"radical and exponential expressions and equations, isolating quantities and",2023-02-18T23:11:31.110+00:00,2023-02-18T23:11:36.890+00:00,tutor,tutor,1,,,
,,,"collecting data and concluding, I'm. kind of focus on the bottom to today.",2023-02-18T23:11:36.990+00:00,2023-02-18T23:11:42.790+00:00,tutor,tutor,1,,,
,,,"So yeah, let's let's look at some practice problems.",2023-02-18T23:11:44.690+00:00,2023-02-18T23:11:49.180+00:00,tutor,tutor,1,,,
,-1.0,1.0,"Okay, collecting data. We can start with that.",2023-02-18T23:11:54.170+00:00,2023-02-18T23:11:56.700+00:00,tutor,tutor,2,,-1.0,
,,,"Well, that's a wordy question. Let's let's see if anyone wants to volunteer for this one.",2023-02-18T23:12:00.400+00:00,2023-02-18T23:12:08.850+00:00,tutor,tutor,2,,-1.0,
,,,"Go ahead, but",2023-02-18T23:12:09.370+00:00,2023-02-18T23:12:11.500+00:00,tutor,tutor,2,,-1.0,
,,,you can take some time to read it,2023-02-18T23:12:11.770+00:00,2023-02-18T23:12:13.930+00:00,tutor,tutor,2,,-1.0,
,,,"in order to determine if treatment, access, successful and improving is a research study was conducted from a large population of re of people with poor eyesight.",2023-02-18T23:12:14.560+00:00,2023-02-18T23:12:25.650+00:00,tutor,tutor,2,,-1.0,
,,,300 participants for selected at random. Half of the participants were randomly assigned to receive treatment. X and the other half did not receive,2023-02-18T23:12:25.790+00:00,2023-02-18T23:12:35.380+00:00,tutor,tutor,2,,-1.0,
,,,Sultan D. To show that participants who received treatment it's had significantly improved eyesight as compared to those who did not,2023-02-18T23:12:36.440+00:00,2023-02-18T23:12:44.000+00:00,tutor,tutor,2,,-1.0,
