problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"All right. Hello, everyone! Welcome to class today. I'm: so happy that you guys could make it welcome. I see [STUDENT_5] is here. Hi, [STUDENT_5], how are you doing today?",2023-03-01T10:49:48.730-08:00,2023-03-01T10:50:01.570-08:00,tutor,tutor,1,,,
,,,I'm doing good. How are you?,2023-03-01T10:50:02.780-08:00,2023-03-01T10:50:04.310-08:00,student,student A,1,,,
,,,I'm: all right. Thank you. [STUDENT_3]. Can you hear me?,2023-03-01T10:50:04.910-08:00,2023-03-01T10:50:08.530-08:00,tutor,tutor,1,,,
,,,"Yeah, I can hear you. Can you hear me?",2023-03-01T10:50:11.750-08:00,2023-03-01T10:50:13.260-08:00,tutor,tutor,1,,,
,,,"Okay, that's great to hear how you doing today.",2023-03-01T10:50:13.900-08:00,2023-03-01T10:50:16.320-08:00,tutor,tutor,1,,,
,,,I'm. Good,2023-03-01T10:50:16.940-08:00,2023-03-01T10:50:17.840-08:00,student,student B,1,,,
,,,"mia. How are you doing, mia?",2023-03-01T10:50:18.700-08:00,2023-03-01T10:50:21.160-08:00,tutor,tutor,1,,,
,,,"Hi, i'm Good. And you",2023-03-01T10:50:22.620-08:00,2023-03-01T10:50:24.800-08:00,student,student C,1,,,
,,,"i'm Good. Too. Thanks for asking [STUDENT_4]. [STUDENT_4], how are you doing?",2023-03-01T10:50:25.950-08:00,2023-03-01T10:50:30.690-08:00,tutor,tutor,1,,,
,,,I'm doing really good. How about you?,2023-03-01T10:50:31.450-08:00,2023-03-01T10:50:33.470-08:00,student,student D,1,,,
,,,"Great? Thank you. And finally, [STUDENT_2]. Hi, [STUDENT_2].",2023-03-01T10:50:34.250-08:00,2023-03-01T10:50:38.490-08:00,tutor,tutor,1,,,
,,,The I don't,2023-03-01T10:50:44.310-08:00,2023-03-01T10:50:45.860-08:00,student,student E,1,,,
,,,"All right. Okay, everyone. Thank you so much for joining. How are you doing, Gora?",2023-03-01T10:50:47.229-08:00,2023-03-01T10:50:51.410-08:00,tutor,tutor,1,,,
,,,I'm doing good. Thanks back.,2023-03-01T10:50:56.980-08:00,2023-03-01T10:50:59.180-08:00,student,student E,1,,,
,,,"All right. That's great to hear. So i'm glad that everyone's doing all right. I hope, as I keep saying that you guys have had time to keep practicing outside of our boot camp sessions, because in as much as we do. Have 75 min together",2023-03-01T10:51:00.070-08:00,2023-03-01T10:51:17.770-08:00,tutor,tutor,1,,,
,,,"every Monday and Wednesday. That's still that's still not going to be enough, sat math practice. If you really want to smash the sat",2023-03-01T10:51:17.800-08:00,2023-03-01T10:51:26.220-08:00,tutor,tutor,1,,,
,,,at this go. So,2023-03-01T10:51:26.540-08:00,2023-03-01T10:51:29.550-08:00,tutor,tutor,1,,,
,,,today's schedule we're gonna mix things up a bit today. We're before our Content Review. We're actually going to be having an assessment first thing today.,2023-03-01T10:51:29.940-08:00,2023-03-01T10:51:39.850-08:00,tutor,tutor,1,,,
,,,We're going to be doing Assessment B one first. But first of all. we're going to talk a little bit about the obstacles that we've been facing regarding our practice on our preparation for the sat.,2023-03-01T10:51:40.000-08:00,2023-03-01T10:51:53.550-08:00,tutor,tutor,1,,,
,,,"So I mean, are there particular challenges that you guys are going through? Maybe both within this boot camp",2023-03-01T10:51:53.740-08:00,2023-03-01T10:52:01.020-08:00,tutor,tutor,1,,,
,,,"outside the sessions that we've been having, maybe questions that you have concerning like, how do we prepare?",2023-03-01T10:52:01.060-08:00,2023-03-01T10:52:09.390-08:00,tutor,tutor,1,,,
,,,How do we go forward with the preparations that we're making outside of class.,2023-03-01T10:52:10.720-08:00,2023-03-01T10:52:14.900-08:00,tutor,tutor,1,,,
,,,"and even within our boot camp, like you know, things that we can do to improve",2023-03-01T10:52:15.110-08:00,2023-03-01T10:52:20.360-08:00,tutor,tutor,1,,,
,,,"things that I can do to improve, because I know that I have a lot of problems. But I just want to hear from you guys, what are the obstacles, the challenges that you guys have been facing.",2023-03-01T10:52:20.510-08:00,2023-03-01T10:52:32.020-08:00,tutor,tutor,1,,,
,,,I would like a response from at least one response from everyone. So do feel free to either unmute or type out your enters in the chat,2023-03-01T10:52:32.200-08:00,2023-03-01T10:52:41.510-08:00,tutor,tutor,1,,,
,,,"As soon as we get that done we can begin our assessment for this evening, and then we can just. We can go ahead. So what are the obstacles that you guys are going through? Because I know that the sat journey is in. It's not all",2023-03-01T10:52:41.810-08:00,2023-03-01T10:52:55.579-08:00,tutor,tutor,1,,,
,,,sunshine and rainbows and pretty little roses. It's,2023-03-01T10:52:55.740-08:00,2023-03-01T10:53:00.040-08:00,tutor,tutor,1,,,
,,,really it's kind of tough. And I get that because,2023-03-01T10:53:00.230-08:00,2023-03-01T10:53:04.850-08:00,tutor,tutor,1,,,
,,,"I've also prepared for the sat, and it's really really tough, and I understand that in our preparation sometimes we can freak out. We can get nervous. I don't like oh, my! Gosh! It can be that i'm actually doing this.",2023-03-01T10:53:05.000-08:00,2023-03-01T10:53:18.120-08:00,tutor,tutor,1,,,
,,,"But I just need to keep remembering that we're practicing. We're bring our forward, we're doing everything that we can.",2023-03-01T10:53:18.610-08:00,2023-03-01T10:53:26.650-08:00,tutor,tutor,1,,,
,,,and,2023-03-01T10:53:27.220-08:00,2023-03-01T10:53:28.290-08:00,tutor,tutor,1,,,
,,,"we need to remember that these are things that we're learning. We're consistently getting used to, and that at the end of the day we're going to know",2023-03-01T10:53:28.940-08:00,2023-03-01T10:53:37.510-08:00,tutor,tutor,1,,,
,,,they're going to know them. At the same time. We also need to be confident that we know them.,2023-03-01T10:53:37.790-08:00,2023-03-01T10:53:42.630-08:00,tutor,tutor,1,,,
