problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Oh, yeah. So",2023-03-01T16:02:31.290-08:00,2023-03-01T16:02:33.420-08:00,tutor,tutor,1,,,
,,,"hey, Can you guys hear me now?",2023-03-01T16:02:46.090-08:00,2023-03-01T16:02:47.510-08:00,tutor,tutor,1,,,
,,,"Okay, that was embarrassing. I'm: sorry about that. Yeah, If you want to monitor your cameras, and then we'll go ahead and get started.",2023-03-01T16:02:52.200-08:00,2023-03-01T16:02:58.490-08:00,tutor,tutor,1,,,
,,,"Yeah, I'm: so sorry about that. But",2023-03-01T16:03:04.920-08:00,2023-03-01T16:03:07.180-08:00,tutor,tutor,1,,,
,,,"oh, yeah, so it's a second session of week, 3.",2023-03-01T16:03:10.770-08:00,2023-03-01T16:03:13.690-08:00,tutor,tutor,1,,,
,,,So today's welcome question,2023-03-01T16:03:18.470-08:00,2023-03-01T16:03:21.290-08:00,tutor,tutor,1,,,
,,,"is, what was the challenge you faced, and how did you overcome it? So you you wanna",2023-03-01T16:03:21.330-08:00,2023-03-01T16:03:26.430-08:00,tutor,tutor,1,,,
,,,"unmute and share, or you can just put in the Chat doesn't particularly matter",2023-03-01T16:03:27.180-08:00,2023-03-01T16:03:32.510-08:00,tutor,tutor,1,,,
,,,what you mean,2023-03-01T16:03:33.180-08:00,2023-03-01T16:03:34.080-08:00,tutor,tutor,1,,,
,,,"making a brown, we can just do that.",2023-03-01T16:03:57.960-08:00,2023-03-01T16:03:59.980-08:00,tutor,tutor,1,,,
,,,Yeah. And how did you? How did you overcome that?,2023-03-01T16:04:00.170-08:00,2023-03-01T16:04:03.030-08:00,tutor,tutor,1,,,
,,,I know my friends right up to me.,2023-03-01T16:04:17.390-08:00,2023-03-01T16:04:18.900-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, that that's a that's a good way, you know. Decompress.",2023-03-01T16:04:20.440-08:00,2023-03-01T16:04:24.250-08:00,tutor,tutor,1,,,
