problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Hey, Can you hear me?",2023-02-16T16:58:43.740-08:00,2023-02-16T16:58:45.110-08:00,student,student A,1,,,
,,,Hi: yeah.,2023-02-16T16:58:45.300-08:00,2023-02-16T16:58:46.830-08:00,tutor,tutor,1,,,
,,,Yes. I don't know why it wasn't working last time,2023-02-16T16:58:47.170-08:00,2023-02-16T16:58:50.610-08:00,student,student A,1,,,
,,,I,2023-02-16T16:58:51.510-08:00,2023-02-16T16:58:52.250-08:00,tutor,tutor,1,,,
,,,"All right. Hello, Yes.",2023-02-16T16:59:31.290-08:00,2023-02-16T16:59:33.010-08:00,student,student B,1,,,
,,,"hi, yeah.",2023-02-16T16:59:33.280-08:00,2023-02-16T16:59:34.389-08:00,tutor,tutor,1,,,
,,,"I try to join through my laptop, but i'm having sorry some issues. I don't know exactly why. So i'm on my phone. Do you want me to turn on my camera.",2023-02-16T16:59:35.449-08:00,2023-02-16T16:59:42.930-08:00,tutor,tutor,1,,,
,,,"Yes, please. Now that would be a helpful",2023-02-16T16:59:43.350-08:00,2023-02-16T16:59:46.630-08:00,tutor,tutor,1,,,
,,,Hi!,2023-02-16T16:59:49.540-08:00,2023-02-16T16:59:50.470-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-16T16:59:50.620-08:00,2023-02-16T16:59:51.560-08:00,student,student B,1,,,
,,,you! I don't remember.,2023-02-16T16:59:52.840-08:00,2023-02-16T16:59:59.030-08:00,tutor,tutor,1,,,
,,,I am so sorry,2023-02-16T16:59:59.070-08:00,2023-02-16T17:00:00.310-08:00,student,student B,1,,,
,,,you're good. You're good.,2023-02-16T17:00:01.140-08:00,2023-02-16T17:00:02.240-08:00,tutor,tutor,1,,,
,,,I just wanted to check because I don't remember seeing.,2023-02-16T17:00:02.410-08:00,2023-02-16T17:00:05.760-08:00,tutor,tutor,1,,,
,,,"Yeah, I understand.",2023-02-16T17:00:05.840-08:00,2023-02-16T17:00:07.260-08:00,student,student B,1,,,
,,,"Oh, no, you're fine. Don't worry",2023-02-16T17:00:33.390-08:00,2023-02-16T17:00:34.810-08:00,student,student B,1,,,
,,,trying to see if I can fix my computer.,2023-02-16T17:00:39.410-08:00,2023-02-16T17:00:41.690-08:00,student,student B,1,,,
,,,Wait for a few more minutes for everyone here.,2023-02-16T17:01:13.340-08:00,2023-02-16T17:01:17.030-08:00,tutor,tutor,1,,,
,,,"Okay, we'll just get started",2023-02-16T17:03:15.460-08:00,2023-02-16T17:03:17.310-08:00,tutor,tutor,1,,,
,,,because.,2023-02-16T17:03:17.360-08:00,2023-02-16T17:03:18.200-08:00,tutor,tutor,1,,,
,,,"hey, cool?",2023-02-16T17:03:18.690-08:00,2023-02-16T17:03:19.990-08:00,student,student B,1,,,
,,,"So you will join that. That's fine. Okay, let's start off with the welcome side. I know there's a few people that I' here last time. So if you want to introduce yourself, go ahead and just like, share a contact with yourself, I guess.",2023-02-16T17:03:20.610-08:00,2023-02-16T17:03:37.020-08:00,tutor,tutor,1,,,
,,,Hi! I'm Oscar Rollins. I'm in. I'm 16 years old. I'm in eleventh grade. and,2023-02-16T17:03:37.050-08:00,2023-02-16T17:03:44.150-08:00,student,student B,1,,,
,,,I I really don't make a good of my sat because I want to get into a good college so,2023-02-16T17:03:44.450-08:00,2023-02-16T17:03:48.420-08:00,student,student B,1,,,
,,,"nice. Oh, yeah, I should introduce myself to you. Hi, I am My, i'm also a junior.",2023-02-16T17:03:49.520-08:00,2023-02-16T17:03:54.900-08:00,tutor,tutor,1,,,
,,,"I've taken the Fs. One, and I was actually taking it.",2023-02-16T17:03:55.030-08:00,2023-02-16T17:03:59.340-08:00,tutor,tutor,1,,,
,,,"I'm taking the school like my school sponsors, and it that we take",2023-02-16T17:03:59.410-08:00,2023-02-16T17:04:03.590-08:00,tutor,tutor,1,,,
,,,"on March first, which i'm studying for, but I studied too long for the I to not tell other people about what I know.",2023-02-16T17:04:03.820-08:00,2023-02-16T17:04:11.610-08:00,tutor,tutor,1,,,
,,,"I am, Emily. I already introduced myself, I guess last time. But my fun fact is, I just got back from a bunch of college tours. So that's nice.",2023-02-16T17:04:29.950-08:00,2023-02-16T17:04:40.870-08:00,student,student A,1,,,
,,,Okay.,2023-02-16T17:06:08.240-08:00,2023-02-16T17:06:09.970-08:00,tutor,tutor,1,,,
,,,Can you all hear me?,2023-02-16T17:06:17.270-08:00,2023-02-16T17:06:18.240-08:00,tutor,tutor,1,,,
,,,"Yeah, okay, great.",2023-02-16T17:06:19.500-08:00,2023-02-16T17:06:20.770-08:00,tutor,tutor,1,,,
,,,We're basically going to do like a post check and check where everyone,2023-02-16T17:06:33.410-08:00,2023-02-16T17:06:37.230-08:00,tutor,tutor,1,,,
,,,that.,2023-02-16T17:06:37.380-08:00,2023-02-16T17:06:38.110-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-16T17:06:42.460-08:00,2023-02-16T17:06:45.640-08:00,tutor,tutor,1,,,
,,,how are you feeling about the,2023-02-16T17:06:47.590-08:00,2023-02-16T17:06:50.560-08:00,tutor,tutor,1,,,
,,,How do you make that changes over the course the S. It can. So basically. what are your,2023-02-16T17:06:50.610-08:00,2023-02-16T17:06:55.670-08:00,tutor,tutor,1,,,
,,,okay? Sure.,2023-02-16T17:06:57.040-08:00,2023-02-16T17:06:58.160-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-16T17:06:59.020-08:00,2023-02-16T17:06:59.620-08:00,tutor,tutor,1,,,
,,,"If n0 0ne else wants to go, I can right now, honestly, I feel really like bliss about math.",2023-02-16T17:07:26.650-08:00,2023-02-16T17:07:33.120-08:00,student,student C,1,,,
