problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,"Hello, everyone. So",2023-03-07T14:15:36.040-08:00,2023-03-07T14:15:39.080-08:00,tutor,tutor,1,,,
,,,it's gonna be your last session. So I,2023-03-07T14:15:39.640-08:00,2023-03-07T14:15:43.160-08:00,tutor,tutor,1,,,
,,,kind of expecting a couple of people not to show up. But I wanted to start today with one,2023-03-07T14:15:43.680-08:00,2023-03-07T14:15:50.120-08:00,tutor,tutor,1,,,
,,,"review problem that had to do with statistics, and like statistical inferences similar to what we did",2023-03-07T14:15:50.380-08:00,2023-03-07T14:15:56.080-08:00,tutor,tutor,1,,,
,,,"talking about, like the shapes of the distribution of curves like that, because there's a lot of statistics on the sat and statistics isn't something that, as the standalone course is really taught in",2023-03-07T14:15:56.490-08:00,2023-03-07T14:16:08.450-08:00,tutor,tutor,1,,,
,,,"early high School years later, but not in, you know, ninth and tenth grade. So.",2023-03-07T14:16:08.910-08:00,2023-03-07T14:16:14.000-08:00,tutor,tutor,1,,,
,,,"in my opinion, it's worth going over because they expect you to know some of the stuff, and I personally, I never got exposed to any of it. That's why not? I'm not sure if you guys were. But I want to make sure that",2023-03-07T14:16:14.270-08:00,2023-03-07T14:16:24.360-08:00,tutor,tutor,1,,,
,,,"you know we're all on the same page, and then after that we'll have a calculator Ted review test, and then we'll go over that, and",2023-03-07T14:16:24.510-08:00,2023-03-07T14:16:31.650-08:00,tutor,tutor,1,,,
,-1.0,1.0,that'll be our last stuff practice. So I wanted to start with this problem here.,2023-03-07T14:16:31.930-08:00,2023-03-07T14:16:38.010-08:00,tutor,tutor,2,,-1.0,
,,,"Now, this is a problem I took from a different book on different set of problems.",2023-03-07T14:16:40.610-08:00,2023-03-07T14:16:45.880-08:00,tutor,tutor,2,,-1.0,
,,,"but it has to do with the same statistical inferences we have. We have dealt with before right? So in this case, right.",2023-03-07T14:16:48.320-08:00,2023-03-07T14:16:54.020-08:00,tutor,tutor,2,,-1.0,
,,,We're given some data right? So they tell us that,2023-03-07T14:16:54.530-08:00,2023-03-07T14:16:57.680-08:00,tutor,tutor,2,,-1.0,
,,,these 22 students in a certain health class conducted an experiment they recorded their pulse rates in whatever units. In this case it's be the minute,2023-03-07T14:16:57.960-08:00,2023-03-07T14:17:06.760-08:00,tutor,tutor,2,,-1.0,
,,,before and after,2023-03-07T14:17:06.860-08:00,2023-03-07T14:17:08.550-08:00,tutor,tutor,2,,-1.0,
,,,completing some exercise right? And so they recorded the results on these dot slots. Right? So we have these 2 dot plots.,2023-03-07T14:17:08.690-08:00,2023-03-07T14:17:15.730-08:00,tutor,tutor,2,,-1.0,
,,,So the first one was taken before the exercise. and the second was taken out.,2023-03-07T14:17:17.060-08:00,2023-03-07T14:17:21.700-08:00,tutor,tutor,2,,-1.0,
,,,So right off the bat. When we Look at the first one. Here we see,2023-03-07T14:17:22.930-08:00,2023-03-07T14:17:26.320-08:00,tutor,tutor,2,,-1.0,
,,,what's called a normal distribution. We see this kind of occur. It's pretty even it's pretty. So there's this obvious center here. It's not skewed. So that's what that's important to notice. Right? There's no,2023-03-07T14:17:26.360-08:00,2023-03-07T14:17:38.650-08:00,tutor,tutor,2,,-1.0,
,,,These,2023-03-07T14:17:38.740-08:00,2023-03-07T14:17:39.890-08:00,tutor,tutor,2,,-1.0,
,,,"are on the same level, right? So there's no",2023-03-07T14:17:40.260-08:00,2023-03-07T14:17:43.130-08:00,tutor,tutor,2,,-1.0,
