problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Hey, Allison, Welcome.",2023-03-02T15:57:30.480-08:00,2023-03-02T15:57:32.160-08:00,tutor,tutor,1,,,
,,,"Hey, [STUDENT_2], Could you hear me?",2023-03-02T15:58:02.420-08:00,2023-03-02T15:58:04.210-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-02T15:58:05.150-08:00,2023-03-02T15:58:06.170-08:00,student,student A,1,,,
,,,"Okay, awesome.",2023-03-02T15:58:06.210-08:00,2023-03-02T15:58:07.470-08:00,tutor,tutor,1,,,
,,,We still got a few minutes. But this is today's welcome question. If you want to think of response,2023-03-02T15:58:19.780-08:00,2023-03-02T15:58:25.640-08:00,tutor,tutor,1,,,
,,,and prepare for it.,2023-03-02T15:58:26.470-08:00,2023-03-02T15:58:28.010-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-02T15:58:29.350-08:00,2023-03-02T15:58:30.310-08:00,student,student A,1,,,
,,,"hey? Welcome, [STUDENT_1].",2023-03-02T16:00:13.020-08:00,2023-03-02T16:00:14.460-08:00,tutor,tutor,1,,,
,,,"I'm: [STUDENT_1]. By the way, this is today's welcome question. If you would think of a response.",2023-03-02T16:00:35.030-08:00,2023-03-02T16:00:39.490-08:00,tutor,tutor,1,,,
,,,I think your Mike Wasn't working for a second there.,2023-03-02T16:00:51.200-08:00,2023-03-02T16:00:53.860-08:00,tutor,tutor,1,,,
,,,"Yeah, because we still can't hear you if you spoke.",2023-03-02T16:01:01.230-08:00,2023-03-02T16:01:03.940-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah. Still, no, I can see that you unmute it. But like, if you're speaking, then we can't hear you. Or at least I can't hear you.",2023-03-02T16:01:20.970-08:00,2023-03-02T16:01:28.980-08:00,tutor,tutor,1,,,
,,,Is it working now?,2023-03-02T16:01:38.740-08:00,2023-03-02T16:01:39.860-08:00,student,student B,1,,,
,,,"Yeah, it's working. Now.",2023-03-02T16:01:40.030-08:00,2023-03-02T16:01:41.370-08:00,tutor,tutor,1,,,
,,,"we're going to give people about 4 more minutes to join, and then we'll get started.",2023-03-02T16:01:54.390-08:00,2023-03-02T16:01:59.100-08:00,tutor,tutor,1,,,
,,,"Okay, so I guess we'll get started, and If more people join, then i'll just admit them as they come in.",2023-03-02T16:05:57.620-08:00,2023-03-02T16:06:03.800-08:00,tutor,tutor,1,,,
,,,So today's working question is,2023-03-02T16:06:04.300-08:00,2023-03-02T16:06:07.380-08:00,tutor,tutor,1,,,
,,,obstacles. And what was a big challenge you face? And how did you overcome it?,2023-03-02T16:06:08.880-08:00,2023-03-02T16:06:13.520-08:00,tutor,tutor,1,,,
,,,"Whatever you guys are ready? Yeah, you can start.",2023-03-02T16:06:14.350-08:00,2023-03-02T16:06:17.640-08:00,tutor,tutor,1,,,
,,,"I think, Probably testing like, I haven't completely overcome it. But I've gotten better at test taking.",2023-03-02T16:06:35.350-08:00,2023-03-02T16:06:41.370-08:00,student,student B,1,,,
,,,"Okay, yeah, that's fair.",2023-03-02T16:06:42.940-08:00,2023-03-02T16:06:44.980-08:00,tutor,tutor,1,,,
,,,"Yeah, i'll send if you want to go next.",2023-03-02T16:06:46.660-08:00,2023-03-02T16:06:49.510-08:00,tutor,tutor,1,,,
,,,You can do that.,2023-03-02T16:06:50.570-08:00,2023-03-02T16:06:51.800-08:00,tutor,tutor,1,,,
,,,I guess I would say my mass,2023-03-02T16:06:51.890-08:00,2023-03-02T16:06:55.350-08:00,student,student A,1,,,
,,,because I really showed a little bit now,2023-03-02T16:06:55.980-08:00,2023-03-02T16:06:58.820-08:00,student,student A,1,,,
,,,in the beginning of the year. and I still can show,2023-03-02T16:06:58.900-08:00,2023-03-02T16:07:02.180-08:00,student,student A,1,,,
,,,no worries.,2023-03-02T16:07:05.630-08:00,2023-03-02T16:07:07.330-08:00,tutor,tutor,1,,,
,,,"Hopefully, i'm able to help you a little with the Matt, at least for the",2023-03-02T16:07:08.100-08:00,2023-03-02T16:07:11.860-08:00,tutor,tutor,1,,,
,,,"But with that being said, we're going to move on to the curriculum for the day. This curriculum looks slightly different. It has the same things as we've done before, but we're going to start with the review test.",2023-03-02T16:07:13.900-08:00,2023-03-02T16:07:27.720-08:00,tutor,tutor,1,,,
,,,P: one. So,2023-03-02T16:07:27.860-08:00,2023-03-02T16:07:30.470-08:00,tutor,tutor,1,,,
,,,you guys want to make your way to,2023-03-02T16:07:30.630-08:00,2023-03-02T16:07:33.670-08:00,tutor,tutor,1,,,
,,,the assessments and go to B one.,2023-03-02T16:07:33.860-08:00,2023-03-02T16:07:36.710-08:00,tutor,tutor,1,,,
,,,Let me know when you're there. I'll open up responses in just a second.,2023-03-02T16:07:36.720-08:00,2023-03-02T16:07:41.490-08:00,tutor,tutor,1,,,
,,,I'm: there.,2023-03-02T16:07:49.670-08:00,2023-03-02T16:07:50.510-08:00,student,student B,1,,,
,,,Awesome,2023-03-02T16:07:51.210-08:00,2023-03-02T16:07:51.900-08:00,tutor,tutor,1,,,
,,,"me, too.",2023-03-02T16:07:53.460-08:00,2023-03-02T16:07:54.430-08:00,student,student A,1,,,
,,,"Okay, cool.",2023-03-02T16:07:55.070-08:00,2023-03-02T16:07:55.990-08:00,tutor,tutor,1,,,
,,,This is no calculator. 25 min. It should be accepting responses now. But,2023-03-02T16:07:56.270-08:00,2023-03-02T16:08:02.280-08:00,tutor,tutor,1,,,
,,,just give me a second to pull up the timer.,2023-03-02T16:08:02.330-08:00,2023-03-02T16:08:05.110-08:00,tutor,tutor,1,,,
,,,"Okay, so this is the timer",2023-03-02T16:08:16.860-08:00,2023-03-02T16:08:19.180-08:00,tutor,tutor,1,,,
,,,i'll started. Let's see. It is around 608 Pm. Central time for me now.,2023-03-02T16:08:19.330-08:00,2023-03-02T16:08:27.050-08:00,tutor,tutor,1,,,
,,,Whenever it hits 6 0 9.,2023-03-02T16:08:27.090-08:00,2023-03-02T16:08:29.080-08:00,tutor,tutor,1,,,
,,,"I'll start this Timer. And then you guys will have 25 min from there, starting 609.",2023-03-02T16:08:29.380-08:00,2023-03-02T16:08:35.640-08:00,tutor,tutor,1,,,
,,,"So until 6, 34.",2023-03-02T16:08:35.670-08:00,2023-03-02T16:08:37.930-08:00,tutor,tutor,1,,,
