problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,Screen.,2023-03-03T13:57:06.800-08:00,2023-03-03T13:57:08.160-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_3]! 70!",2023-03-03T13:58:15.310-08:00,2023-03-03T13:58:18.060-08:00,tutor,tutor,1,,,
,,,How are you doing today?,2023-03-03T13:58:26.340-08:00,2023-03-03T13:58:27.970-08:00,tutor,tutor,1,,,
,,,Good! How about you?,2023-03-03T13:58:30.530-08:00,2023-03-03T13:58:32.240-08:00,student,student A,1,,,
,,,"Pretty good, you excited that it's our second to last session?",2023-03-03T13:58:32.820-08:00,2023-03-03T13:58:36.220-08:00,tutor,tutor,1,,,
,,,"No, that means the sat is coming up, and I don't.",2023-03-03T13:58:36.970-08:00,2023-03-03T13:58:41.330-08:00,student,student A,1,,,
,,,"Yeah. Well, I hope that you feel a little bit more comfortable with it. But that's I know one of my friends. We thought it was actually this weekend, and",2023-03-03T13:58:41.570-08:00,2023-03-03T13:58:49.470-08:00,tutor,tutor,1,,,
,,,it'd be possible because i'm still tutoring this weekend. So that would make sense to have a zoom after the test.,2023-03-03T13:58:49.480-08:00,2023-03-03T13:58:55.850-08:00,tutor,tutor,1,,,
,,,"But yeah, I know my my friend is really nervous, too.",2023-03-03T13:58:56.000-08:00,2023-03-03T13:59:00.790-08:00,tutor,tutor,1,,,
,,,But that's okay.,2023-03-03T13:59:01.960-08:00,2023-03-03T13:59:03.530-08:00,tutor,tutor,1,,,
,,,I have to grab a calculator for I get one.,2023-03-03T13:59:04.060-08:00,2023-03-03T13:59:06.590-08:00,student,student A,1,,,
,,,"Hi and Vita, how are you doing today?",2023-03-03T13:59:08.430-08:00,2023-03-03T13:59:10.670-08:00,tutor,tutor,1,,,
,,,"Hi, i'm doing good. How are you",2023-03-03T13:59:13.980-08:00,2023-03-03T13:59:16.450-08:00,student,student B,1,,,
,,,"good here? Just remember to grab a calculator and pencil and paper, obviously. But yeah, we'll be taking test B 2 today.",2023-03-03T13:59:17.080-08:00,2023-03-03T13:59:24.620-08:00,tutor,tutor,1,,,
,,,Do you have any plans for the weekend?,2023-03-03T13:59:25.900-08:00,2023-03-03T13:59:27.730-08:00,tutor,tutor,1,,,
,,,"No, I don't. Well, actually, I do. I was going to attend this like school sponsored event on Saturday. But other than that, I didn't have much planned.",2023-03-03T13:59:28.510-08:00,2023-03-03T13:59:39.140-08:00,student,student B,1,,,
,,,"Do you think it's going to be fun, or you think it's just like a chore.",2023-03-03T13:59:39.380-08:00,2023-03-03T13:59:42.610-08:00,tutor,tutor,1,,,
,,,"I think it's going to be fun. I mean it's 4 h, but I think it's going to.",2023-03-03T13:59:42.910-08:00,2023-03-03T13:59:47.360-08:00,student,student B,1,,,
,,,"Oh, well, I hope you have time with that.",2023-03-03T13:59:48.000-08:00,2023-03-03T13:59:50.690-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-03T13:59:51.100-08:00,2023-03-03T13:59:52.730-08:00,student,student B,1,,,
,,,"I'm just gonna mute myself, really quick, because i'm gonna go over some of these problems from last session. Okay?",2023-03-03T13:59:55.160-08:00,2023-03-03T14:00:00.780-08:00,tutor,tutor,1,,,
,,,And then we can get started Once everybody joins.,2023-03-03T14:00:01.180-08:00,2023-03-03T14:00:03.640-08:00,tutor,tutor,1,,,
,,,"Hi, Abby!",2023-03-03T14:00:19.670-08:00,2023-03-03T14:00:20.780-08:00,tutor,tutor,1,,,
,,,Hi! GM!,2023-03-03T14:00:35.120-08:00,2023-03-03T14:00:36.240-08:00,tutor,tutor,1,,,
,,,Hi! [STUDENT_1]!,2023-03-03T14:01:17.250-08:00,2023-03-03T14:01:18.470-08:00,tutor,tutor,1,,,
,,,Hi!,2023-03-03T14:01:20.360-08:00,2023-03-03T14:01:21.320-08:00,student,student C,1,,,
,,,Hi! And anya,2023-03-03T14:02:03.560-08:00,2023-03-03T14:02:04.770-08:00,tutor,tutor,1,,,
,,,"alrighty! We're still waiting on a few to pop in. Just make sure you have a calculator for today, and pencil and paper.",2023-03-03T14:02:38.000-08:00,2023-03-03T14:02:44.380-08:00,tutor,tutor,1,,,
,,,"I was everybody feeling about the Sats next weekend. Are we nervous, or we're ready for them. ready to take them on.",2023-03-03T14:02:50.290-08:00,2023-03-03T14:02:57.720-08:00,tutor,tutor,1,,,
,,,"So we're gonna be starting with the test today right away. So that's why i'm giving you a little bit more time just to make sure everybody gets in, so nobody starting late. But we'll be doing test B 2 today. So if you want to pull that up.",2023-03-03T14:03:15.310-08:00,2023-03-03T14:03:27.790-08:00,tutor,tutor,1,,,
,,,"I think i'm accepting answers, but just don't start it yet, because we will start with a timer, so give a couple more minutes. We'll probably give it like 2 more minutes till 505, and then we'll start the test alrighty.",2023-03-03T14:03:28.020-08:00,2023-03-03T14:03:38.850-08:00,tutor,tutor,1,,,
,,,"Oh, my gosh! I totally forgot the attendance question. If you want to send in the chat. What you want to do most for tomorrow or some. No, yeah Sunday for our last zoom, because that'll be the last time we see each other before you take the sat next weekend, so you can just send in the chat either privately or you can send it to everybody. Doesn't matter to me if you're comfortable with sending it to everybody. That's fine.",2023-03-03T14:04:33.280-08:00,2023-03-03T14:04:52.540-08:00,tutor,tutor,1,,,
,,,"And then i'll work on some practice problems for that for Sunday, so we can make that",2023-03-03T14:04:52.540-08:00,2023-03-03T14:04:56.670-08:00,tutor,tutor,1,,,
,,,hopefully comforting for the Sat on Saturday of next week. I think the eleventh. I think it is right.,2023-03-03T14:04:56.810-08:00,2023-03-03T14:05:04.030-08:00,tutor,tutor,1,,,
