problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"I have only a couple more minutes, but just the heads up. We're going to be starting with a practice test right away today.",2023-02-28T17:03:16.920-08:00,2023-02-28T17:03:21.330-08:00,tutor,tutor,1,,,
,,,All right. Okay.,2023-02-28T17:05:10.960-08:00,2023-02-28T17:05:12.720-08:00,tutor,tutor,1,,,
,,,One person in the waiting room,2023-02-28T17:05:12.990-08:00,2023-02-28T17:05:14.760-08:00,tutor,tutor,1,,,
,,,and here we go. So alright.,2023-02-28T17:05:18.590-08:00,2023-02-28T17:05:21.160-08:00,tutor,tutor,1,,,
,,,session 6 out of 8 here,2023-02-28T17:05:21.480-08:00,2023-02-28T17:05:24.100-08:00,tutor,tutor,1,,,
,,,"just today, next week, and then march eleventh Disney March. So",2023-02-28T17:05:24.240-08:00,2023-02-28T17:05:28.730-08:00,tutor,tutor,1,,,
,,,"I mean, you know I mentioned all are getting ready for that. So like I said a few minutes ago, we're going to start with the practice test right away. So",2023-02-28T17:05:29.060-08:00,2023-02-28T17:05:36.890-08:00,tutor,tutor,1,,,
,,,let me. Where is this,2023-02-28T17:05:38.530-08:00,2023-02-28T17:05:40.510-08:00,tutor,tutor,1,,,
,,,sorry?,2023-02-28T17:05:44.010-08:00,2023-02-28T17:05:44.660-08:00,tutor,tutor,1,,,
,,,A.,2023-02-28T17:05:44.860-08:00,2023-02-28T17:05:45.780-08:00,tutor,tutor,1,,,
,,,And that's the we're going to do practice? Test B one. So it's now open.,2023-02-28T17:05:49.160-08:00,2023-02-28T17:05:54.130-08:00,tutor,tutor,1,,,
,,,I believe that is,2023-02-28T17:05:55.040-08:00,2023-02-28T17:05:57.290-08:00,tutor,tutor,1,,,
,,,25 min. So,2023-02-28T17:05:57.480-08:00,2023-02-28T17:05:59.630-08:00,tutor,tutor,1,,,
,,,go ahead and started with that good luck.,2023-02-28T17:05:59.910-08:00,2023-02-28T17:06:03.540-08:00,tutor,tutor,1,,,
,,,I'm not sure what's going on here.,2023-02-28T17:36:52.870-08:00,2023-02-28T17:36:55.740-08:00,tutor,tutor,1,,,
