problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491 (B2),,1.0,"All right. Hello, Everybody Hope everyone's having a good Monday.",2023-03-06T16:02:12.410-08:00,2023-03-06T16:02:16.430-08:00,tutor,tutor,1,,,
,,,"We're gonna get started right away today with the practice test. Everybody could start on practice Test B 2,",2023-03-06T16:02:18.000-08:00,2023-03-06T16:02:26.350-08:00,tutor,tutor,1,,,
,,,and you'll have,2023-03-06T16:02:28.420-08:00,2023-03-06T16:02:30.330-08:00,tutor,tutor,1,,,
,,,20 min. 25 min for 25 min. Okay. But a good one all right the people who just joined we're gonna start a meeting for the people who just joined. We're going to start immediately with,2023-03-06T16:02:36.680-08:00,2023-03-06T16:02:49.520-08:00,tutor,tutor,1,,,
,,,practice Test B 2. You'll have 20 min. Everybody could get started on that,2023-03-06T16:02:49.910-08:00,2023-03-06T16:02:55.910-08:00,tutor,tutor,1,,,
,,,actually screwed up the timing up at 20 min. Must be 25.,2023-03-06T16:16:52.960-08:00,2023-03-06T16:16:57.200-08:00,tutor,tutor,1,,,
,,,"Yeah, let me add 5 more minutes. Sorry about that",2023-03-06T16:17:01.050-08:00,2023-03-06T16:17:04.690-08:00,tutor,tutor,1,,,
,,,there. You got an 11 min left.,2023-03-06T16:17:32.540-08:00,2023-03-06T16:17:35.170-08:00,tutor,tutor,1,,,
,,,"right there, just a few seconds left 30 s left. Everybody could finish up",2023-03-06T16:28:15.390-08:00,2023-03-06T16:28:20.260-08:00,tutor,tutor,1,,,
,,,all right. Time is up now. We're gonna go over some of them,2023-03-06T16:29:04.200-08:00,2023-03-06T16:29:07.860-08:00,tutor,tutor,1,,,
,,,all right.,2023-03-06T16:29:38.480-08:00,2023-03-06T16:29:39.950-08:00,tutor,tutor,1,,,
,2.0,1.0,We will start with,2023-03-06T16:29:50.450-08:00,2023-03-06T16:29:52.510-08:00,tutor,tutor,2,,2.0,
,,,number 2.,2023-03-06T16:29:53.960-08:00,2023-03-06T16:29:55.360-08:00,tutor,tutor,2,,2.0,
,,,So number 2 says a text messaging plan charges,2023-03-06T16:29:56.030-08:00,2023-03-06T16:30:00.340-08:00,tutor,tutor,2,,2.0,
,,,a flat fee of $5 per month for up to 100 text messages. plus 25 cents for each additional text message sent that month.,2023-03-06T16:30:01.000-08:00,2023-03-06T16:30:10.030-08:00,tutor,tutor,2,,2.0,
,,,Which of the following graphs represent the cost? Why of sending X tests. X test text. That's I cannot say that in a month.,2023-03-06T16:30:10.310-08:00,2023-03-06T16:30:20.670-08:00,tutor,tutor,2,,2.0,
,,,So,2023-03-06T16:30:20.990-08:00,2023-03-06T16:30:22.760-08:00,tutor,tutor,2,,2.0,
,,,right? So we're looking. So the graph represents the cost by,2023-03-06T16:30:24.720-08:00,2023-03-06T16:30:28.660-08:00,tutor,tutor,2,,2.0,
,,,and X texts right? So up to a 100 texts.,2023-03-06T16:30:29.840-08:00,2023-03-06T16:30:34.290-08:00,tutor,tutor,2,,2.0,
,,,right? The cost is $5 per month. Right? That's what the first one says. So,2023-03-06T16:30:34.670-08:00,2023-03-06T16:30:39.960-08:00,tutor,tutor,2,,2.0,
,,,right off the bat. I think we can cross out C and D.,2023-03-06T16:30:40.600-08:00,2023-03-06T16:30:46.720-08:00,tutor,tutor,2,,2.0,
,,,"Right? Because the cost Why? The the why value is not going to change up to 100 once it gets up to 100,",2023-03-06T16:30:47.230-08:00,2023-03-06T16:30:54.160-08:00,tutor,tutor,2,,2.0,
,,,"the cost will start going up. not down, which is what B answer B looks like.",2023-03-06T16:30:54.260-08:00,2023-03-06T16:31:00.780-08:00,tutor,tutor,2,,2.0,
,,,and because you're going to add 25 cents for each additional test text. So each text the line will up any questions on that one.,2023-03-06T16:31:02.200-08:00,2023-03-06T16:31:13.060-08:00,tutor,tutor,2,,2.0,
,8.0,1.0,"All right, move on to 8",2023-03-06T16:31:17.920-08:00,2023-03-06T16:31:20.300-08:00,tutor,tutor,3,,8.0,
