problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Hi, Angela!",2023-02-28T14:29:50.400-08:00,2023-02-28T14:29:51.520-08:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_7]! Hi.",2023-02-28T14:29:57.530-08:00,2023-02-28T14:29:59.800-08:00,tutor,tutor,1,,,
,,,Willie!,2023-02-28T14:30:00.480-08:00,2023-02-28T14:30:01.580-08:00,tutor,tutor,1,,,
,,,"Hi, Anne! Hi, [STUDENT_9]!",2023-02-28T14:30:07.850-08:00,2023-02-28T14:30:09.570-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-28T14:30:10.760-08:00,2023-02-28T14:30:11.690-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-28T14:30:14.080-08:00,2023-02-28T14:30:15.030-08:00,tutor,tutor,1,,,
,,,just to,2023-02-28T14:30:16.590-08:00,2023-02-28T14:30:17.700-08:00,tutor,tutor,1,,,
,,,"Oh, [STUDENT_7], okay.",2023-02-28T14:30:19.300-08:00,2023-02-28T14:30:21.240-08:00,tutor,tutor,1,,,
,,,just to kind of see where you guys like are kind of with the s it.,2023-02-28T14:30:22.630-08:00,2023-02-28T14:30:28.110-08:00,tutor,tutor,1,,,
,,,"If everyone actually you guys can just type this in the chat. But if you guys could have taken the s before like right? Yes, in the chat, or if you've done it like what like actually just right, like the number of times that you've taken it just so I can get a sense",2023-02-28T14:30:28.970-08:00,2023-02-28T14:30:44.680-08:00,tutor,tutor,1,,,
,,,of 1 0 one.,2023-02-28T14:30:45.340-08:00,2023-02-28T14:30:49.540-08:00,tutor,tutor,1,,,
,,,All right. Well,2023-02-28T14:30:50.870-08:00,2023-02-28T14:30:53.520-08:00,tutor,tutor,1,,,
,,,hi zach!,2023-02-28T14:30:56.970-08:00,2023-02-28T14:30:58.070-08:00,tutor,tutor,1,,,
,,,"Everyone is just writing in the chat if they've taken that Ct before, and how many times on, just like you get a sense of kind of where you guys are with it?",2023-02-28T14:30:59.400-08:00,2023-02-28T14:31:08.450-08:00,tutor,tutor,1,,,
,,,How did you guys feel about like your first time taking a test.,2023-02-28T14:31:09.550-08:00,2023-02-28T14:31:13.160-08:00,tutor,tutor,1,,,
,,,Only the Ps. It Gotcha.,2023-02-28T14:31:14.640-08:00,2023-02-28T14:31:16.990-08:00,tutor,tutor,1,,,
,,,All right.,2023-02-28T14:31:21.850-08:00,2023-02-28T14:31:22.690-08:00,tutor,tutor,1,,,
,,,So today our be. Give me 1 s to come up with a good one.,2023-02-28T14:31:25.140-08:00,2023-02-28T14:31:33.460-08:00,tutor,tutor,1,,,
