problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"All right now, the way pick it. You 2 are always the first people to come.",2023-03-08T16:30:48.930-08:00,2023-03-08T16:30:51.970-08:00,tutor,tutor,1,,,
,,,I really appreciate that.,2023-03-08T16:30:53.160-08:00,2023-03-08T16:30:54.570-08:00,tutor,tutor,1,,,
,,,"Wait quick question. Can you guys see, [STUDENT_6], because i'm not able to this like coming up black for me.",2023-03-08T16:31:34.440-08:00,2023-03-08T16:31:39.470-08:00,tutor,tutor,1,,,
,,,Oh.,2023-03-08T16:31:40.250-08:00,2023-03-08T16:31:40.980-08:00,tutor,tutor,1,,,
,,,"all right, so i'm just gonna get started hopefully. Everybody else will",2023-03-08T16:37:08.900-08:00,2023-03-08T16:37:13.750-08:00,tutor,tutor,1,,,
,,,come in soon.,2023-03-08T16:37:14.020-08:00,2023-03-08T16:37:15.610-08:00,tutor,tutor,1,,,
,,,"So yeah, welcome to the last day of sat boot camps.",2023-03-08T16:37:16.169-08:00,2023-03-08T16:37:23.280-08:00,tutor,tutor,1,,,
,,,I hope you all are feeling a little bit better now about the test.,2023-03-08T16:37:24.120-08:00,2023-03-08T16:37:27.650-08:00,tutor,tutor,1,,,
,,,all right. So we got some slides for you. Here we go.,2023-03-08T16:37:28.090-08:00,2023-03-08T16:37:31.550-08:00,tutor,tutor,1,,,
,,,"all right, so can everyone see these",2023-03-08T16:37:37.830-08:00,2023-03-08T16:37:39.980-08:00,tutor,tutor,1,,,
,,,right perfect because mine is not voting yet,2023-03-08T16:37:42.690-08:00,2023-03-08T16:37:45.290-08:00,tutor,tutor,1,,,
,,,alright. Great.,2023-03-08T16:37:46.240-08:00,2023-03-08T16:37:47.640-08:00,tutor,tutor,1,,,
,,,"So week for day, 2 prep for test day. Let's go",2023-03-08T16:37:48.020-08:00,2023-03-08T16:37:52.360-08:00,tutor,tutor,1,,,
,,,all right. So just a quick little welcome question. So how are you feeling going into testing. How about [STUDENT_2] starts? Because she's on my screen.,2023-03-08T16:37:53.440-08:00,2023-03-08T16:38:02.370-08:00,tutor,tutor,1,,,
,,,I learned that I have to read the word problems very carefully.,2023-03-08T16:38:10.760-08:00,2023-03-08T16:38:17.140-08:00,student,student A,1,,,
,,,"because before I didn't really do that. I just came through it. Oh, yeah, for sure. Yeah. So you know, I always like to say that the math portion of the sat is just reading portion 2,",2023-03-08T16:38:17.300-08:00,2023-03-08T16:38:29.330-08:00,student,student A,1,,,
,,,"because, you know, the the math is in a lot of cases the math is not especially difficult, but it's just very important to look know what they're looking for",2023-03-08T16:38:29.530-08:00,2023-03-08T16:38:37.750-08:00,tutor,tutor,1,,,
,,,already. So why don't you choose the next person.,2023-03-08T16:38:38.040-08:00,2023-03-08T16:38:41.580-08:00,tutor,tutor,1,,,
,,,[STUDENT_5]?,2023-03-08T16:38:41.880-08:00,2023-03-08T16:38:43.990-08:00,student,student A,1,,,
,,,I'm feeling pretty.,2023-03-08T16:38:47.300-08:00,2023-03-08T16:38:49.930-08:00,student,student B,1,,,
,,,"I'm not nervous, because I've taken it before.",2023-03-08T16:38:51.180-08:00,2023-03-08T16:38:55.560-08:00,student,student B,1,,,
,,,"but i'm more like excited to see how I do after like learning more, you know.",2023-03-08T16:38:56.180-08:00,2023-03-08T16:39:03.940-08:00,student,student B,1,,,
,,,"Oh, all right. Yeah, that's good. Can you ask the next person? Yeah, [STUDENT_6].",2023-03-08T16:39:07.600-08:00,2023-03-08T16:39:14.120-08:00,tutor,tutor,1,,,
,,,I feel better than last time.,2023-03-08T16:39:16.630-08:00,2023-03-08T16:39:18.750-08:00,tutor,tutor,1,,,
,,,because I didn't do too good last time.,2023-03-08T16:39:19.040-08:00,2023-03-08T16:39:21.480-08:00,student,student C,1,,,
,,,and Adrian can go,2023-03-08T16:39:22.140-08:00,2023-03-08T16:39:24.600-08:00,student,student C,1,,,
,,,"well. I'm feeling a bit more confident, because at least I understand some certain topics that I I didn't before. Also i'm more relieved that I have extended time in the sat because I didn't actually get it on the Psat",2023-03-08T16:39:26.610-08:00,2023-03-08T16:39:41.200-08:00,student,student D,1,,,
,,,so,2023-03-08T16:39:41.590-08:00,2023-03-08T16:39:42.420-08:00,student,student D,1,,,
,,,and fully we can go next.,2023-03-08T16:39:42.880-08:00,2023-03-08T16:39:46.540-08:00,student,student D,1,,,
,,,I'm. Feeling a bit more prepared than I did before,2023-03-08T16:39:49.230-08:00,2023-03-08T16:39:53.870-08:00,student,student E,1,,,
,,,he started.,2023-03-08T16:39:54.360-08:00,2023-03-08T16:39:55.540-08:00,student,student E,1,,,
,,,and that's good. I'm not sure. Who else Hasn't gone?,2023-03-08T16:39:58.060-08:00,2023-03-08T16:40:04.220-08:00,student,student E,1,,,
,,,Let's see.,2023-03-08T16:40:04.920-08:00,2023-03-08T16:40:06.580-08:00,tutor,tutor,1,,,
,,,"[STUDENT_3], Have you gone yet?",2023-03-08T16:40:09.910-08:00,2023-03-08T16:40:11.480-08:00,tutor,tutor,1,,,
,,,All right? I think you're the last one. Then,2023-03-08T16:40:12.920-08:00,2023-03-08T16:40:15.990-08:00,tutor,tutor,1,,,
,,,I the question that's on the screen.,2023-03-08T16:40:16.970-08:00,2023-03-08T16:40:19.030-08:00,student,student F,1,,,
,,,"Oh, yeah, what can you see it?",2023-03-08T16:40:19.500-08:00,2023-03-08T16:40:20.950-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah, I can. That's very fine.",2023-03-08T16:40:21.010-08:00,2023-03-08T16:40:24.190-08:00,student,student F,1,,,
,,,"I'm: feeling okay, Not too confident. But",2023-03-08T16:40:27.420-08:00,2023-03-08T16:40:32.760-08:00,student,student F,1,,,
,,,"okay, so",2023-03-08T16:40:33.200-08:00,2023-03-08T16:40:35.450-08:00,student,student F,1,,,
,,,yeah.,2023-03-08T16:40:35.480-08:00,2023-03-08T16:40:36.310-08:00,student,student F,1,,,
,,,"yeah, I mean, just just know that. You know you've put in the work. and from here, you know you're just gonna read those rewards right This, you know. Stay, stay positive. Stay focused, and you'll be fine.",2023-03-08T16:40:36.500-08:00,2023-03-08T16:40:47.500-08:00,tutor,tutor,1,,,
,,,"So yeah, don't worry about it. So we shall move on.",2023-03-08T16:40:47.980-08:00,2023-03-08T16:40:51.290-08:00,tutor,tutor,1,,,
,,,And so some tips for a test date.,2023-03-08T16:40:52.410-08:00,2023-03-08T16:40:54.320-08:00,tutor,tutor,1,,,
,,,"So for so to perform at your best. Remember to get a good night's sleep, eat a healthy breakfast, because good food equals good brain and get to the test like nice and early, because you the last thing you want is to be like, Where are we? Because.",2023-03-08T16:40:54.350-08:00,2023-03-08T16:41:08.120-08:00,tutor,tutor,1,,,
,,,"like? When I took the sat, I took it at some random school.",2023-03-08T16:41:08.190-08:00,2023-03-08T16:41:12.250-08:00,tutor,tutor,1,,,
,,,"and I had no idea where anything was, so I got there nice and early, so that I could try to figure stuff out before, and there's some more of tips, and I think, even though they're not, They're like optional to go over. I think they're pretty important.",2023-03-08T16:41:12.510-08:00,2023-03-08T16:41:24.900-08:00,tutor,tutor,1,,,
,,,So i'm going to just go right on here to kick out of me because iconic ivy is awesome. all right. So the big day. So I know some of you guys don't have the sat,2023-03-08T16:41:25.080-08:00,2023-03-08T16:41:37.480-08:00,tutor,tutor,1,,,
,,,"this coming Saturday, but I think most of you guys do",2023-03-08T16:41:37.660-08:00,2023-03-08T16:41:40.170-08:00,tutor,tutor,1,,,
,,,"so right here we are. The big day is finally here. You've studied. You've practiced, and you've done a good nicely, hopefully. The last hurdle is just to take the test. So one key to overcoming test. The anxiety is to have a plan. So the night before, just relax. So a lot of good reasons not to study the night of her testing, because, you know, obviously, like",2023-03-08T16:41:40.310-08:00,2023-03-08T16:41:58.420-08:00,tutor,tutor,1,,,
,,,you know Marathon is Don't run before racing. I i'm a musician and the like right before I have a performance. I don't practice,2023-03-08T16:41:58.590-08:00,2023-03-08T16:42:04.860-08:00,tutor,tutor,1,,,
,,,"because I just kind of need to like. Clear my mind, and you know not have stage fight or anything.",2023-03-08T16:42:04.920-08:00,2023-03-08T16:42:09.170-08:00,tutor,tutor,1,,,
,,,"and you know your brain needs rest just like how your body does your brain and stress, too, and you know, just like you know.",2023-03-08T16:42:09.340-08:00,2023-03-08T16:42:16.150-08:00,tutor,tutor,1,,,
,,,"just relax and then avoid screen time. So if you want to get a good night's sleep. A good thing is to avoid screen time and have a healthy dinner right before you know. Drink lots of water, load up with carbs and stuff like that.",2023-03-08T16:42:16.290-08:00,2023-03-08T16:42:28.510-08:00,tutor,tutor,1,,,
,,,you know. and then organize your bag. So it's important that you have all of these things,2023-03-08T16:42:28.670-08:00,2023-03-08T16:42:34.620-08:00,tutor,tutor,1,,,
,,,"on tested because they might. The thing with the sat is that it's one of those like super duper officials, because I mean a lot of you guys have already taken it. So you know how it is right, you know. You need your id and your admission ticket and your pencil calculator and all that stuff.",2023-03-08T16:42:34.770-08:00,2023-03-08T16:42:49.580-08:00,tutor,tutor,1,,,
