problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,"Hey, everyone! I'm just waiting to see if you want. People are going to join. But if you want to join me and turn your cameras on that'd be great.",2023-02-20T21:02:29.330+00:00,2023-02-20T21:02:37.120+00:00,tutor,tutor,1,,,
,,,"Okay, I think I'm gonna get started here, so welcome everyone",2023-02-20T21:03:32.150+00:00,2023-02-20T21:03:36.480+00:00,tutor,tutor,1,,,
,,,"to week to day 2 0f the boot camp. Our welcome question for the day is, if you guys have any feedback about the Iat boot camp so far can also share your favorite moment or",2023-02-20T21:03:36.670+00:00,2023-02-20T21:03:52.470+00:00,tutor,tutor,1,,,
,,,an area that I think that you think I can improve in. You can type in the chat. You can chat it out.,2023-02-20T21:03:52.480+00:00,2023-02-20T21:03:59.280+00:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-20T21:04:00.630+00:00,2023-02-20T21:04:01.470+00:00,tutor,tutor,1,,,
,,,And doesn't really have any feedback. To be honest. I mean.,2023-02-20T21:04:21.320+00:00,2023-02-20T21:04:24.260+00:00,student,student A,1,,,
,,,"Okay, thanks.",2023-02-20T21:04:28.880+00:00,2023-02-20T21:04:30.370+00:00,tutor,tutor,1,,,
,,,Cool.,2023-02-20T21:04:32.940+00:00,2023-02-20T21:04:33.770+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-20T21:04:35.980+00:00,2023-02-20T21:04:36.560+00:00,tutor,tutor,1,,,
,,,"Oh, just move on today. We have some more targeted group practice. So I thought, since we kinda ran out of time reviewing the last practice.",2023-02-20T21:04:37.040+00:00,2023-02-20T21:04:48.870+00:00,tutor,tutor,1,,,
,,,"Tess, if you guys had any more questions, we can g0 0ver some of those, and then I do have 2 0ther practice questions picked out based on how you guys did on the",2023-02-20T21:04:49.090+00:00,2023-02-20T21:05:00.760+00:00,tutor,tutor,1,,,
,,,"previous practice test and the topics that we might need a little more work on. And then we'll take another practice test, using our calculators, and then at the end we'll review it for about 30 min. So",2023-02-20T21:05:00.980+00:00,2023-02-20T21:05:14.610+00:00,tutor,tutor,1,,,
,,,if you guys want to pull up the last test and have or ask me any more questions. We can kinda work through them together to know we only one over one or 2 last time.,2023-02-20T21:05:14.880+00:00,2023-02-20T21:05:27.930+00:00,tutor,tutor,1,,,
,,,I mean you can say it out loud or drop it in the chat either way.,2023-02-20T21:06:26.280+00:00,2023-02-20T21:06:30.090+00:00,tutor,tutor,1,,,
