problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,"Hello, [STUDENT_6]!",2023-02-19T18:00:15.200+00:00,2023-02-19T18:00:16.380+00:00,tutor,tutor,1,,,
,,,Good morning!,2023-02-19T18:00:17.600+00:00,2023-02-19T18:00:18.730+00:00,student,student A,1,,,
,,,All afternoon now.,2023-02-19T18:00:18.930+00:00,2023-02-19T18:00:20.400+00:00,student,student A,1,,,
,,,"Hello, Brianna!",2023-02-19T18:00:26.230+00:00,2023-02-19T18:00:27.510+00:00,tutor,tutor,1,,,
,,,"Oh, she's not connected here. Hello, Brianna!",2023-02-19T18:00:29.440+00:00,2023-02-19T18:00:33.870+00:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-19T18:00:36.660+00:00,2023-02-19T18:00:37.480+00:00,student,student B,1,,,
,,,Time's already started. I don't see anyone. I'll just check later. I'm just gonna g0 0ver a presentation of like it's not. you know. This is this: Once it by,2023-02-19T18:00:59.390+00:00,2023-02-19T18:01:11.250+00:00,tutor,tutor,1,,,
,,,School House. I kind of have to plan some other things that they're going to do that they have t0 0ffer. So i'm gonna cover a presentation. I'll show that real quick.,2023-02-19T18:01:11.400+00:00,2023-02-19T18:01:21.110+00:00,tutor,tutor,1,,,
,,,So Okay. I can share my screen.,2023-02-19T18:01:24.340+00:00,2023-02-19T18:01:29.700+00:00,tutor,tutor,1,,,
,,,You my screen.,2023-02-19T18:01:47.960+00:00,2023-02-19T18:01:49.280+00:00,tutor,tutor,1,,,
,,,Yes.,2023-02-19T18:01:51.680+00:00,2023-02-19T18:01:52.640+00:00,student,student A,1,,,
,,,"Hello, Kevin.",2023-02-19T18:01:54.330+00:00,2023-02-19T18:01:55.870+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-19T18:01:57.639+00:00,2023-02-19T18:01:58.440+00:00,tutor,tutor,1,,,
,,,we're about to go into presentation about this other services that school house has. So,2023-02-19T18:01:58.639+00:00,2023-02-19T18:02:05.600+00:00,tutor,tutor,1,,,
,,,well just started. What? What's your what? Your favorite subjects.,2023-02-19T18:02:07.450+00:00,2023-02-19T18:02:13.500+00:00,tutor,tutor,1,,,
,,,[STUDENT_3]? Let's see if you're a subject.,2023-02-19T18:02:13.650+00:00,2023-02-19T18:02:15.610+00:00,tutor,tutor,1,,,
,,,"Oh, my favorite subject is either math or anatomy.",2023-02-19T18:02:18.000+00:00,2023-02-19T18:02:21.160+00:00,student,student C,1,,,
,,,Why do you. Why would you favor,2023-02-19T18:02:21.890+00:00,2023-02-19T18:02:23.990+00:00,tutor,tutor,1,,,
,,,"you? Said, Why is my favorite?",2023-02-19T18:02:25.400+00:00,2023-02-19T18:02:28.480+00:00,student,student C,1,,,
,,,So i'm not in trouble with audio.,2023-02-19T18:02:33.240+00:00,2023-02-19T18:02:39.970+00:00,tutor,tutor,1,,,
,,,"Oh, yeah, I like I like that to me a lot. It's easy to me. I like the human body and stuff and math, I mean, i'm good at math. So",2023-02-19T18:02:40.120+00:00,2023-02-19T18:02:49.610+00:00,student,student C,1,,,
,,,"okay, i'll pick someone else for the question, how is you on?",2023-02-19T18:02:52.770+00:00,2023-02-19T18:02:57.220+00:00,tutor,tutor,1,,,
,,,"Oh, sorry. Pick someone else",2023-02-19T18:02:59.250+00:00,2023-02-19T18:03:01.760+00:00,tutor,tutor,1,,,
,,,for to have the question.,2023-02-19T18:03:04.220+00:00,2023-02-19T18:03:06.000+00:00,tutor,tutor,1,,,
,,,Okay? Or if I just go.,2023-02-19T18:03:14.820+00:00,2023-02-19T18:03:17.610+00:00,student,student A,1,,,
,,,"Yeah, okay, he can go.",2023-02-19T18:03:18.160+00:00,2023-02-19T18:03:19.580+00:00,tutor,tutor,1,,,
,,,"I Here it's subjected Well, I have 2 favorite subjects, science and history. They are my favorite subjects, because science",2023-02-19T18:03:20.240+00:00,2023-02-19T18:03:27.870+00:00,student,student A,1,,,
,,,"I get the word about lot of the way things work, and with history I get to learn about what happened in the past. and what events sort of happen in human history.",2023-02-19T18:03:27.920+00:00,2023-02-19T18:03:40.090+00:00,student,student A,1,,,
,,,"Brianna, what's your favorite subject? And why",2023-02-19T18:03:47.580+00:00,2023-02-19T18:03:50.100+00:00,tutor,tutor,1,,,
,,,i'm having trouble hearing you is there?,2023-02-19T18:03:58.340+00:00,2023-02-19T18:04:01.410+00:00,tutor,tutor,1,,,
,,,If they can increase,2023-02-19T18:04:03.790+00:00,2023-02-19T18:04:06.860+00:00,tutor,tutor,1,,,
,,,your audio,2023-02-19T18:04:07.220+00:00,2023-02-19T18:04:08.899+00:00,tutor,tutor,1,,,
,,,cool.,2023-02-19T18:04:17.610+00:00,2023-02-19T18:04:18.210+00:00,tutor,tutor,1,,,
,,,Okay. perfect. That's cool. Cool,2023-02-19T18:04:36.500+00:00,2023-02-19T18:04:41.110+00:00,tutor,tutor,1,,,
,,,you and let's see if they were subject to. Why,2023-02-19T18:04:44.090+00:00,2023-02-19T18:04:46.670+00:00,tutor,tutor,1,,,
,,,"she what? What's your favorite? Oh, sorry.",2023-02-19T18:05:04.430+00:00,2023-02-19T18:05:07.860+00:00,tutor,tutor,1,,,
,,,"My favorite subject is math, because I like to solve problems.",2023-02-19T18:05:08.130+00:00,2023-02-19T18:05:14.330+00:00,student,student D,1,,,
,,,Okay?,2023-02-19T18:05:14.920+00:00,2023-02-19T18:05:15.490+00:00,tutor,tutor,1,,,
,,,Oh.,2023-02-19T18:05:16.870+00:00,2023-02-19T18:05:17.580+00:00,tutor,tutor,1,,,
,,,"did you know that schoolhouse has many other subjects that you can get tutored, and they have one on one live homework help for for 7 Pm. Pacific time, or I don't know my time this at time would be 7 t0 10.",2023-02-19T18:05:17.840+00:00,2023-02-19T18:05:33.420+00:00,tutor,tutor,1,,,
,,,"So if you need help, and we also have a small group review section for the session for the subject. You need more",2023-02-19T18:05:33.610+00:00,2023-02-19T18:05:40.640+00:00,tutor,tutor,1,,,
,,,"if you like, working in a group, but those aren't as like on demand as a homework help you have to like. Look at the time that people are open.",2023-02-19T18:05:41.700+00:00,2023-02-19T18:05:51.100+00:00,tutor,tutor,1,,,
,,,So if you like.,2023-02-19T18:05:51.410+00:00,2023-02-19T18:05:52.710+00:00,tutor,tutor,1,,,
,,,"if it's like around the time for life, homework up which I again is",2023-02-19T18:05:52.900+00:00,2023-02-19T18:05:57.240+00:00,tutor,tutor,1,,,
,,,47 Pacific time on weekdays only,2023-02-19T18:05:57.500+00:00,2023-02-19T18:06:01.190+00:00,tutor,tutor,1,,,
,,,"then you could like, G0 0n, and there's a decent chance that someone would come up.",2023-02-19T18:06:01.460+00:00,2023-02-19T18:06:05.780+00:00,tutor,tutor,1,,,
,,,"But if you like, just want to review, and you don't the time is in touch direct. You can go for a small group group section.",2023-02-19T18:06:06.390+00:00,2023-02-19T18:06:14.480+00:00,tutor,tutor,1,,,
,,,I guess some of the things that they have there. Some of the subjects for all of them that they have. It's actually a pretty good amount. They also have stuff for science. not just math.,2023-02-19T18:06:15.760+00:00,2023-02-19T18:06:27.480+00:00,tutor,tutor,1,,,
,,,and,2023-02-19T18:06:28.140+00:00,2023-02-19T18:06:28.800+00:00,tutor,tutor,1,,,
,,,we got it,2023-02-19T18:06:31.900+00:00,2023-02-19T18:06:32.790+00:00,tutor,tutor,1,,,
,,,a lot of resources here that's all free.,2023-02-19T18:06:32.890+00:00,2023-02-19T18:06:35.460+00:00,tutor,tutor,1,,,
,,,Okay. So this is what we're doing today.,2023-02-19T18:06:37.510+00:00,2023-02-19T18:06:41.110+00:00,tutor,tutor,1,,,
,,,"Oh. yeah, okay. i'm going to",2023-02-19T18:06:42.270+00:00,2023-02-19T18:06:46.970+00:00,tutor,tutor,1,,,
,,,and pull up my white. So,2023-02-19T18:06:50.800+00:00,2023-02-19T18:06:53.930+00:00,tutor,tutor,1,,,
,,,"today for targeted group practice, I'm just going to g0 0ver Radicals again. And then i'm gonna g0 0ver",2023-02-19T18:06:59.750+00:00,2023-02-19T18:07:06.920+00:00,tutor,tutor,1,,,
,,,graphs and lines.,2023-02-19T18:07:08.260+00:00,2023-02-19T18:07:10.330+00:00,tutor,tutor,1,,,
,,,See this whiteboard.,2023-02-19T18:07:48.050+00:00,2023-02-19T18:07:49.580+00:00,tutor,tutor,1,,,
,,,Yes.,2023-02-19T18:07:54.330+00:00,2023-02-19T18:07:55.190+00:00,student,student A,1,,,
,,,Okay.,2023-02-19T18:07:55.240+00:00,2023-02-19T18:07:55.810+00:00,student,student A,1,,,
,,,Thank you.,2023-02-19T18:07:56.080+00:00,2023-02-19T18:07:56.880+00:00,tutor,tutor,1,,,
,,,"There, some radicals in the fat radical equations are basically any equations of all the square root that's",2023-02-19T18:07:58.490+00:00,2023-02-19T18:08:06.780+00:00,tutor,tutor,1,,,
,,,And this,2023-02-19T18:08:07.900+00:00,2023-02-19T18:08:09.590+00:00,tutor,tutor,1,,,
,,,"simple terms squares. Just take a number, and then break it down into a number that has multiplied by. If the number is multiplied by itself, then it will equal to the number that you square rooted",2023-02-19T18:08:09.630+00:00,2023-02-19T18:08:22.159+00:00,tutor,tutor,1,,,
,,,so. for i'll kind of be careful for,2023-02-19T18:08:22.260+00:00,2023-02-19T18:08:27.080+00:00,tutor,tutor,1,,,
,,,"would equal t0 2, because 2 times 2 equals t0 4.",2023-02-19T18:08:27.770+00:00,2023-02-19T18:08:31.890+00:00,tutor,tutor,1,,,
,,,So because,2023-02-19T18:08:32.409+00:00,2023-02-19T18:08:34.560+00:00,tutor,tutor,1,,,
,,,so any equation that I love is going to be,2023-02-19T18:08:36.120+00:00,2023-02-19T18:08:39.800+00:00,tutor,tutor,1,,,
,,,"okay, cool.",2023-02-19T18:08:40.210+00:00,2023-02-19T18:08:41.100+00:00,tutor,tutor,1,,,
,-1.0,1.0,So I'm just going to pull up a,2023-02-19T18:08:41.160+00:00,2023-02-19T18:08:43.580+00:00,tutor,tutor,2,,-1.0,
,,,just make up a random radical equation and hopefully solve.,2023-02-19T18:08:43.740+00:00,2023-02-19T18:08:49.710+00:00,tutor,tutor,2,,-1.0,
,,,Okay. So i'm just going to put,2023-02-19T18:08:51.230+00:00,2023-02-19T18:08:53.740+00:00,tutor,tutor,2,,-1.0,
,,,random numbers X plus for you,2023-02-19T18:08:55.750+00:00,2023-02-19T18:09:00.470+00:00,tutor,tutor,2,,-1.0,
,,,2.,2023-02-19T18:09:01.720+00:00,2023-02-19T18:09:02.430+00:00,tutor,tutor,2,,-1.0,
,,,Thanks.,2023-02-19T18:09:03.440+00:00,2023-02-19T18:09:04.480+00:00,tutor,tutor,2,,-1.0,
,,,"Oh, Lord! Is always since this is where we need to get it out of the square root, so we will be able to put these to an equal term. So",2023-02-19T18:09:08.200+00:00,2023-02-19T18:09:18.940+00:00,tutor,tutor,2,,-1.0,
,,,"squares cancel out of square roots. so so this square it's gone with a square. Then it's square, the X side.",2023-02-19T18:09:21.750+00:00,2023-02-19T18:09:29.500+00:00,tutor,tutor,2,,-1.0,
,,,and this return to X squared,2023-02-19T18:09:29.980+00:00,2023-02-19T18:09:32.000+00:00,tutor,tutor,2,,-1.0,
,,,so x squared,2023-02-19T18:09:32.710+00:00,2023-02-19T18:09:34.940+00:00,tutor,tutor,2,,-1.0,
,,,to,2023-02-19T18:09:36.860+00:00,2023-02-19T18:09:38.140+00:00,tutor,tutor,2,,-1.0,
,,,3,2023-02-19T18:09:39.470+00:00,2023-02-19T18:09:40.470+00:00,tutor,tutor,2,,-1.0,
,,,x,2023-02-19T18:09:40.630+00:00,2023-02-19T18:09:41.740+00:00,tutor,tutor,2,,-1.0,
,,,"plus 5,",2023-02-19T18:09:43.120+00:00,2023-02-19T18:09:45.890+00:00,tutor,tutor,2,,-1.0,
,,,since,2023-02-19T18:09:47.300+00:00,2023-02-19T18:09:48.710+00:00,tutor,tutor,2,,-1.0,
,,,you could solve it like this what?,2023-02-19T18:09:50.090+00:00,2023-02-19T18:09:53.390+00:00,tutor,tutor,2,,-1.0,
,,,I don't think it's just it's kind of messy.,2023-02-19T18:09:53.410+00:00,2023-02-19T18:09:56.500+00:00,tutor,tutor,2,,-1.0,
,,,You might as well just write it down. We're going to bring it to the other side to make it easier to read,2023-02-19T18:09:56.750+00:00,2023-02-19T18:10:02.350+00:00,tutor,tutor,2,,-1.0,
,,,that it be 0. Since you're subtracting,2023-02-19T18:10:02.620+00:00,2023-02-19T18:10:05.990+00:00,tutor,tutor,2,,-1.0,
,,,"3 x plus 5 from here, would be you put",2023-02-19T18:10:06.200+00:00,2023-02-19T18:10:10.540+00:00,tutor,tutor,2,,-1.0,
,,,"negative 3, X, Okay.",2023-02-19T18:10:11.950+00:00,2023-02-19T18:10:15.980+00:00,tutor,tutor,2,,-1.0,
,,,3 x,2023-02-19T18:10:18.290+00:00,2023-02-19T18:10:20.490+00:00,tutor,tutor,2,,-1.0,
,,,minus 5 plus,2023-02-19T18:10:21.920+00:00,2023-02-19T18:10:26.450+00:00,tutor,tutor,2,,-1.0,
,,,plus 3 x plus 5 at least you cancel out. But in order to maintain the fact that it is the same equation you need to do the same for the other side.,2023-02-19T18:10:28.530+00:00,2023-02-19T18:10:37.960+00:00,tutor,tutor,2,,-1.0,
,,,Thanks.,2023-02-19T18:10:38.560+00:00,2023-02-19T18:10:39.360+00:00,tutor,tutor,2,,-1.0,
,,,Minus 5.,2023-02-19T18:10:40.600+00:00,2023-02-19T18:10:42.160+00:00,tutor,tutor,2,,-1.0,
,,,So suddenly 0 equals to,2023-02-19T18:10:44.370+00:00,2023-02-19T18:10:47.440+00:00,tutor,tutor,2,,-1.0,
,,,thanks squared,2023-02-19T18:10:47.800+00:00,2023-02-19T18:10:50.890+00:00,tutor,tutor,2,,-1.0,
,,,minus 3.,2023-02-19T18:10:51.300+00:00,2023-02-19T18:10:53.240+00:00,tutor,tutor,2,,-1.0,
,,,Okay.,2023-02-19T18:10:53.520+00:00,2023-02-19T18:10:54.150+00:00,tutor,tutor,2,,-1.0,
,,,"yes, 5.",2023-02-19T18:10:57.170+00:00,2023-02-19T18:10:58.590+00:00,tutor,tutor,2,,-1.0,
,,,I don't.,2023-02-19T18:11:05.350+00:00,2023-02-19T18:11:06.260+00:00,tutor,tutor,2,,-1.0,
,,,Not that I look at. I don't think it's a question that you could factor easily. So i'm just going to you. Could,2023-02-19T18:11:08.520+00:00,2023-02-19T18:11:15.460+00:00,tutor,tutor,2,,-1.0,
,,,"her future references. You don't think you can factor. You can just fill it into the quadratic equation, which is",2023-02-19T18:11:15.680+00:00,2023-02-19T18:11:22.260+00:00,tutor,tutor,2,,-1.0,
,,,negative.,2023-02-19T18:11:23.140+00:00,2023-02-19T18:11:24.930+00:00,tutor,tutor,2,,-1.0,
