problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"Hi! Everybody, welcome back. So i'm just gonna give",2023-02-22T14:00:48.450-08:00,2023-02-22T14:00:52.440-08:00,tutor,tutor,1,,,
,,,"everyone like a minute or 2 to join, and then we'll start.",2023-02-22T14:00:52.790-08:00,2023-02-22T14:00:56.270-08:00,tutor,tutor,1,,,
,,,"Okay. So I think that's everybody, for now",2023-02-22T14:02:00.170-08:00,2023-02-22T14:02:04.660-08:00,tutor,tutor,1,,,
,,,welcome back today's week to day one. So the schedule for chasing to be the same as last class.,2023-02-22T14:02:05.330-08:00,2023-02-22T14:02:14.290-08:00,tutor,tutor,1,,,
,,,"So we're just gonna do some targeted group practice for about 25 min. So I have the 2 questions that we didn't get to last class from the last practice test that I still wanted to g0 0ver, and then we'll go back to the big Doc with",2023-02-22T14:02:14.340-08:00,2023-02-22T14:02:27.120-08:00,tutor,tutor,1,,,
,,,"all the questions from like the all the practice questions, and we can g0 0ver like specific topics. And then",2023-02-22T14:02:27.130-08:00,2023-02-22T14:02:35.690-08:00,tutor,tutor,1,,,
,,,"and after we have another practice test, which is just 20 min to the calculator section or will actually.",2023-02-22T14:02:36.920-08:00,2023-02-22T14:02:44.140-08:00,tutor,tutor,1,,,
,,,"I was looking at the wrong one. However, it's the same thing. This one's als0 20 min. It's a calculator, one and",2023-02-22T14:02:45.920-08:00,2023-02-22T14:02:53.780-08:00,tutor,tutor,1,,,
,,,then 25 min to g0 0ver.,2023-02-22T14:02:54.600-08:00,2023-02-22T14:02:56.750-08:00,tutor,tutor,1,,,
,,,So yeah.,2023-02-22T14:02:57.830-08:00,2023-02-22T14:02:58.820-08:00,tutor,tutor,1,,,
,,,"and just reminder that if everybody can to turn their cameras on if you can't, I understand? And",2023-02-22T14:03:00.190-08:00,2023-02-22T14:03:06.710-08:00,tutor,tutor,1,,,
,,,"yeah, it's like schoolhouse policy. But yeah. so we'll start",2023-02-22T14:03:07.130-08:00,2023-02-22T14:03:16.060-08:00,tutor,tutor,1,,,
,,,again with these.,2023-02-22T14:03:17.080-08:00,2023-02-22T14:03:19.540-08:00,tutor,tutor,1,,,
,-1.0,1.0,So the next one I wanted to g0 0ver was,2023-02-22T14:03:20.790-08:00,2023-02-22T14:03:24.930-08:00,tutor,tutor,2,,-1.0,
,,,question,2023-02-22T14:03:29.460-08:00,2023-02-22T14:03:30.780-08:00,tutor,tutor,2,,-1.0,
,,,well or 22,2023-02-22T14:03:32.060-08:00,2023-02-22T14:03:33.640-08:00,tutor,tutor,2,,-1.0,
,,,so,2023-02-22T14:03:35.640-08:00,2023-02-22T14:03:36.790-08:00,tutor,tutor,2,,-1.0,
