problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hello, everyone! Hello!",2023-02-11T00:26:12.200-08:00,2023-02-11T00:26:14.120-08:00,tutor,tutor,1,,,
,,,"It would be nice if you could turn on your camera, because you know, when you have face to face interaction.",2023-02-11T00:26:15.650-08:00,2023-02-11T00:26:22.760-08:00,tutor,tutor,1,,,
,,,"Yeah, so it'll be nice about. I also understand if you guys have any issues.",2023-02-11T00:26:23.040-08:00,2023-02-11T00:26:30.600-08:00,tutor,tutor,1,,,
,,,I'm [STUDENT_1].,2023-02-11T00:26:32.510-08:00,2023-02-11T00:26:34.640-08:00,student,student A,1,,,
,,,And the is that how I pronounce your name? And,2023-02-11T00:26:37.350-08:00,2023-02-11T00:26:40.940-08:00,tutor,tutor,1,,,
,,,"yeah, it's just launch",2023-02-11T00:26:43.690-08:00,2023-02-11T00:26:45.500-08:00,tutor,tutor,1,,,
,,,nice. Thank you. How to you.,2023-02-11T00:26:45.720-08:00,2023-02-11T00:26:49.290-08:00,tutor,tutor,1,,,
,,,"Hi, Hi! Hi! Good morning. Oh, yeah, we have different time. Zones it's so interesting.",2023-02-11T00:26:51.340-08:00,2023-02-11T00:26:59.000-08:00,student,student B,1,,,
,,,"Yeah, I mean, i'm from Sydney. So right now it's 7 30. Pm.",2023-02-11T00:26:59.260-08:00,2023-02-11T00:27:03.690-08:00,tutor,tutor,1,,,
,,,How about you guys?,2023-02-11T00:27:04.180-08:00,2023-02-11T00:27:06.500-08:00,student,student B,1,,,
,,,I'm in New Zealand. So it's 9 30 right now.,2023-02-11T00:27:08.940-08:00,2023-02-11T00:27:12.710-08:00,student,student B,1,,,
,,,Right?,2023-02-11T00:27:13.270-08:00,2023-02-11T00:27:13.949-08:00,tutor,tutor,1,,,
,,,"Okay, I'm in Spain. Right now. So it's in the morning.",2023-02-11T00:27:19.230-08:00,2023-02-11T00:27:25.940-08:00,student,student B,1,,,
,,,It's so good that we have. You know we're gonna get a diverse group of 12.,2023-02-11T00:27:26.540-08:00,2023-02-11T00:27:33.100-08:00,tutor,tutor,1,,,
,,,"Yeah, I mean, this is my first foot count. I have been previously to learning math. Especially. I be math.",2023-02-11T00:27:33.620-08:00,2023-02-11T00:27:43.540-08:00,tutor,tutor,1,,,
,,,"But you know, this is my first time doing a 12 people class, so it's gonna be exciting.",2023-02-11T00:27:44.040-08:00,2023-02-11T00:27:51.440-08:00,tutor,tutor,1,,,
,,,So we'll just wait for the others to join.,2023-02-11T00:27:53.330-08:00,2023-02-11T00:27:57.100-08:00,tutor,tutor,1,,,
,,,Before that i'll probably look over my speaker nuts for the presentation.,2023-02-11T00:27:57.320-08:00,2023-02-11T00:28:03.290-08:00,tutor,tutor,1,,,
