problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,"Okay, I think we can go ahead and get started.",2023-03-01T16:02:07.200-08:00,2023-03-01T16:02:12.370-08:00,tutor,tutor,1,,,
,,,"So, by the way, if you guys don't have your cameras on it'd be helpful if you guys. they put them on since we're about to start now.",2023-03-01T16:02:13.730-08:00,2023-03-01T16:02:22.370-08:00,tutor,tutor,1,,,
,,,"But anyway, welcome back, guys.",2023-03-01T16:02:24.410-08:00,2023-03-01T16:02:27.650-08:00,tutor,tutor,1,,,
,,,This is the,2023-03-01T16:02:27.730-08:00,2023-03-01T16:02:29.800-08:00,tutor,tutor,1,,,
,,,6 session out of the 8 sessions. So next week is gonna be our last week before you guys end up taking the test. And so we're gonna go over some more things that'll help us,2023-03-01T16:02:29.910-08:00,2023-03-01T16:02:44.130-08:00,tutor,tutor,1,,,
,,,before that.,2023-03-01T16:02:44.170-08:00,2023-03-01T16:02:45.710-08:00,tutor,tutor,1,,,
,,,So,2023-03-01T16:02:47.190-08:00,2023-03-01T16:02:48.180-08:00,tutor,tutor,1,,,
,,,a little bit of a question.,2023-03-01T16:02:48.950-08:00,2023-03-01T16:02:52.130-08:00,tutor,tutor,1,,,
,,,"What was the big challenge that you face, and how you overcome it? Is she comfortable.",2023-03-01T16:02:52.490-08:00,2023-03-01T16:02:58.110-08:00,tutor,tutor,1,,,
,,,"and go ahead and share, or you can just, you know, type in the chat privately to everybody doesn't matter. I'm gonna give you guys",2023-03-01T16:02:58.120-08:00,2023-03-01T16:03:07.310-08:00,tutor,tutor,1,,,
,,,maybe about,2023-03-01T16:03:07.400-08:00,2023-03-01T16:03:08.960-08:00,tutor,tutor,1,,,
,,,"2, 3 min on that, and I can keep going.",2023-03-01T16:03:09.270-08:00,2023-03-01T16:03:12.900-08:00,tutor,tutor,1,,,
,,,Nice. [STUDENT_6].,2023-03-01T16:04:18.780-08:00,2023-03-01T16:04:19.920-08:00,tutor,tutor,1,,,
,,,"You found a way to be successful. Yeah, that's a that's a great way to overcome. Challenge",2023-03-01T16:04:21.050-08:00,2023-03-01T16:04:26.160-08:00,tutor,tutor,1,,,
,,,anybody else,2023-03-01T16:04:27.240-08:00,2023-03-01T16:04:28.640-08:00,tutor,tutor,1,,,
,,,"you guys can keep you can. I can keep typing if you are putting in the chat. But i'm go ahead. Actually, I'll tell you some. I'll tell you a story, too. So last year I was studying I was self studying for",2023-03-01T16:05:21.570-08:00,2023-03-01T16:05:36.670-08:00,tutor,tutor,1,,,
,,,"Ap. Physics, and",2023-03-01T16:05:36.680-08:00,2023-03-01T16:05:38.970-08:00,tutor,tutor,1,,,
,,,"it was hard because there was. I didn't have a teacher, and I would. It would have been really helpful if there was a teacher to.",2023-03-01T16:05:40.260-08:00,2023-03-01T16:05:46.610-08:00,tutor,tutor,1,,,
,,,"Yeah, help me, you know. Show me the ropes. But you know I",2023-03-01T16:05:46.680-08:00,2023-03-01T16:05:51.100-08:00,tutor,tutor,1,,,
,,,"I I faced it, and it was really hard, because learning all the new concepts without being predisposed to them. Was it's difficult? But you know.",2023-03-01T16:05:51.520-08:00,2023-03-01T16:06:02.980-08:00,tutor,tutor,1,,,
