problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,Today. It's.,2023-02-22T16:12:16.160-08:00,2023-02-22T16:12:18.330-08:00,tutor,tutor,1,,,
,,,Good morning. Give me my line. Yay.,2023-02-22T16:12:23.330-08:00,2023-02-22T16:12:29.230-08:00,tutor,tutor,1,,,
,,,what?,2023-02-22T16:12:32.250-08:00,2023-02-22T16:12:32.860-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-22T16:13:49.160-08:00,2023-02-22T16:13:49.890-08:00,tutor,tutor,1,,,
,,,And,2023-02-22T16:14:03.140-08:00,2023-02-22T16:14:04.380-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-22T16:14:06.260-08:00,2023-02-22T16:14:07.540-08:00,tutor,tutor,1,,,
,,,"Well, then.",2023-02-22T16:14:08.820-08:00,2023-02-22T16:14:10.130-08:00,tutor,tutor,1,,,
,,,"yeah. is that right? So alright? You guys are getting nice and quiet, right? Sure cool.",2023-02-22T16:14:12.560-08:00,2023-02-22T16:14:23.400-08:00,tutor,tutor,1,,,
,,,"Nothing much right now, you know. I'm I'm sorry I asked. I literally say that every single time, and my volume is always off. So what's up? Sorry.",2023-02-22T16:14:29.240-08:00,2023-02-22T16:14:37.130-08:00,tutor,tutor,1,,,
,,,Nothing much. It's a it's a boring day today.,2023-02-22T16:14:37.220-08:00,2023-02-22T16:14:41.380-08:00,student,student A,1,,,
,,,Yeah.,2023-02-22T16:14:42.560-08:00,2023-02-22T16:14:43.500-08:00,tutor,tutor,1,,,
,,,I think we're going to try to move quick. Keep it pretty chill,2023-02-22T16:14:51.940-08:00,2023-02-22T16:14:55.390-08:00,tutor,tutor,1,,,
,,,"not like to to today will be a pretty light like I'll try to, you know.",2023-02-22T16:14:55.550-08:00,2023-02-22T16:15:01.810-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-22T16:15:02.720-08:00,2023-02-22T16:15:03.430-08:00,student,student A,1,,,
