problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,We will go in the screen.,2023-02-18T20:12:01.570+00:00,2023-02-18T20:12:03.780+00:00,tutor,tutor,1,,,
,,,You don't know fast season right now.,2023-02-18T20:12:30.220+00:00,2023-02-18T20:12:32.730+00:00,tutor,tutor,1,,,
,,,"Yeah, we have.",2023-02-18T20:12:35.560+00:00,2023-02-18T20:12:38.920+00:00,tutor,tutor,1,,,
,,,if you can.,2023-02-18T20:12:39.400+00:00,2023-02-18T20:12:42.290+00:00,tutor,tutor,1,,,
,,,Paris and Parisia are in the waiting room.,2023-02-18T20:12:52.160+00:00,2023-02-18T20:12:55.380+00:00,tutor,tutor,1,,,
,,,I'm just gonna let them in at Exactly.,2023-02-18T20:12:56.800+00:00,2023-02-18T20:13:01.050+00:00,tutor,tutor,1,,,
,,,I can't see you.,2023-02-18T20:14:17.270+00:00,2023-02-18T20:14:18.510+00:00,tutor,tutor,1,,,
,,,Alright. I'm learning them in. Be quiet. I'm not muted.,2023-02-18T20:14:41.860+00:00,2023-02-18T20:14:45.640+00:00,tutor,tutor,1,,,
,,,Hi! Everyone.,2023-02-18T20:14:59.440+00:00,2023-02-18T20:15:00.990+00:00,tutor,tutor,1,,,
,,,Hello.,2023-02-18T20:15:01.120+00:00,2023-02-18T20:15:02.110+00:00,student,student A,1,,,
,,,Hello.,2023-02-18T20:15:04.480+00:00,2023-02-18T20:15:05.370+00:00,student,student B,1,,,
,,,hi!,2023-02-18T20:15:05.470+00:00,2023-02-18T20:15:06.230+00:00,tutor,tutor,1,,,
,,,"All right. We're just waiting on 5 people because 3 people let me know that they were gonna make it today, so i'll just give them couple of more minutes.",2023-02-18T20:16:47.410+00:00,2023-02-18T20:16:55.730+00:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_6].",2023-02-18T20:18:24.700+00:00,2023-02-18T20:18:25.920+00:00,tutor,tutor,1,,,
,,,"Hi, [STUDENT_1].",2023-02-18T20:18:51.210+00:00,2023-02-18T20:18:52.480+00:00,tutor,tutor,1,,,
,,,"Okay, we're still missing 3 people. But we can just go ahead and get started with welcome slides.",2023-02-18T20:19:22.690+00:00,2023-02-18T20:19:28.890+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-18T20:19:30.860+00:00,2023-02-18T20:19:32.570+00:00,tutor,tutor,1,,,
,,,"alright, Can you guys see this?",2023-02-18T20:19:35.650+00:00,2023-02-18T20:19:37.360+00:00,tutor,tutor,1,,,
,,,"Alright? This is week, 2 day one. So this is just going to be our warm-up question: what is your favorite subject at school raise your hand to share, and then popcorn to another letter.",2023-02-18T20:19:38.510+00:00,2023-02-18T20:19:49.370+00:00,tutor,tutor,1,,,
,,,I can start,2023-02-18T20:19:49.580+00:00,2023-02-18T20:19:50.970+00:00,tutor,tutor,1,,,
,,,right now. My favorite subject is probably,2023-02-18T20:19:52.000+00:00,2023-02-18T20:19:57.600+00:00,tutor,tutor,1,,,
,,,I want to say bio technology,2023-02-18T20:19:59.340+00:00,2023-02-18T20:20:03.050+00:00,tutor,tutor,1,,,
,,,"pretty cool, but it's a cycle class. It's not a core class. I usually do like math, but i'm in",2023-02-18T20:20:03.390+00:00,2023-02-18T20:20:10.780+00:00,tutor,tutor,1,,,
,,,a little hard right now. All right. I will popcorn to Giana. Do you want to go?,2023-02-18T20:20:10.800+00:00,2023-02-18T20:20:17.169+00:00,tutor,tutor,1,,,
,,,My favorite class right now is definitely a Us. History. It's,2023-02-18T20:20:20.500+00:00,2023-02-18T20:20:26.340+00:00,student,student C,1,,,
,,,"definitely difficult, but I love the challenge. I just love history in general. so i'm gonna popcorn it to [STUDENT_3]. Why.",2023-02-18T20:20:26.440+00:00,2023-02-18T20:20:35.970+00:00,student,student C,1,,,
,,,"oh, i'll say my first",2023-02-18T20:20:38.230+00:00,2023-02-18T20:20:42.890+00:00,student,student D,1,,,
,,,popcorn next to [STUDENT_1].,2023-02-18T20:20:45.390+00:00,2023-02-18T20:20:48.910+00:00,student,student D,1,,,
,,,My favorite class right now is equine science. I like the study of horses. So,2023-02-18T20:20:51.980+00:00,2023-02-18T20:20:59.300+00:00,student,student E,1,,,
,,,"that's so cool, you wanna",2023-02-18T20:21:02.700+00:00,2023-02-18T20:21:06.630+00:00,tutor,tutor,1,,,
,,,i'm going to Katie.,2023-02-18T20:21:06.820+00:00,2023-02-18T20:21:08.770+00:00,student,student E,1,,,
