problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"Alright. Y'all. I'm gonna wait a minute or 2 for more people to join before we get started. But while we're waiting, if you guys would like to go ahead and",2023-02-28T14:02:40.670-08:00,2023-02-28T14:02:51.960-08:00,tutor,tutor,1,,,
,,,"answer the question, the welcome question. So what is a big challenge you faced?",2023-02-28T14:02:52.560-08:00,2023-02-28T14:02:59.380-08:00,tutor,tutor,1,,,
,,,And how did you overcome it,2023-02-28T14:02:59.530-08:00,2023-02-28T14:03:02.960-08:00,tutor,tutor,1,,,
,,,for those of you who just joined. If you guys could go ahead and answer the question that's on the screen in the chat.,2023-02-28T14:03:57.060-08:00,2023-02-28T14:04:04.630-08:00,tutor,tutor,1,,,
,,,What was the big challenge you faced. And how did you overcome it?,2023-02-28T14:04:04.650-08:00,2023-02-28T14:04:08.900-08:00,tutor,tutor,1,,,
,,,"Yeah, it seems like the way you guys overcome a lot of the challenges that i'm seeing in the chat are by practicing and studying and stuff like that.",2023-02-28T14:05:15.920-08:00,2023-02-28T14:05:25.040-08:00,tutor,tutor,1,,,
,,,So i'm glad you guys were able to overcome and navigate those obstacles. All right. So,2023-02-28T14:05:25.460-08:00,2023-02-28T14:05:32.300-08:00,tutor,tutor,1,,,
,,,this is what we're gonna be going or going to do today's during today's session. We're gonna start with the review test.,2023-02-28T14:05:33.540-08:00,2023-02-28T14:05:41.790-08:00,tutor,tutor,1,,,
,,,"and then we're going to spend a little bit reviewing that practice test, and then we will spend the last bit of the session doing some targeted group practice.",2023-02-28T14:05:42.430-08:00,2023-02-28T14:05:51.870-08:00,tutor,tutor,1,,,
,,,So if you guys could go to your assessments. Tab. I'm gonna make it,2023-02-28T14:05:54.460-08:00,2023-02-28T14:05:58.950-08:00,tutor,tutor,1,,,
,,,available to you guys.,2023-02-28T14:06:00.320-08:00,2023-02-28T14:06:03.090-08:00,tutor,tutor,1,,,
,,,It's gonna say practice test B one.,2023-02-28T14:06:13.120-08:00,2023-02-28T14:06:16.960-08:00,tutor,tutor,1,,,
,,,This is a non calculator,2023-02-28T14:06:23.020-08:00,2023-02-28T14:06:26.930-08:00,tutor,tutor,1,,,
,,,practice test. So you won't have a calculator for this one.,2023-02-28T14:06:28.190-08:00,2023-02-28T14:06:31.750-08:00,tutor,tutor,1,,,
,,,"You're gonna have 25 min on this one. So if you all could let me know when you have that assessment open and you have access to it, and then I will go ahead and set the timer. When you guys all have it.",2023-02-28T14:06:31.780-08:00,2023-02-28T14:06:43.460-08:00,tutor,tutor,1,,,
,,,"alright, make sure you guys have a piece of paper and a pencil or something you're right with.",2023-02-28T14:06:51.530-08:00,2023-02-28T14:06:56.350-08:00,tutor,tutor,1,,,
