problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,Hello.,2023-03-04T16:47:47.550-08:00,2023-03-04T16:47:48.669-08:00,student,student A,1,,,
,,,all right.,2023-03-04T16:47:48.910-08:00,2023-03-04T16:47:49.759-08:00,tutor,tutor,1,,,
,,,"Hi. I wanted to ask you, so I took a practice. Sat today, and if we can go over some questions on it. Could I share my screen?",2023-03-04T16:47:50.060-08:00,2023-03-04T16:48:03.490-08:00,student,student A,1,,,
,,,"Yeah, I think there might be a restriction. Let me",2023-03-04T16:48:03.940-08:00,2023-03-04T16:48:06.560-08:00,tutor,tutor,1,,,
,,,or,2023-03-04T16:48:07.080-08:00,2023-03-04T16:48:09.160-08:00,student,student A,1,,,
,,,or so the sat I took was on sat practice test Number 5.,2023-03-04T16:48:09.200-08:00,2023-03-04T16:48:15.190-08:00,student,student A,1,,,
,,,If you would like to,2023-03-04T16:48:15.620-08:00,2023-03-04T16:48:17.360-08:00,student,student A,1,,,
,,,let me see if I can pull up.,2023-03-04T16:48:18.320-08:00,2023-03-04T16:48:20.240-08:00,tutor,tutor,1,,,
,,,"Yeah, I I don't think I can allow you to screen share just because, like the program has the",2023-03-04T16:48:20.780-08:00,2023-03-04T16:48:28.120-08:00,tutor,tutor,1,,,
,,,like settings for the Zoom Meeting,2023-03-04T16:48:28.450-08:00,2023-03-04T16:48:31.950-08:00,student,student A,1,,,
,,,me. you all share my screen.,2023-03-04T16:48:32.180-08:00,2023-03-04T16:48:35.480-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-04T16:48:35.580-08:00,2023-03-04T16:48:36.540-08:00,student,student A,1,,,
,,,Yeah. So this is,2023-03-04T16:48:37.040-08:00,2023-03-04T16:48:41.080-08:00,tutor,tutor,1,,,
