problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,Sorry about that guys. We'll wait just a few minutes before we get started.,2023-02-11T11:02:27.040-08:00,2023-02-11T11:02:30.960-08:00,tutor,tutor,1,,,
,,,"Okay, Can you guys see that screen I shared with you guys.",2023-02-11T11:02:57.410-08:00,2023-02-11T11:03:00.450-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T11:03:01.110-08:00,2023-02-11T11:03:01.890-08:00,tutor,tutor,1,,,
,,,All right. Well welcome to the first day of sat Math Boot Camp. My name is G. On,2023-02-11T11:03:03.100-08:00,2023-02-11T11:03:08.090-08:00,tutor,tutor,1,,,
,,,"right. My name is Gon, and I'm. From Seattle. and my hopes for this camp is hopefully I can get, you know, I guess, better, and we'll get better at Matt.",2023-02-11T11:03:12.070-08:00,2023-02-11T11:03:20.430-08:00,tutor,tutor,1,,,
,,,"who wants to for anyone shares. I meet yourself and hear your name, and where you from",2023-02-11T11:03:21.170-08:00,2023-02-11T11:03:27.980-08:00,tutor,tutor,1,,,
,,,"Hi, I'm, Addy or [STUDENT_9] and i'm from Massachusetts",2023-02-11T11:03:31.850-08:00,2023-02-11T11:03:35.930-08:00,tutor,tutor,1,,,
,,,to meet you.,2023-02-11T11:03:36.630-08:00,2023-02-11T11:03:37.840-08:00,tutor,tutor,1,,,
,,,Anyone else want to share.,2023-02-11T11:03:42.030-08:00,2023-02-11T11:03:44.040-08:00,tutor,tutor,1,,,
,,,Hi! I'm pavani i'm. From New Hampshire.,2023-02-11T11:03:45.400-08:00,2023-02-11T11:03:47.820-08:00,student,student A,1,,,
,,,I'm obi I'm from Jersey.,2023-02-11T11:03:49.720-08:00,2023-02-11T11:03:52.190-08:00,student,student B,1,,,
,,,I'm an I'm from New Hampshire.,2023-02-11T11:03:54.620-08:00,2023-02-11T11:03:56.650-08:00,student,student C,1,,,
,,,"Right, he said, everyone",2023-02-11T11:04:04.080-08:00,2023-02-11T11:04:05.880-08:00,tutor,tutor,1,,,
,,,John and Azaria want to share.,2023-02-11T11:04:06.090-08:00,2023-02-11T11:04:08.420-08:00,tutor,tutor,1,,,
,,,"I'm. John, from Somerset",2023-02-11T11:04:10.700-08:00,2023-02-11T11:04:12.300-08:00,student,student C,1,,,
,,,to meet you.,2023-02-11T11:04:13.550-08:00,2023-02-11T11:04:14.430-08:00,tutor,tutor,1,,,
,,,"I'm [STUDENT_3], I'm. From Texas.",2023-02-11T11:04:18.710-08:00,2023-02-11T11:04:21.270-08:00,student,student D,1,,,
,,,Okay.,2023-02-11T11:04:21.800-08:00,2023-02-11T11:04:22.430-08:00,tutor,tutor,1,,,
,,,Right Nice to meet you guys. All.,2023-02-11T11:04:24.040-08:00,2023-02-11T11:04:25.500-08:00,tutor,tutor,1,,,
,,,"Oh. all right. Well, what is school. How schoolhouse is a",2023-02-11T11:04:27.690-08:00,2023-02-11T11:04:32.850-08:00,tutor,tutor,1,,,
,,,"Can you guys hear me? Okay, His schoolhouse is like a Khan Academy kind of sister company and",2023-02-11T11:04:33.520-08:00,2023-02-11T11:04:41.140-08:00,tutor,tutor,1,,,
,,,found it by,2023-02-11T11:04:42.470-08:00,2023-02-11T11:04:44.800-08:00,tutor,tutor,1,,,
,,,yeah nonprofit.,2023-02-11T11:04:45.050-08:00,2023-02-11T11:04:46.480-08:00,tutor,tutor,1,,,
,,,"And for the boot cam will be 4 weeks with 2 sessions, 75 min of procession and we'll be mostly doing practice tests, and we'll be going over some calmly missed answers.",2023-02-11T11:04:49.640-08:00,2023-02-11T11:05:00.420-08:00,tutor,tutor,1,,,
,,,And if you guys have any questions about it.,2023-02-11T11:05:00.770-08:00,2023-02-11T11:05:03.860-08:00,tutor,tutor,1,,,
,,,I'll be more than happy to g0 0ver it. And even in my free time you guys can just chat me up and i'll. I'll answer some questions. and there's no homework which is the best part.,2023-02-11T11:05:04.080-08:00,2023-02-11T11:05:14.010-08:00,tutor,tutor,1,,,
,,,We'll be going over a classroom contract.,2023-02-11T11:05:17.060-08:00,2023-02-11T11:05:20.900-08:00,tutor,tutor,1,,,
,,,"so i'll be sometimes asking you guys to unmute, and at least try on some of the questions. And of course we respect each other and try our best on the math problems.",2023-02-11T11:05:20.910-08:00,2023-02-11T11:05:33.530-08:00,tutor,tutor,1,,,
,,,Anyone else have any suggestions for the syllabus.,2023-02-11T11:05:34.090-08:00,2023-02-11T11:05:38.240-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T11:05:46.250-08:00,2023-02-11T11:05:47.100-08:00,tutor,tutor,1,,,
,,,"right. And if you have to miss a session, then you can just tell me.",2023-02-11T11:05:51.920-08:00,2023-02-11T11:05:56.520-08:00,tutor,tutor,1,,,
,,,"But unfortunately, if you don't tell me and missed 2 sessions according to policy, i'll, I will have to kick you out, unfortunately. and that's just in place, so that we are all here to learn.",2023-02-11T11:05:57.160-08:00,2023-02-11T11:06:12.090-08:00,tutor,tutor,1,,,
,,,And we'll be watching this little video about what the sat math test is about this video focuses on. Can you guys hear the audio,2023-02-11T11:06:15.610-08:00,2023-02-11T11:06:23.750-08:00,tutor,tutor,1,,,
