problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,Okay.,2023-02-21T00:48:21.450+00:00,2023-02-21T00:48:22.610+00:00,tutor,tutor,1,,,
,,,"Hello, everybody. Please turn on your cameras.",2023-02-21T00:48:23.840+00:00,2023-02-21T00:48:28.800+00:00,tutor,tutor,1,,,
,,,"Oh, sorry about opening the room",2023-02-21T00:48:39.310+00:00,2023-02-21T00:48:43.670+00:00,tutor,tutor,1,,,
,,,pretty late. I,2023-02-21T00:48:44.330+00:00,2023-02-21T00:48:47.150+00:00,tutor,tutor,1,,,
,,,i'll try t0 0pen it like 5 min before the time starts.,2023-02-21T00:48:47.480+00:00,2023-02-21T00:48:52.839+00:00,tutor,tutor,1,,,
,,,"Yeah, let me share the Powerpoint.",2023-02-21T00:48:58.870+00:00,2023-02-21T00:49:02.580+00:00,tutor,tutor,1,,,
,,,"Okay, welcome to",2023-02-21T00:49:23.530+00:00,2023-02-21T00:49:26.450+00:00,tutor,tutor,1,,,
,,,"week, 2 day 2. The fourth session out of 8 0f this boot camp.",2023-02-21T00:49:27.200+00:00,2023-02-21T00:49:33.680+00:00,tutor,tutor,1,,,
,,,"Yeah, today is President's day. So if you guys",2023-02-21T00:49:37.990+00:00,2023-02-21T00:49:43.350+00:00,tutor,tutor,1,,,
,,,"it all, if you have the day off from school, I think.",2023-02-21T00:49:44.230+00:00,2023-02-21T00:49:47.790+00:00,tutor,tutor,1,,,
,,,yeah. it's good.,2023-02-21T00:49:49.500+00:00,2023-02-21T00:49:51.560+00:00,tutor,tutor,1,,,
,,,So the welcome question is what feedback do you have for the boot camp? So far,2023-02-21T00:49:54.880+00:00,2023-02-21T00:49:59.410+00:00,tutor,tutor,1,,,
,,,anything of,2023-02-21T00:50:02.370+00:00,2023-02-21T00:50:04.130+00:00,tutor,tutor,1,,,
