problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489 (A3),,1.0,"Hello, everyone, Welcome back.",2023-02-19T01:00:36.080+00:00,2023-02-19T01:00:38.370+00:00,tutor,tutor,1,,,
,,,You guys have had a good week so far.,2023-02-19T01:00:39.040+00:00,2023-02-19T01:00:41.760+00:00,tutor,tutor,1,,,
,,,"If you can turn on your video, please do that",2023-02-19T01:00:42.060+00:00,2023-02-19T01:00:45.050+00:00,tutor,tutor,1,,,
,,,"today. We're going to be doing some more practice questions at first, and then we're going to have another practice test.",2023-02-19T01:00:46.400+00:00,2023-02-19T01:00:53.660+00:00,tutor,tutor,1,,,
,,,and then I'll g0 0ver the most commonly missed questions,2023-02-19T01:00:54.130+00:00,2023-02-19T01:00:57.340+00:00,tutor,tutor,1,,,
,,,before we start anyone have any questions?,2023-02-19T01:00:57.730+00:00,2023-02-19T01:01:00.720+00:00,tutor,tutor,1,,,
,,,All right.,2023-02-19T01:01:03.430+00:00,2023-02-19T01:01:04.450+00:00,tutor,tutor,1,,,
,-1.0,1.0,So here's the first question.,2023-02-19T01:01:18.780+00:00,2023-02-19T01:01:20.780+00:00,tutor,tutor,2,,-1.0,
,,,Go ahead and just answer this to the best of your ability and send me a message with your answer when you are done.,2023-02-19T01:01:20.880+00:00,2023-02-19T01:01:28.310+00:00,tutor,tutor,2,,-1.0,
,,,"Okay, let's go ahead and g0 0ver it now.",2023-02-19T01:03:24.680+00:00,2023-02-19T01:03:27.810+00:00,tutor,tutor,2,,-1.0,
,,,So this is a pretty complicated question.,2023-02-19T01:03:28.430+00:00,2023-02-19T01:03:31.210+00:00,tutor,tutor,2,,-1.0,
,,,But what does? What's the first step we should do,2023-02-19T01:03:31.340+00:00,2023-02-19T01:03:34.700+00:00,tutor,tutor,2,,-1.0,
,,,to simplify this?,2023-02-19T01:03:34.800+00:00,2023-02-19T01:03:36.370+00:00,tutor,tutor,2,,-1.0,
,,,So,2023-02-19T01:03:39.260+00:00,2023-02-19T01:03:41.140+00:00,tutor,tutor,2,,-1.0,
,,,for the denominator of the of the fraction.,2023-02-19T01:03:42.430+00:00,2023-02-19T01:03:46.490+00:00,student,student A,2,,-1.0,
,,,"I did a use of super common denominator. So one over X to I multiply that fraction by X plus 3,",2023-02-19T01:03:48.790+00:00,2023-02-19T01:03:58.370+00:00,student,student A,2,,-1.0,
,,,both the the and the nominator,2023-02-19T01:04:00.750+00:00,2023-02-19T01:04:03.310+00:00,student,student A,2,,-1.0,
,,,and I did the same thing except with X to for the other fraction in the denominator.,2023-02-19T01:04:03.570+00:00,2023-02-19T01:04:09.870+00:00,student,student A,2,,-1.0,
,,,"Okay, yeah.",2023-02-19T01:04:11.670+00:00,2023-02-19T01:04:12.610+00:00,tutor,tutor,2,,-1.0,
,,,"So that's exactly what you want to do in questions like these. You want to find the common denominator. So then you can add these 2 fractions, and then",2023-02-19T01:04:12.660+00:00,2023-02-19T01:04:21.880+00:00,tutor,tutor,2,,-1.0,
,,,simplify it. So we have,2023-02-19T01:04:22.200+00:00,2023-02-19T01:04:25.180+00:00,tutor,tutor,2,,-1.0,
,,,"one over x plus 3,",2023-02-19T01:04:26.230+00:00,2023-02-19T01:04:28.340+00:00,tutor,tutor,2,,-1.0,
,,,and then that times the x plus 2,2023-02-19T01:04:29.690+00:00,2023-02-19T01:04:32.330+00:00,tutor,tutor,2,,-1.0,
,,,"over x plus 2,",2023-02-19T01:04:34.120+00:00,2023-02-19T01:04:35.840+00:00,tutor,tutor,2,,-1.0,
,,,and what you get when you simplify all this.,2023-02-19T01:04:38.250+00:00,2023-02-19T01:04:40.740+00:00,tutor,tutor,2,,-1.0,
,,,I got,2023-02-19T01:04:43.740+00:00,2023-02-19T01:04:45.540+00:00,tutor,tutor,2,,-1.0,
,,,2 x plus 5 0ver x plus 2 times x plus 3.,2023-02-19T01:04:46.800+00:00,2023-02-19T01:04:51.490+00:00,student,student A,2,,-1.0,
,,,Yeah.,2023-02-19T01:04:53.690+00:00,2023-02-19T01:04:54.390+00:00,tutor,tutor,2,,-1.0,
,,,Okay. So we have this new fraction. And this is just the denominator of this fraction. We still have one over all of this.,2023-02-19T01:05:02.010+00:00,2023-02-19T01:05:10.440+00:00,tutor,tutor,2,,-1.0,
,,,and,2023-02-19T01:05:11.980+00:00,2023-02-19T01:05:12.940+00:00,tutor,tutor,2,,-1.0,
,,,to make it look like the answer choices we have. We could multiply out the denominator here to make it,2023-02-19T01:05:14.140+00:00,2023-02-19T01:05:20.350+00:00,tutor,tutor,2,,-1.0,
,,,become x squared plus 5 x plus 6. So then this would become,2023-02-19T01:05:20.360+00:00,2023-02-19T01:05:25.410+00:00,tutor,tutor,2,,-1.0,
,,,one over 2 x plus 5,2023-02-19T01:05:25.610+00:00,2023-02-19T01:05:28.790+00:00,tutor,tutor,2,,-1.0,
,,,"over x squared plus 5 x plus 6, and whenever we have one over something that just means we take the reciprocal.",2023-02-19T01:05:30.600+00:00,2023-02-19T01:05:40.320+00:00,tutor,tutor,2,,-1.0,
,,,so,2023-02-19T01:05:40.560+00:00,2023-02-19T01:05:41.590+00:00,tutor,tutor,2,,-1.0,
,,,"we would flip the fraction, and we would get",2023-02-19T01:05:41.620+00:00,2023-02-19T01:05:44.560+00:00,tutor,tutor,2,,-1.0,
,,,x squared plus 5 x plus 6 0n top.,2023-02-19T01:05:45.010+00:00,2023-02-19T01:05:48.660+00:00,tutor,tutor,2,,-1.0,
,,,and 2 x plus 5 1 1 that is beat. It's a nice job If you got that one right. Are there any questions on this?,2023-02-19T01:05:51.230+00:00,2023-02-19T01:05:59.400+00:00,tutor,tutor,2,,-1.0,
,,,Okay.,2023-02-19T01:06:03.920+00:00,2023-02-19T01:06:04.800+00:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,I mean on we have another question. Go ahead and send me a message with the answer when we have it.,2023-02-19T01:06:07.110+00:00,2023-02-19T01:06:13.750+00:00,tutor,tutor,3,,-1.0,
,,,Okay. So this was another tricky one.,2023-02-19T01:08:03.770+00:00,2023-02-19T01:08:06.100+00:00,tutor,tutor,3,,-1.0,
,,,but the answer,2023-02-19T01:08:06.200+00:00,2023-02-19T01:08:07.920+00:00,tutor,tutor,3,,-1.0,
,,,is. hey?,2023-02-19T01:08:08.430+00:00,2023-02-19T01:08:10.150+00:00,tutor,tutor,3,,-1.0,
,,,And at first it looks like there's no way we can actually solve this problem.,2023-02-19T01:08:11.580+00:00,2023-02-19T01:08:17.050+00:00,tutor,tutor,3,,-1.0,
,,,"But we have to first simple slide this part and make it so that we can see this 3 X minus y. So then we can plug it in 12,",2023-02-19T01:08:18.490+00:00,2023-02-19T01:08:28.310+00:00,tutor,tutor,3,,-1.0,
,,,and to do that we can first rewrite this 8 to the power of X.,2023-02-19T01:08:29.430+00:00,2023-02-19T01:08:34.590+00:00,tutor,tutor,3,,-1.0,
,,,As to,2023-02-19T01:08:34.860+00:00,2023-02-19T01:08:36.260+00:00,tutor,tutor,3,,-1.0,
,,,cubed,2023-02-19T01:08:36.810+00:00,2023-02-19T01:08:38.200+00:00,tutor,tutor,3,,-1.0,
,,,"to the power of X,",2023-02-19T01:08:39.060+00:00,2023-02-19T01:08:40.660+00:00,tutor,tutor,3,,-1.0,
,,,and then we have,2023-02-19T01:08:42.570+00:00,2023-02-19T01:08:43.750+00:00,tutor,tutor,3,,-1.0,
,,,2 to the Y on the bottom.,2023-02-19T01:08:45.050+00:00,2023-02-19T01:08:46.800+00:00,tutor,tutor,3,,-1.0,
,,,and then. if you multiply the exponents. That's what you do when you have an exponent race to another exponent. We have 2 to the 3 X,2023-02-19T01:08:48.480+00:00,2023-02-19T01:08:57.760+00:00,tutor,tutor,3,,-1.0,
,,,over 2 to the Y. And now we're starting to see this 3 X one as well.,2023-02-19T01:08:59.010+00:00,2023-02-19T01:09:03.170+00:00,tutor,tutor,3,,-1.0,
,,,"But to further simplify this, does anyone know what you can do to simplify a fraction when you have the same base and then an export.",2023-02-19T01:09:04.690+00:00,2023-02-19T01:09:14.020+00:00,tutor,tutor,3,,-1.0,
,,,I think you can just subtract the like if it's division and they have the same base. You can subtract the exponents.,2023-02-19T01:09:15.510+00:00,2023-02-19T01:09:21.660+00:00,student,student B,3,,-1.0,
,,,Yeah.,2023-02-19T01:09:21.970+00:00,2023-02-19T01:09:22.760+00:00,tutor,tutor,3,,-1.0,
,,,"that's exactly right. So then, you can just turn this int0 3 X",2023-02-19T01:09:23.240+00:00,2023-02-19T01:09:29.160+00:00,tutor,tutor,3,,-1.0,
,,,"minus Y. So we know that 3 x one is twice equal t0 12,",2023-02-19T01:09:30.770+00:00,2023-02-19T01:09:37.150+00:00,tutor,tutor,3,,-1.0,
,,,"and so we can just substitute the 12 in there, and we have our answered any questions on this one. You have to be a little creative here to solve it.",2023-02-19T01:09:38.510+00:00,2023-02-19T01:09:48.520+00:00,tutor,tutor,3,,-1.0,
,,,Okay?,2023-02-19T01:09:52.950+00:00,2023-02-19T01:09:53.820+00:00,tutor,tutor,3,,-1.0,
,,,"Well, i'm sorry. Why wouldn't it be?",2023-02-19T01:09:54.650+00:00,2023-02-19T01:09:57.270+00:00,student,student A,3,,-1.0,
,,,Why wouldn't it be one to the power of 3 X minus Y.,2023-02-19T01:09:57.970+00:00,2023-02-19T01:10:03.100+00:00,student,student A,3,,-1.0,
,,,Why would it?,2023-02-19T01:10:08.040+00:00,2023-02-19T01:10:09.090+00:00,tutor,tutor,3,,-1.0,
,,,"Oh, so you're saying that you could put a one.",2023-02-19T01:10:10.400+00:00,2023-02-19T01:10:12.980+00:00,tutor,tutor,3,,-1.0,
,,,"Yeah, how's that?",2023-02-19T01:10:14.140+00:00,2023-02-19T01:10:15.810+00:00,tutor,tutor,3,,-1.0,
,,,"Well. technically this is true, because one to any power is just one. But this doesn't really help you solve the equation. There's nothing you can really do from this.",2023-02-19T01:10:16.020+00:00,2023-02-19T01:10:28.050+00:00,tutor,tutor,3,,-1.0,
,,,"So well, it is true there's",2023-02-19T01:10:29.090+00:00,2023-02-19T01:10:32.560+00:00,tutor,tutor,3,,-1.0,
,,,it doesn't help you determine the value of 8,2023-02-19T01:10:32.680+00:00,2023-02-19T01:10:35.530+00:00,tutor,tutor,3,,-1.0,
,,,to the power of X over 2 to the one.,2023-02-19T01:10:36.010+00:00,2023-02-19T01:10:38.310+00:00,tutor,tutor,3,,-1.0,
,,,"Okay, any other questions.",2023-02-19T01:10:41.920+00:00,2023-02-19T01:10:43.770+00:00,tutor,tutor,3,,-1.0,
,,,All right,2023-02-19T01:10:47.850+00:00,2023-02-19T01:10:48.610+00:00,tutor,tutor,3,,-1.0,
,-1.0,1.0,here. Go ahead and,2023-02-19T01:10:57.720+00:00,2023-02-19T01:11:00.360+00:00,tutor,tutor,4,,-1.0,
,,,read that and message me when you have it. Yes.,2023-02-19T01:11:00.870+00:00,2023-02-19T01:11:04.530+00:00,tutor,tutor,4,,-1.0,
,,,okay. So let's g0 0ver this one. The correct answer here is D.,2023-02-19T01:13:08.560+00:00,2023-02-19T01:13:14.640+00:00,tutor,tutor,4,,-1.0,
,,,But let's first read the question.,2023-02-19T01:13:15.290+00:00,2023-02-19T01:13:17.400+00:00,tutor,tutor,4,,-1.0,
,,,"We have 22 students in a half class conducted an experiment in which they each recorded their pulse, rates and beats per minute before and after completing a light exercise routine.",2023-02-19T01:13:17.430+00:00,2023-02-19T01:13:28.610+00:00,tutor,tutor,4,,-1.0,
,,,The but dot plots below display the results. and they want to know,2023-02-19T01:13:28.670+00:00,2023-02-19T01:13:32.930+00:00,tutor,tutor,4,,-1.0,
,,,"the standard deviation and the range which of the following is true, based on the results before and after. So does anybody know what standard deviation is?",2023-02-19T01:13:33.390+00:00,2023-02-19T01:13:45.980+00:00,tutor,tutor,4,,-1.0,
,,,"Isn't it like the like separation difference, like from the 95 percentile",2023-02-19T01:13:51.250+00:00,2023-02-19T01:13:57.090+00:00,student,student C,4,,-1.0,
,,,"kind of yeah. So it's the standard. Deviation is basically how far away, on average, a certain point is from the mean or like the center.",2023-02-19T01:13:58.520+00:00,2023-02-19T01:14:08.000+00:00,tutor,tutor,4,,-1.0,
,,,So,2023-02-19T01:14:08.370+00:00,2023-02-19T01:14:09.580+00:00,tutor,tutor,4,,-1.0,
,,,"the range is always going to be the greatest number of minus the smallest number. so we can calculate the range pretty easily, and it's just going to be for the first one",2023-02-19T01:14:10.450+00:00,2023-02-19T01:14:23.010+00:00,tutor,tutor,4,,-1.0,
,,,"88 minus 56,",2023-02-19T01:14:23.450+00:00,2023-02-19T01:14:26.760+00:00,tutor,tutor,4,,-1.0,
,,,"and that is 32, and then for the second one",2023-02-19T01:14:30.180+00:00,2023-02-19T01:14:34.350+00:00,tutor,tutor,4,,-1.0,
,,,"we have 112 minus 80,",2023-02-19T01:14:34.530+00:00,2023-02-19T01:14:37.460+00:00,tutor,tutor,4,,-1.0,
,,,and that's als0 32 So we know that the ranges are going to be equal.,2023-02-19T01:14:39.920+00:00,2023-02-19T01:14:45.180+00:00,tutor,tutor,4,,-1.0,
,,,so we can eliminate B and C.,2023-02-19T01:14:45.600+00:00,2023-02-19T01:14:48.460+00:00,tutor,tutor,4,,-1.0,
,,,"And now we need to. And if the standard deviations are equal or not. So you don't actually have to calculate the standard deviation. They're not going to make you do that, but you do have to know what it means.",2023-02-19T01:14:49.040+00:00,2023-02-19T01:15:01.160+00:00,tutor,tutor,4,,-1.0,
,,,So the standard deviation is the distance from the center.,2023-02-19T01:15:01.420+00:00,2023-02-19T01:15:05.800+00:00,tutor,tutor,4,,-1.0,
,,,the average distance from the center. So in the first,2023-02-19T01:15:06.040+00:00,2023-02-19T01:15:10.160+00:00,tutor,tutor,4,,-1.0,
,,,dot plot,2023-02-19T01:15:10.650+00:00,2023-02-19T01:15:11.900+00:00,tutor,tutor,4,,-1.0,
,,,you can see that the data is more clumped together.,2023-02-19T01:15:12.020+00:00,2023-02-19T01:15:15.010+00:00,tutor,tutor,4,,-1.0,
,,,"and it's on average, closer to the center than it is on the second one, where you have 2 2 3 3, like they're all separated.",2023-02-19T01:15:15.200+00:00,2023-02-19T01:15:23.150+00:00,tutor,tutor,4,,-1.0,
,,,"But here most of the data is clumped in the center, so it will have a smaller standard deviation.",2023-02-19T01:15:23.670+00:00,2023-02-19T01:15:29.120+00:00,tutor,tutor,4,,-1.0,
