problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,And,2023-03-05T18:59:17.060-08:00,2023-03-05T18:59:18.040-08:00,tutor,tutor,1,,,
,,,hello.,2023-03-05T19:00:28.930-08:00,2023-03-05T19:00:29.870-08:00,tutor,tutor,1,,,
,,,Another one doing. Hello! Everybody,2023-03-05T19:00:31.340-08:00,2023-03-05T19:00:34.700-08:00,tutor,tutor,1,,,
,,,wait for other people. Join.,2023-03-05T19:00:36.620-08:00,2023-03-05T19:00:40.060-08:00,tutor,tutor,1,,,
,,,All right. So today is,2023-03-05T19:00:55.360-08:00,2023-03-05T19:00:58.300-08:00,tutor,tutor,1,,,
,,,today is week. 4 day one of the sat math and boot camp.,2023-03-05T19:01:01.490-08:00,2023-03-05T19:01:06.320-08:00,tutor,tutor,1,,,
,,,So today we're talking about a tutoring on the School House.,2023-03-05T19:01:07.670-08:00,2023-03-05T19:01:10.660-08:00,tutor,tutor,1,,,
,,,"Okay, so welcome to question, what is the subject or topic that deeply interest you. It's not only we have too many people here today, so you know, to get through this part quickly.",2023-03-05T19:01:12.370-08:00,2023-03-05T19:01:20.250-08:00,tutor,tutor,1,,,
,,,"Toby, do you want to start.",2023-03-05T19:01:22.440-08:00,2023-03-05T19:01:23.840-08:00,tutor,tutor,1,,,
,,,Can Can you come back to him? Think about it?,2023-03-05T19:01:30.410-08:00,2023-03-05T19:01:33.090-08:00,student,student A,1,,,
,,,Taste?,2023-03-05T19:01:33.220-08:00,2023-03-05T19:01:34.780-08:00,tutor,tutor,1,,,
,,,So I just our topic that deeply interests me is probably just thinking about like space in general like how deep it is and stuff.,2023-03-05T19:01:38.860-08:00,2023-03-05T19:01:47.950-08:00,student,student B,1,,,
,,,"Oh, it's awesome. Yeah.",2023-03-05T19:01:48.210-08:00,2023-03-05T19:01:49.300-08:00,tutor,tutor,1,,,
,,,You have a popcorn or someone.,2023-03-05T19:01:50.750-08:00,2023-03-05T19:01:52.180-08:00,tutor,tutor,1,,,
,,,"Yeah, I go to [STUDENT_5]",2023-03-05T19:01:53.110-08:00,2023-03-05T19:01:54.670-08:00,student,student B,1,,,
,,,"or actually on my keys. [STUDENT_6], you want to share.",2023-03-05T19:02:06.170-08:00,2023-03-05T19:02:09.570-08:00,tutor,tutor,1,,,
,,,"Yeah, I got you.",2023-03-05T19:02:11.190-08:00,2023-03-05T19:02:13.240-08:00,student,student C,1,,,
,,,I'm really interested in anesthesiology and like medical questions like surgery and,2023-03-05T19:02:13.300-08:00,2023-03-05T19:02:20.130-08:00,student,student C,1,,,
,,,operating,2023-03-05T19:02:20.140-08:00,2023-03-05T19:02:20.860-08:00,student,student C,1,,,
,,,awesome.,2023-03-05T19:02:21.280-08:00,2023-03-05T19:02:21.980-08:00,tutor,tutor,1,,,
,,,"Who's left? So [STUDENT_1], you want to share.",2023-03-05T19:02:22.810-08:00,2023-03-05T19:02:25.910-08:00,tutor,tutor,1,,,
,,,"Sure, when we're doing our classes station, I put intro to finances the class I want to do next year.",2023-03-05T19:02:26.310-08:00,2023-03-05T19:02:32.500-08:00,student,student D,1,,,
,,,"I like on like I didn't think it would be that interesting. But my friends have been telling me it's a really good class. I'm excited for it next year, and I've been like",2023-03-05T19:02:33.770-08:00,2023-03-05T19:02:41.720-08:00,student,student D,1,,,
,,,"doing bit of stocks and stuff like ways to get my money. So I mean, that's I mean, that's interesting.",2023-03-05T19:02:41.780-08:00,2023-03-05T19:02:48.710-08:00,student,student D,1,,,
,,,Yeah. not you.,2023-03-05T19:02:48.760-08:00,2023-03-05T19:02:51.200-08:00,tutor,tutor,1,,,
,,,"I'm interested in Yes, climate change and the planet",2023-03-05T19:02:55.500-08:00,2023-03-05T19:03:00.630-08:00,student,student E,1,,,
,,,awesome.,2023-03-05T19:03:01.280-08:00,2023-03-05T19:03:01.870-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-05T19:03:01.900-08:00,2023-03-05T19:03:02.630-08:00,tutor,tutor,1,,,
,,,i'll pop going to.,2023-03-05T19:03:02.700-08:00,2023-03-05T19:03:04.890-08:00,student,student E,1,,,
,,,"I think I think we want it. Let's go back to it. Still, be you",2023-03-05T19:03:05.430-08:00,2023-03-05T19:03:09.140-08:00,tutor,tutor,1,,,
,,,tuna.,2023-03-05T19:03:09.180-08:00,2023-03-05T19:03:09.959-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-05T19:03:10.820-08:00,2023-03-05T19:03:12.290-08:00,student,student A,1,,,
,,,"I'd say, i'm interested in topics like in regards to like human demographics and",2023-03-05T19:03:12.340-08:00,2023-03-05T19:03:17.660-08:00,student,student A,1,,,
,,,geography like how cultures spurred and stuff like that around the world.,2023-03-05T19:03:17.800-08:00,2023-03-05T19:03:21.770-08:00,student,student A,1,,,
,,,"Awesome. Okay, that's cool.",2023-03-05T19:03:21.970-08:00,2023-03-05T19:03:23.940-08:00,tutor,tutor,1,,,
,,,"So tutoring out of school house. So if you're interested anyone computer, so it only takes about 2 h to get certified and finished training.",2023-03-05T19:03:25.490-08:00,2023-03-05T19:03:33.370-08:00,tutor,tutor,1,,,
,,,You can create your own schedule host sessions whenever you like. In basically any STEM or even writing topic.,2023-03-05T19:03:33.440-08:00,2023-03-05T19:03:39.790-08:00,tutor,tutor,1,,,
,,,"you can, you know, in the community of tutors. And you do get service hours for doing it.",2023-03-05T19:03:40.240-08:00,2023-03-05T19:03:46.240-08:00,tutor,tutor,1,,,
,,,"Okay. So curriculum for the day. So we're going to start with a practic calculator practice test for 25 min we're going to review that, and if we have extra time we'll do some some practice on topics that we need to practice on",2023-03-05T19:03:48.380-08:00,2023-03-05T19:03:59.850-08:00,tutor,tutor,1,,,
,,,awesome. Let's get started.,2023-03-05T19:04:00.160-08:00,2023-03-05T19:04:02.580-08:00,tutor,tutor,1,,,
,,,So can you guys,2023-03-05T19:04:13.210-08:00,2023-03-05T19:04:19.160-08:00,tutor,tutor,1,,,
,,,So can you guys navigate to practice just the 2 on School House.,2023-03-05T19:04:21.510-08:00,2023-03-05T19:04:25.500-08:00,tutor,tutor,1,,,
,,,Okay? And once you get there just put a thumbs up.,2023-03-05T19:04:27.130-08:00,2023-03-05T19:04:31.590-08:00,tutor,tutor,1,,,
,,,Thank you,2023-03-05T19:04:42.300-08:00,2023-03-05T19:04:44.140-08:00,tutor,tutor,1,,,
,,,you to me.,2023-03-05T19:04:46.730-08:00,2023-03-05T19:04:47.940-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-05T19:04:57.120-08:00,2023-03-05T19:04:59.020-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-05T19:05:02.470-08:00,2023-03-05T19:05:03.050-08:00,tutor,tutor,1,,,
,,,So 25 min calculators are allowed,2023-03-05T19:05:06.670-08:00,2023-03-05T19:05:09.610-08:00,tutor,tutor,1,,,
,,,on this section.,2023-03-05T19:05:09.620-08:00,2023-03-05T19:05:11.100-08:00,tutor,tutor,1,,,
,,,I'm good to 10 or 15 tickets.,2023-03-05T19:05:13.240-08:00,2023-03-05T19:05:16.450-08:00,tutor,tutor,1,,,
,,,"Try to use all the time that's given to you. I I suggest you Don't, should turn it in early, because you want to see how you would do in an actual testing environment. and also answer every question, because there's no penalty not for not doing that.",2023-03-05T19:05:20.720-08:00,2023-03-05T19:05:32.430-08:00,tutor,tutor,1,,,
,,,All right.,2023-03-05T19:05:34.130-08:00,2023-03-05T19:05:35.100-08:00,tutor,tutor,1,,,
,,,"What's burden? 5 for 3,",2023-03-05T19:05:35.370-08:00,2023-03-05T19:05:40.380-08:00,tutor,tutor,1,,,
,,,"2, one. Okay, you may be again.",2023-03-05T19:05:40.610-08:00,2023-03-05T19:05:42.840-08:00,tutor,tutor,1,,,
,,,I'll give you a morning at 5 min.,2023-03-05T19:05:43.540-08:00,2023-03-05T19:05:45.480-08:00,tutor,tutor,1,,,
,,,"all right. So if you don't, mind you're turning those in. Sorry I totally forgot to give it a 5 min one.",2023-03-05T19:30:42.660-08:00,2023-03-05T19:30:49.440-08:00,tutor,tutor,1,,,
,,,This is up.,2023-03-05T19:30:56.570-08:00,2023-03-05T19:30:57.880-08:00,tutor,tutor,1,,,
,,,"so whenever you just feel ready, just turn them in.",2023-03-05T19:31:25.760-08:00,2023-03-05T19:31:28.510-08:00,tutor,tutor,1,,,
,,,"It's pretty cool. Every single person who's on him in so far has gone a better score than they did on the on the first. Okay, so definitely seeing some good improvement",2023-03-05T19:31:31.920-08:00,2023-03-05T19:31:42.350-08:00,tutor,tutor,1,,,
,,,alright.,2023-03-05T19:31:49.200-08:00,2023-03-05T19:31:50.210-08:00,tutor,tutor,1,,,
,,,start. So,2023-03-05T19:31:53.440-08:00,2023-03-05T19:31:56.310-08:00,tutor,tutor,1,,,
,1.0,1.0,"everyone about the first question, right?",2023-03-05T19:31:57.450-08:00,2023-03-05T19:32:00.400-08:00,tutor,tutor,2,,1.0,
,,,It seems that people are trying to do get so better. So pretty well. But let's just see anyone want to volunteer to just over this one quickly.,2023-03-05T19:32:00.860-08:00,2023-03-05T19:32:07.640-08:00,tutor,tutor,2,,1.0,
,,,See?,2023-03-05T19:32:18.340-08:00,2023-03-05T19:32:19.200-08:00,tutor,tutor,2,,1.0,
,,,Hey? You want me to walk me through this one.,2023-03-05T19:32:20.250-08:00,2023-03-05T19:32:22.820-08:00,tutor,tutor,2,,1.0,
,,,"which one number one. Yeah. it's really easy. It's just talking about how there's a helicopter starting at 40 fees you already have given your Why? So you just leave that because that's like what it starts at, and then you know that's getting out to 21 feet per second. So that's going to be your T. So it's just 40, plus 21, too.",2023-03-05T19:32:29.860-08:00,2023-03-05T19:32:48.950-08:00,student,student B,2,,1.0,
,,,"It's not mine is 21, because we're gaining that for a second. Not so",2023-03-05T19:32:49.390-08:00,2023-03-05T19:32:54.240-08:00,tutor,tutor,2,,1.0,
,2.0,1.0,Number 2.,2023-03-05T19:32:55.830-08:00,2023-03-05T19:32:57.910-08:00,tutor,tutor,3,,2.0,
,,,All right. Most people go number 2 correct.,2023-03-05T19:33:01.960-08:00,2023-03-05T19:33:04.290-08:00,tutor,tutor,3,,2.0,
,,,"So we see the text messaging include towards a flat fee of $5 per month up to 100 text messages, plus 25 cents for each additional text message after that month.",2023-03-05T19:33:04.350-08:00,2023-03-05T19:33:14.920-08:00,tutor,tutor,3,,2.0,
,,,or that the same month. Sorry.,2023-03-05T19:33:15.520-08:00,2023-03-05T19:33:17.340-08:00,tutor,tutor,3,,2.0,
,,,"So it's a fine crafts represents the cost in terms of the so we first see a flat fee of $5, for up to 100 text messages. So here's our 100 text messages.",2023-03-05T19:33:17.860-08:00,2023-03-05T19:33:28.710-08:00,tutor,tutor,3,,2.0,
,,,right? So we should see a straight line at $5. Until then.,2023-03-05T19:33:28.960-08:00,2023-03-05T19:33:33.469-08:00,tutor,tutor,3,,2.0,
,,,"So this looks fine, and this looks fine. But here, that's not what's going on. And now we see 25 cents for each additional text message. So you can see. Okay, this seems about 25 cents",2023-03-05T19:33:33.580-08:00,2023-03-05T19:33:44.670-08:00,tutor,tutor,3,,2.0,
,,,"increasing for every additional text text message, so that that seems okay.",2023-03-05T19:33:44.870-08:00,2023-03-05T19:33:49.510-08:00,tutor,tutor,3,,2.0,
,,,And then here we're not it's not like it's getting cheaper When we take some more messages after,2023-03-05T19:33:50.070-08:00,2023-03-05T19:33:56.260-08:00,tutor,tutor,3,,2.0,
,,,a 100. So,2023-03-05T19:33:56.300-08:00,2023-03-05T19:33:58.370-08:00,tutor,tutor,3,,2.0,
,,,cool.,2023-03-05T19:34:01.000-08:00,2023-03-05T19:34:01.890-08:00,tutor,tutor,3,,2.0,
,3.0,1.0,"Number 3, everyone all right as well, but i'll go over quickly.",2023-03-05T19:34:03.370-08:00,2023-03-05T19:34:07.300-08:00,tutor,tutor,4,,3.0,
