problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492 (B3),,1.0,Hmm.,2023-03-09T17:20:05.180-08:00,2023-03-09T17:20:05.870-08:00,tutor,tutor,1,,,
,,,The zone,2023-03-09T17:20:21.570-08:00,2023-03-09T17:20:22.570-08:00,tutor,tutor,1,,,
,,,is our bizarre bizarre.,2023-03-09T17:20:30.130-08:00,2023-03-09T17:20:31.959-08:00,tutor,tutor,1,,,
,,,You?,2023-03-09T17:20:50.900-08:00,2023-03-09T17:20:53.060-08:00,tutor,tutor,1,,,
,,,Hmm. Hmm.,2023-03-09T17:20:57.370-08:00,2023-03-09T17:20:59.670-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-03-09T17:21:50.240-08:00,2023-03-09T17:21:50.830-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-03-09T17:21:50.870-08:00,2023-03-09T17:21:51.530-08:00,tutor,tutor,1,,,
,,,Thanks.,2023-03-09T17:22:27.220-08:00,2023-03-09T17:22:27.840-08:00,tutor,tutor,1,,,
,,,And,2023-03-09T17:22:30.530-08:00,2023-03-09T17:22:31.560-08:00,tutor,tutor,1,,,
,,,it's.,2023-03-09T17:23:11.500-08:00,2023-03-09T17:23:17.760-08:00,tutor,tutor,1,,,
,,,You can have your cell phone.,2023-03-09T17:23:24.880-08:00,2023-03-09T17:23:28.970-08:00,tutor,tutor,1,,,
,,,So in the number of,2023-03-09T17:23:30.510-08:00,2023-03-09T17:23:32.010-08:00,tutor,tutor,1,,,
,,,What is that?,2023-03-09T17:24:06.540-08:00,2023-03-09T17:24:08.180-08:00,tutor,tutor,1,,,
,,,No.,2023-03-09T17:24:13.680-08:00,2023-03-09T17:24:14.760-08:00,tutor,tutor,1,,,
,,,What is the,2023-03-09T17:24:15.820-08:00,2023-03-09T17:24:19.860-08:00,tutor,tutor,1,,,
,,,no moving,2023-03-09T17:24:22.550-08:00,2023-03-09T17:24:23.700-08:00,tutor,tutor,1,,,
,,,a,2023-03-09T17:24:34.850-08:00,2023-03-09T17:24:35.770-08:00,tutor,tutor,1,,,
