problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485 (A1),,1.0,"Hello, [STUDENT_8].",2023-02-11T13:27:16.350-08:00,2023-02-11T13:27:17.480-08:00,tutor,tutor,1,,,
,,,I.,2023-02-11T13:27:19.430-08:00,2023-02-11T13:27:20.420-08:00,student,student A,1,,,
,,,We'll get started at like 3 30,2023-02-11T13:27:21.680-08:00,2023-02-11T13:27:23.890-08:00,tutor,tutor,1,,,
,,,and wait for those people to join.,2023-02-11T13:27:23.930-08:00,2023-02-11T13:27:26.920-08:00,student,student A,1,,,
,,,If you guys could. It would be great. If you guys could turn on your camera,2023-02-11T13:29:57.980-08:00,2023-02-11T13:30:01.830-08:00,tutor,tutor,1,,,
,,,and go away from a few more minutes and let people join in.,2023-02-11T13:30:12.350-08:00,2023-02-11T13:30:16.020-08:00,tutor,tutor,1,,,
,,,If you guys could turn on your camera. That would be great.,2023-02-11T13:32:50.920-08:00,2023-02-11T13:32:53.810-08:00,tutor,tutor,1,,,
,,,"Alright, so i'm gonna go ahead and get started",2023-02-11T13:36:08.400-08:00,2023-02-11T13:36:11.490-08:00,tutor,tutor,1,,,
,,,first. You want to start with a I said to you math orientation.,2023-02-11T13:36:12.160-08:00,2023-02-11T13:36:16.230-08:00,tutor,tutor,1,,,
,,,if you guys could turn on your camera.,2023-02-11T13:36:17.110-08:00,2023-02-11T13:36:19.490-08:00,tutor,tutor,1,,,
,,,that'd be great. So we're gonna do,2023-02-11T13:36:19.980-08:00,2023-02-11T13:36:22.370-08:00,tutor,tutor,1,,,
,,,bit screen introduction,2023-02-11T13:36:22.780-08:00,2023-02-11T13:36:24.400-08:00,tutor,tutor,1,,,
,,,"the course, and then we'll introduce ourselves.",2023-02-11T13:36:24.480-08:00,2023-02-11T13:36:27.620-08:00,tutor,tutor,1,,,
,,,"So first, if you guys, could we all just say our names? What state or country we're from.",2023-02-11T13:36:32.570-08:00,2023-02-11T13:36:39.660-08:00,tutor,tutor,1,,,
,,,And then what your hope for this and boot camp is.,2023-02-11T13:36:39.710-08:00,2023-02-11T13:36:42.620-08:00,tutor,tutor,1,,,
,,,So my name is Steven from Tennessee.,2023-02-11T13:36:43.410-08:00,2023-02-11T13:36:47.630-08:00,tutor,tutor,1,,,
,,,My hope is to help learn it's like you guys understand the it. Math section Better it improve your skills.,2023-02-11T13:36:48.190-08:00,2023-02-11T13:36:55.160-08:00,tutor,tutor,1,,,
,,,"So, [STUDENT_11], if you could go next.",2023-02-11T13:36:58.310-08:00,2023-02-11T13:37:00.810-08:00,tutor,tutor,1,,,
,,,All right. [STUDENT_9]. Can you go now?,2023-02-11T13:37:11.120-08:00,2023-02-11T13:37:14.770-08:00,tutor,tutor,1,,,
,,,I'm coming. I'm from Massachusetts.,2023-02-11T13:37:15.990-08:00,2023-02-11T13:37:18.870-08:00,student,student B,1,,,
,,,I say my goal is to just improve on my math right now.,2023-02-11T13:37:19.280-08:00,2023-02-11T13:37:23.270-08:00,student,student B,1,,,
,,,[STUDENT_6].,2023-02-11T13:37:25.960-08:00,2023-02-11T13:37:27.280-08:00,student,student B,1,,,
,,,"Oh, my name's [STUDENT_6] I'm from New York.",2023-02-11T13:37:29.540-08:00,2023-02-11T13:37:32.240-08:00,student,student C,1,,,
,,,and my goal is to improve my score.,2023-02-11T13:37:32.400-08:00,2023-02-11T13:37:35.700-08:00,student,student C,1,,,
,,,Sure you,2023-02-11T13:37:38.000-08:00,2023-02-11T13:37:39.380-08:00,student,student C,1,,,
,,,"my name is Shria I'm from Texas, and my goal is to prove my sat score.",2023-02-11T13:37:41.130-08:00,2023-02-11T13:37:46.660-08:00,student,student D,1,,,
,,,[STUDENT_8].,2023-02-11T13:37:48.690-08:00,2023-02-11T13:37:49.490-08:00,tutor,tutor,1,,,
,,,"My name is [STUDENT_8] I'm from California, and I also hope to improve my sat score.",2023-02-11T13:37:50.319-08:00,2023-02-11T13:37:56.280-08:00,student,student A,1,,,
,,,[STUDENT_2].,2023-02-11T13:37:57.870-08:00,2023-02-11T13:37:59.040-08:00,student,student A,1,,,
,,,Hi! My name is [STUDENT_2].,2023-02-11T13:38:00.060-08:00,2023-02-11T13:38:01.620-08:00,student,student E,1,,,
,,,I'm. From New York.,2023-02-11T13:38:02.340-08:00,2023-02-11T13:38:04.290-08:00,student,student E,1,,,
,,,I'm. Trying to also improve my [STUDENT_1],2023-02-11T13:38:04.820-08:00,2023-02-11T13:38:06.480-08:00,student,student E,1,,,
,,,[STUDENT_5].,2023-02-11T13:38:08.740-08:00,2023-02-11T13:38:09.670-08:00,tutor,tutor,1,,,
,,,"My name is Chris from New York, and i'm trying to improve my my school.",2023-02-11T13:38:10.900-08:00,2023-02-11T13:38:15.290-08:00,student,student F,1,,,
,,,Athen.,2023-02-11T13:38:16.940-08:00,2023-02-11T13:38:17.970-08:00,tutor,tutor,1,,,
,,,I think. Are you there?,2023-02-11T13:38:26.980-08:00,2023-02-11T13:38:28.350-08:00,tutor,tutor,1,,,
,,,"All right, [STUDENT_1]?",2023-02-11T13:38:33.860-08:00,2023-02-11T13:38:35.630-08:00,tutor,tutor,1,,,
,,,I'm back. I'm from New Jersey. I'm trying to improve my sats away.,2023-02-11T13:38:37.710-08:00,2023-02-11T13:38:40.840-08:00,student,student G,1,,,
,,,and [STUDENT_7],2023-02-11T13:38:41.990-08:00,2023-02-11T13:38:43.190-08:00,tutor,tutor,1,,,
,,,I'm from Maryland and I'm also trying to improve my school,2023-02-11T13:38:45.500-08:00,2023-02-11T13:38:49.830-08:00,student,student H,1,,,
,,,right so a little bit about schoolhouse.,2023-02-11T13:38:56.290-08:00,2023-02-11T13:38:59.420-08:00,tutor,tutor,1,,,
,,,"So basically it's a nonprofit for helping students around the nation connected to each other, and basically it's free peer to peer tutoring.",2023-02-11T13:39:00.280-08:00,2023-02-11T13:39:09.350-08:00,tutor,tutor,1,,,
,,,So it was founded by,2023-02-11T13:39:10.270-08:00,2023-02-11T13:39:14.850-08:00,tutor,tutor,1,,,
,,,"so far there 30,000 learners, 4,002 years, and it's there's over 150 countries.",2023-02-11T13:39:15.300-08:00,2023-02-11T13:39:22.520-08:00,tutor,tutor,1,,,
,,,So for this boot camp session it's going to take place over 4 weeks.,2023-02-11T13:39:27.620-08:00,2023-02-11T13:39:31.810-08:00,tutor,tutor,1,,,
,,,We have 2 sessions on Sat Saturday and a Sunday,2023-02-11T13:39:31.920-08:00,2023-02-11T13:39:35.480-08:00,tutor,tutor,1,,,
,,,"3 3 this time, whatever your time is.",2023-02-11T13:39:35.580-08:00,2023-02-11T13:39:39.190-08:00,tutor,tutor,1,,,
,,,And so we'll be doing practice tests that we're going to be reviewing them,2023-02-11T13:39:39.900-08:00,2023-02-11T13:39:44.440-08:00,tutor,tutor,1,,,
,,,and then targeted group practice where we'll just review and practice any key concepts that are the most mess.,2023-02-11T13:39:44.740-08:00,2023-02-11T13:39:51.690-08:00,tutor,tutor,1,,,
,,,"There's no required homework, but we would definitely recommend practicing, if you can outside of these sessions.",2023-02-11T13:39:52.900-08:00,2023-02-11T13:39:59.780-08:00,tutor,tutor,1,,,
,,,So we would like you to stay actively. Engage the at the session. If you guys could share.,2023-02-11T13:40:10.270-08:00,2023-02-11T13:40:16.150-08:00,tutor,tutor,1,,,
,,,turn on your camera if you haven't already. That'd be great.,2023-02-11T13:40:16.160-08:00,2023-02-11T13:40:19.030-08:00,tutor,tutor,1,,,
,,,And and throughout this we'll be participating. I'll have people unmuting answering questions.,2023-02-11T13:40:19.790-08:00,2023-02-11T13:40:26.020-08:00,tutor,tutor,1,,,
