problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,Hello.,2023-03-01T15:15:12.900-08:00,2023-03-01T15:15:13.930-08:00,tutor,tutor,1,,,
,,,"hello, everyone! So we'll get started. I'll just share my screen for the welcome presentation.",2023-03-01T15:15:15.410-08:00,2023-03-01T15:15:22.820-08:00,tutor,tutor,1,,,
,,,"Everyone, if you could. Please turn on your cameras. That would be nice.",2023-03-01T15:15:42.310-08:00,2023-03-01T15:15:45.300-08:00,tutor,tutor,1,,,
,,,"Okay, can everyone see that",2023-03-01T15:15:59.240-08:00,2023-03-01T15:16:00.890-08:00,tutor,tutor,1,,,
,,,the presentation? Okay.,2023-03-01T15:16:02.310-08:00,2023-03-01T15:16:04.340-08:00,tutor,tutor,1,,,
,,,All right. So I am going to.,2023-03-01T15:16:04.960-08:00,2023-03-01T15:16:07.750-08:00,tutor,tutor,1,,,
,,,Okay. So this is school has session 6.,2023-03-01T15:16:09.640-08:00,2023-03-01T15:16:13.790-08:00,tutor,tutor,1,,,
,,,"And now today we're gonna, you know",2023-03-01T15:16:13.860-08:00,2023-03-01T15:16:17.400-08:00,tutor,tutor,1,,,
,,,we ahead and have our curriculum. So our welcome question for today,2023-03-01T15:16:17.730-08:00,2023-03-01T15:16:24.000-08:00,tutor,tutor,1,,,
,,,is.,2023-03-01T15:16:24.080-08:00,2023-03-01T15:16:25.930-08:00,tutor,tutor,1,,,
,,,What is there? What is the biggest challenge you've faced. And how do you overcome it? So who wants to start us off,2023-03-01T15:16:26.370-08:00,2023-03-01T15:16:34.530-08:00,tutor,tutor,1,,,
,,,anyone?,2023-03-01T15:16:38.060-08:00,2023-03-01T15:16:38.800-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-01T15:16:46.610-08:00,2023-03-01T15:16:47.280-08:00,tutor,tutor,1,,,
,,,surely. Can you start us off? Then?,2023-03-01T15:16:47.400-08:00,2023-03-01T15:16:49.870-08:00,tutor,tutor,1,,,
,,,"Yeah, the biggest challenge I face.",2023-03-01T15:16:50.600-08:00,2023-03-01T15:16:54.090-08:00,student,student A,1,,,
,,,"probably when I broke my ankle, and I was out for my volleyball season",2023-03-01T15:16:54.150-08:00,2023-03-01T15:17:00.160-08:00,student,student A,1,,,
,,,"I ever came in. By taking the time I needed to heal my foot, I guess. When do you want the next?",2023-03-01T15:17:00.210-08:00,2023-03-01T15:17:10.270-08:00,student,student A,1,,,
,,,"I'm Sure, I really know to say. But I guess like",2023-03-01T15:17:11.140-08:00,2023-03-01T15:17:15.060-08:00,student,student B,1,,,
,,,"freshman year, I had a sub for math over zoom the whole time.",2023-03-01T15:17:15.110-08:00,2023-03-01T15:17:20.200-08:00,student,student B,1,,,
,,,"And so we were really learning, and it made it really difficult. And I guess I just like asked my brother, and like other people for support, and like to help me",2023-03-01T15:17:20.250-08:00,2023-03-01T15:17:28.310-08:00,student,student B,1,,,
,,,call you. Now.,2023-03-01T15:17:30.170-08:00,2023-03-01T15:17:31.480-08:00,student,student B,1,,,
,,,"this is a tough question. I guess i'd say my biggest challenge It' be when I went to it like a new middle school, and I didn't like know anybody there.",2023-03-01T15:17:34.210-08:00,2023-03-01T15:17:43.600-08:00,student,student C,1,,,
,,,so I kinda had to join a bunch of clubs and,2023-03-01T15:17:43.720-08:00,2023-03-01T15:17:46.970-08:00,student,student C,1,,,
,,,"make friends with people. It's kind of hard to, you know, fit in. But eventually I got there",2023-03-01T15:17:47.130-08:00,2023-03-01T15:17:52.470-08:00,student,student C,1,,,
,,,that you want to keep it going.,2023-03-01T15:17:52.910-08:00,2023-03-01T15:17:54.630-08:00,student,student C,1,,,
,,,"Yeah, sure. I think the biggest challenge I face",2023-03-01T15:17:55.400-08:00,2023-03-01T15:18:00.030-08:00,student,student D,1,,,
,,,"is my teacher for ap physics right now. She's not really like. She definitely knows what she's doing, but she doesn't know how to like, teach it to us, and she gets diverted really easily. So we hardly learn anything. And",2023-03-01T15:18:00.200-08:00,2023-03-01T15:18:13.190-08:00,student,student D,1,,,
,,,because of that i'm not learning anything. And i'm really struggling in the class.,2023-03-01T15:18:13.200-08:00,2023-03-01T15:18:17.140-08:00,student,student D,1,,,
,,,so I think,2023-03-01T15:18:17.170-08:00,2023-03-01T15:18:19.500-08:00,student,student D,1,,,
,,,"that was the most difficult part. But my dad's really good at physics, so he's helping me out and helping me do better on like the test and everything.",2023-03-01T15:18:19.600-08:00,2023-03-01T15:18:27.130-08:00,student,student D,1,,,
,,,Okay.,2023-03-01T15:18:27.570-08:00,2023-03-01T15:18:29.490-08:00,tutor,tutor,1,,,
,,,Okay. So this is our next slide.,2023-03-01T15:18:31.050-08:00,2023-03-01T15:18:33.550-08:00,tutor,tutor,1,,,
,,,"Okay. So for today we're gonna start us start ourselves off with a practice test. No calculator be one. I open all the tests already, so",2023-03-01T15:18:34.870-08:00,2023-03-01T15:18:45.360-08:00,tutor,tutor,1,,,
,,,"you can go ahead and access that. And then after that we're going to review the practice test, and then we're going to do some",2023-03-01T15:18:45.450-08:00,2023-03-01T15:18:51.160-08:00,tutor,tutor,1,,,
,,,"group practice at the end of our session. So if everyone I want to stop our screen share. Everyone could take out a calculator and pull up the schoolhouse tab, and then give me a thumbs up on zoom when you are ready to start.",2023-03-01T15:18:51.190-08:00,2023-03-01T15:19:05.400-08:00,tutor,tutor,1,,,
,,,"Hello, himena. So now we're we're just getting ready to start a practice test. It's on schoolhouse. It is a calculator section. So just pull out your calculator and then open it up on a schoolhouse.",2023-03-01T15:19:22.140-08:00,2023-03-01T15:19:36.630-08:00,tutor,tutor,1,,,
,,,and we'll get started when everyone else is. When everyone is ready.,2023-03-01T15:19:36.760-08:00,2023-03-01T15:19:40.250-08:00,tutor,tutor,1,,,
,,,"Are we doing the B One B, One says no calculator.",2023-03-01T15:19:41.170-08:00,2023-03-01T15:19:47.590-08:00,student,student D,1,,,
,,,"i'll be once there's no customer. Oh, and in that case, then you don't need a confidence. I'm sorry.",2023-03-01T15:19:47.670-08:00,2023-03-01T15:19:52.570-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, no conf better. That was my mistake. So it's no calculator. Sorry, you guys. But yeah, so everyone that is, everyone pulled up the what up the practice test. Please let me know if you Haven't yet.",2023-03-01T15:19:55.630-08:00,2023-03-01T15:20:08.270-08:00,tutor,tutor,1,,,
,,,"Everyone's done. Hey, Mana?",2023-03-01T15:20:13.750-08:00,2023-03-01T15:20:15.980-08:00,tutor,tutor,1,,,
,,,"Okay. Surely you, too.",2023-03-01T15:20:20.440-08:00,2023-03-01T15:20:22.330-08:00,tutor,tutor,1,,,
,,,Okay. Yeah. Okay. Good. So i'm going to screen share the timer. And then we're gonna get started. Don't start yet.,2023-03-01T15:20:27.030-08:00,2023-03-01T15:20:32.980-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-01T15:20:33.000-08:00,2023-03-01T15:20:33.690-08:00,tutor,tutor,1,,,
,,,So here we go.,2023-03-01T15:20:34.240-08:00,2023-03-01T15:20:36.710-08:00,tutor,tutor,1,,,
,,,So full screen.,2023-03-01T15:20:37.180-08:00,2023-03-01T15:20:40.190-08:00,tutor,tutor,1,,,
,,,"Okay, everybody can see the timer.",2023-03-01T15:20:41.090-08:00,2023-03-01T15:20:43.200-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-01T15:20:45.440-08:00,2023-03-01T15:20:46.110-08:00,student,student D,1,,,
,,,Okay. So okay.,2023-03-01T15:20:46.250-08:00,2023-03-01T15:20:47.790-08:00,tutor,tutor,1,,,
,,,"5 4 3 2, one start",2023-03-01T15:20:48.010-08:00,2023-03-01T15:20:51.760-08:00,tutor,tutor,1,,,
,,,5 min left. You guys. 5 min left.,2023-03-01T15:40:52.140-08:00,2023-03-01T15:40:54.560-08:00,tutor,tutor,1,,,
,,,"1 min left, you guys. 1 min left.",2023-03-01T15:44:50.990-08:00,2023-03-01T15:44:53.470-08:00,tutor,tutor,1,,,
