problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,Okay.,2023-02-16T01:01:54.060-08:00,2023-02-16T01:01:54.960-08:00,tutor,tutor,1,,,
,,,"welcome, Leo.",2023-02-16T01:01:59.720-08:00,2023-02-16T01:02:00.810-08:00,tutor,tutor,1,,,
,,,I will get started in just a couple of minutes.,2023-02-16T01:02:02.770-08:00,2023-02-16T01:02:05.590-08:00,tutor,tutor,1,,,
,,,"Okay, we might get started.",2023-02-16T01:03:46.240-08:00,2023-02-16T01:03:49.010-08:00,tutor,tutor,1,,,
,,,"So. Leo, I think you were at this session the first session on Monday. Do you know? Just tell us a little bit about yourself if you've done the sat before",2023-02-16T01:03:50.340-08:00,2023-02-16T01:04:02.280-08:00,tutor,tutor,1,,,
,,,where you from just that sort of thing.,2023-02-16T01:04:02.410-08:00,2023-02-16T01:04:04.940-08:00,tutor,tutor,1,,,
,,,"I just took the Ps. It's before, and I don't know. I'm from Pennsylvania.",2023-02-16T01:04:11.190-08:00,2023-02-16T01:04:18.750-08:00,student,student A,1,,,
,,,"Right? Okay. Cool. So what is the P. S. It, actually, because I don't think I've heard of it.",2023-02-16T01:04:19.600-08:00,2023-02-16T01:04:25.930-08:00,tutor,tutor,1,,,
,,,"Oh, it's just like a practice. Sat",2023-02-16T01:04:26.330-08:00,2023-02-16T01:04:28.820-08:00,student,student A,1,,,
,,,right? Okay.,2023-02-16T01:04:29.120-08:00,2023-02-16T01:04:30.330-08:00,tutor,tutor,1,,,
,,,"Okay, cool.",2023-02-16T01:04:30.660-08:00,2023-02-16T01:04:31.910-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-16T01:04:33.120-08:00,2023-02-16T01:04:35.510-08:00,tutor,tutor,1,,,
,,,did you? You probably wouldn't have. But have you done the practice? Test? A one on schoolhouse?,2023-02-16T01:04:37.130-08:00,2023-02-16T01:04:45.910-08:00,tutor,tutor,1,,,
,,,I've I did the second one. I didn't do the first one.,2023-02-16T01:04:46.450-08:00,2023-02-16T01:04:49.960-08:00,student,student A,1,,,
,,,"Okay, cool. That's all. Good Jay, Have you done this second one?",2023-02-16T01:04:50.170-08:00,2023-02-16T01:04:54.430-08:00,tutor,tutor,1,,,
,,,"Yes, okay.",2023-02-16T01:05:04.960-08:00,2023-02-16T01:05:06.750-08:00,tutor,tutor,1,,,
,,,We have someone else joining.,2023-02-16T01:05:09.620-08:00,2023-02-16T01:05:11.940-08:00,tutor,tutor,1,,,
,,,I should be,2023-02-16T01:05:20.220-08:00,2023-02-16T01:05:21.180-08:00,tutor,tutor,1,,,
,,,so. Did you manage to do the second?,2023-02-16T01:05:22.070-08:00,2023-02-16T01:05:25.890-08:00,tutor,tutor,1,,,
,,,The second practice test.,2023-02-16T01:05:26.930-08:00,2023-02-16T01:05:29.500-08:00,tutor,tutor,1,,,
,,,"Yeah, I just finished it like",2023-02-16T01:05:29.810-08:00,2023-02-16T01:05:32.580-08:00,student,student B,1,,,
,,,maybe 30 45 min ago.,2023-02-16T01:05:32.610-08:00,2023-02-16T01:05:35.810-08:00,student,student B,1,,,
,,,"Okay, cool. That is good.",2023-02-16T01:05:36.250-08:00,2023-02-16T01:05:39.700-08:00,tutor,tutor,1,,,
