problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"Okay. And so some people are running late, but we could start with just",2023-02-22T13:01:19.330-08:00,2023-02-22T13:01:24.610-08:00,tutor,tutor,1,,,
,,,the curriculum for the day.,2023-02-22T13:01:24.970-08:00,2023-02-22T13:01:26.900-08:00,tutor,tutor,1,,,
,,,Okay. So today we will be doing the,2023-02-22T13:01:43.280-08:00,2023-02-22T13:01:51.840-08:00,tutor,tutor,1,,,
,,,"practice problems to work on, and then we will be doing the last",2023-02-22T13:01:52.000-08:00,2023-02-22T13:01:58.140-08:00,tutor,tutor,1,,,
,,,calculator portion of the calculator test. This is,2023-02-22T13:01:58.490-08:00,2023-02-22T13:02:03.260-08:00,tutor,tutor,1,,,
,,,"the third part, and then we will be reviewing the practice test. Pro.",2023-02-22T13:02:03.550-08:00,2023-02-22T13:02:08.440-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-22T13:02:10.570-08:00,2023-02-22T13:02:11.280-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-22T13:02:19.240-08:00,2023-02-22T13:02:19.980-08:00,tutor,tutor,1,,,
,,,"S0 0ur first topic for today is ratios, rights, proportions, and percent.",2023-02-22T13:02:31.780-08:00,2023-02-22T13:02:37.840-08:00,tutor,tutor,1,,,
,,,"A ratio is a comparison of 2 quantities, so a rati0 0f a to B can be expressed as",2023-02-22T13:02:41.940-08:00,2023-02-22T13:02:48.860-08:00,tutor,tutor,1,,,
,,,A on P. Or a over P. Their proportion is in the quality of 2 ratios. We write proportions to help us find equivalent ratios and software unknown quantities.,2023-02-22T13:02:49.150-08:00,2023-02-22T13:03:01.720-08:00,tutor,tutor,1,,,
,,,"and a rate is the quotient of a ratio for the quantities of different units, such as",2023-02-22T13:03:01.760-08:00,2023-02-22T13:03:08.000-08:00,tutor,tutor,1,,,
,,,45 meters,2023-02-22T13:03:08.250-08:00,2023-02-22T13:03:09.850-08:00,tutor,tutor,1,,,
,,,in 3 s.,2023-02-22T13:03:10.110-08:00,2023-02-22T13:03:11.770-08:00,tutor,tutor,1,,,
,,,So to some practice problems.,2023-02-22T13:03:13.910-08:00,2023-02-22T13:03:16.830-08:00,tutor,tutor,1,,,
,,,Go ahead and,2023-02-22T13:03:20.570-08:00,2023-02-22T13:03:21.900-08:00,tutor,tutor,1,,,
,,,tell me your answer in the chat.,2023-02-22T13:03:22.790-08:00,2023-02-22T13:03:24.520-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-22T13:05:32.090-08:00,2023-02-22T13:05:34.850-08:00,tutor,tutor,1,,,
,-1.0,1.0,So we got that,2023-02-22T13:05:36.220-08:00,2023-02-22T13:05:37.950-08:00,tutor,tutor,2,,-1.0,
,,,"an object weighs a £100 on Earth, and we have the percent, the rati0 0f that on Venus and on Jupiter.",2023-02-22T13:05:38.260-08:00,2023-02-22T13:05:48.320-08:00,tutor,tutor,2,,-1.0,
,,,So,2023-02-22T13:05:48.570-08:00,2023-02-22T13:05:49.400-08:00,tutor,tutor,2,,-1.0,
,,,the weight of an all your company is approximately 9 tenth of its way down here. We can just go ahead and find the weight on,2023-02-22T13:05:51.160-08:00,2023-02-22T13:05:59.600-08:00,tutor,tutor,2,,-1.0,
,,,Venus. S0 100 times 9 0ver 10,2023-02-22T13:05:59.790-08:00,2023-02-22T13:06:03.800-08:00,tutor,tutor,2,,-1.0,
