problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,Hello!,2023-02-11T16:58:43.590-08:00,2023-02-11T16:58:44.530-08:00,tutor,tutor,1,,,
,,,Hello! Hello! Hello! Hello!,2023-02-11T16:58:50.140-08:00,2023-02-11T16:58:52.460-08:00,tutor,tutor,1,,,
,,,Hello! What's up guys? Can you hear me?,2023-02-11T16:59:27.000-08:00,2023-02-11T16:59:30.520-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-11T16:59:32.120-08:00,2023-02-11T16:59:33.060-08:00,student,student A,1,,,
,,,"Alright? Cool, Cool",2023-02-11T16:59:33.360-08:00,2023-02-11T16:59:35.290-08:00,tutor,tutor,1,,,
,,,how you feel on the day?,2023-02-11T16:59:36.620-08:00,2023-02-11T16:59:37.810-08:00,tutor,tutor,1,,,
,,,Pretty good. I have a children,2023-02-11T16:59:40.160-08:00,2023-02-11T16:59:42.390-08:00,student,student A,1,,,
,,,that's good. That's good.,2023-02-11T16:59:42.400-08:00,2023-02-11T16:59:43.740-08:00,tutor,tutor,1,,,
,,,But,2023-02-11T16:59:50.020-08:00,2023-02-11T16:59:50.910-08:00,tutor,tutor,1,,,
,,,"well, we'll have fun. I'm sure. We'll have fun.",2023-02-11T16:59:50.920-08:00,2023-02-11T16:59:53.620-08:00,tutor,tutor,1,,,
,,,Thanks for asking.,2023-02-11T16:59:54.240-08:00,2023-02-11T16:59:55.420-08:00,tutor,tutor,1,,,
,,,Let's get more people in here. I still need to get a little set up.,2023-02-11T16:59:55.590-08:00,2023-02-11T17:00:00.370-08:00,student,student A,1,,,
,,,I You want a little unprepared right now.,2023-02-11T17:00:00.670-08:00,2023-02-11T17:00:03.930-08:00,tutor,tutor,1,,,
,,,but that is als0 0kay.,2023-02-11T17:00:04.570-08:00,2023-02-11T17:00:06.430-08:00,tutor,tutor,1,,,
