problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,"Hello, [STUDENT_5] and Sophie! How are you guys doing tonight?",2023-02-17T21:57:10.980+00:00,2023-02-17T21:57:14.080+00:00,tutor,tutor,1,,,
,,,Hi! I'm. Good. How are you?,2023-02-17T21:57:15.160+00:00,2023-02-17T21:57:16.730+00:00,student,student A,1,,,
,,,"I'm doing all right. I'm a little sick. So if I sound a little stuffy, that is why. But",2023-02-17T21:57:16.980+00:00,2023-02-17T21:57:21.770+00:00,student,student A,1,,,
,,,I can still talk. Last,2023-02-17T21:57:21.780+00:00,2023-02-17T21:57:24.060+00:00,tutor,tutor,1,,,
,,,"last boot camp I had to reschedule session, because I couldn't talk so",2023-02-17T21:57:24.120+00:00,2023-02-17T21:57:28.300+00:00,tutor,tutor,1,,,
,,,we're all good. Then.,2023-02-17T21:57:28.740+00:00,2023-02-17T21:57:30.730+00:00,tutor,tutor,1,,,
,,,"Hey, Sophie, I believe you're new. So welcome. I'm. [STUDENT_3]. I will be your tutor for this boot camp. and feel free to ask questions at any time. Hey, [STUDENT_2], how are you doing tonight?",2023-02-17T21:57:39.540+00:00,2023-02-17T21:57:51.830+00:00,tutor,tutor,1,,,
,,,"Hi, I'm: Pretty okay. How about you doing All right, Little under the weather? I think I have a cold, but overall fine.",2023-02-17T21:57:55.260+00:00,2023-02-17T21:58:03.130+00:00,tutor,tutor,1,,,
,,,Didn't. You have a cold last time it was the start of a cold. Now it's a full blown cold.,2023-02-17T21:58:03.690+00:00,2023-02-17T21:58:11.150+00:00,student,student B,1,,,
,,,"Yeah, Well, hopefully, it'll be over soon. I I was telling [STUDENT_5] and Sophie I can still speak, which is good",2023-02-17T21:58:11.310+00:00,2023-02-17T21:58:17.260+00:00,tutor,tutor,1,,,
,,,until we get better.,2023-02-17T21:58:18.980+00:00,2023-02-17T21:58:20.910+00:00,student,student B,1,,,
,,,"Me, too. I appreciate your thoughts. So.",2023-02-17T21:58:21.890+00:00,2023-02-17T21:58:24.930+00:00,tutor,tutor,1,,,
,,,Hi.,2023-02-17T21:58:25.990+00:00,2023-02-17T21:58:26.930+00:00,student,student C,1,,,
,,,"hey, Sophie, how are you tonight?",2023-02-17T21:58:28.670+00:00,2023-02-17T21:58:30.590+00:00,tutor,tutor,1,,,
,,,I'm pretty cool. How are you,2023-02-17T21:58:33.210+00:00,2023-02-17T21:58:36.530+00:00,student,student C,1,,,
,,,"doing? All right, little sick, but overall fine. You might have heard where you go joining us from",2023-02-17T21:58:37.110+00:00,2023-02-17T21:58:44.680+00:00,tutor,tutor,1,,,
