problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490 (B1),,1.0,It does,2023-03-05T15:47:24.180-08:00,2023-03-05T15:47:25.080-08:00,tutor,tutor,1,,,
,,,"all right. It looks like we're short short, a few people, but we can go ahead and get started",2023-03-05T16:00:47.290-08:00,2023-03-05T16:00:53.050-08:00,tutor,tutor,1,,,
,,,once again. Could you guys send your video on just so I can know that you're there.,2023-03-05T16:01:01.070-08:00,2023-03-05T16:01:04.840-08:00,tutor,tutor,1,,,
,,,Great. Thank you.,2023-03-05T16:01:12.050-08:00,2023-03-05T16:01:13.470-08:00,tutor,tutor,1,,,
,,,"So I will probably have to repeat this for those that are coming in late, but today is a little different. We will not be starting with any sort of group review.",2023-03-05T16:01:14.420-08:00,2023-03-05T16:01:25.060-08:00,tutor,tutor,1,,,
,,,We will be going directly into the,2023-03-05T16:01:25.820-08:00,2023-03-05T16:01:29.390-08:00,tutor,tutor,1,,,
,,,first. Just so. The assessment for today,2023-03-05T16:01:29.610-08:00,2023-03-05T16:01:32.110-08:00,tutor,tutor,1,,,
,,,"today is assessment B one. I believe it is the not it isn't a practice, not a calculated active portion of the exam.",2023-03-05T16:01:33.160-08:00,2023-03-05T16:01:44.630-08:00,tutor,tutor,1,,,
,,,You will have 25 min to complete it. Afterwards.,2023-03-05T16:01:46.240-08:00,2023-03-05T16:01:50.760-08:00,tutor,tutor,1,,,
,,,We will have the rest of the time to go over any questions you have or any questions you have on the about any topics in general. Does that sound good?,2023-03-05T16:01:50.930-08:00,2023-03-05T16:01:58.720-08:00,tutor,tutor,1,,,
,,,Okay. So,2023-03-05T16:02:01.030-08:00,2023-03-05T16:02:02.730-08:00,tutor,tutor,1,,,
,,,you can. If you go to our session page you can find it under the assessments. This is test B one.,2023-03-05T16:02:03.290-08:00,2023-03-05T16:02:09.850-08:00,tutor,tutor,1,,,
,,,and you can,2023-03-05T16:02:11.260-08:00,2023-03-05T16:02:13.600-08:00,tutor,tutor,1,,,
,,,begin whenever you get to it. I'll start the timer in a couple of seconds.,2023-03-05T16:02:14.020-08:00,2023-03-05T16:02:17.970-08:00,tutor,tutor,1,,,
,,,You have less than 5 min left. 5 min,2023-03-05T16:22:55.000-08:00,2023-03-05T16:22:58.510-08:00,tutor,tutor,1,,,
,,,all right. That is time.,2023-03-05T16:27:51.030-08:00,2023-03-05T16:27:52.870-08:00,tutor,tutor,1,,,
,,,How did it go?,2023-03-05T16:27:58.960-08:00,2023-03-05T16:28:00.080-08:00,tutor,tutor,1,,,
,,,Any problems that were particularly challenging to? Did you have any comments.,2023-03-05T16:28:12.730-08:00,2023-03-05T16:28:16.580-08:00,tutor,tutor,1,,,
,3.0,1.0,Can we go over Number 3?,2023-03-05T16:28:22.140-08:00,2023-03-05T16:28:24.800-08:00,student,student A,2,,3.0,
,,,Would you like to go ahead and read it out?,2023-03-05T16:28:28.430-08:00,2023-03-05T16:28:30.370-08:00,tutor,tutor,2,,3.0,
,,,Yeah.,2023-03-05T16:28:31.750-08:00,2023-03-05T16:28:32.500-08:00,student,student A,2,,3.0,
,,,The table above shows shipping charges for an online retailer that sells sporting goods. There is a linear relationship between the shipping charge and the weight of the merchandise which function can be used to determine the total shipping charge F of X in dollars for an order with the merchandise weight of X pounds.,2023-03-05T16:28:33.190-08:00,2023-03-05T16:28:48.300-08:00,student,student A,2,,3.0,
,,,Okay. So what do you think this question is asking,2023-03-05T16:28:49.130-08:00,2023-03-05T16:28:54.650-08:00,tutor,tutor,2,,3.0,
,,,"like, what is",2023-03-05T16:28:57.020-08:00,2023-03-05T16:28:59.740-08:00,student,student A,2,,3.0,
,,,kind of the ratio between,2023-03-05T16:29:01.080-08:00,2023-03-05T16:29:03.880-08:00,student,student A,2,,3.0,
,,,the merchandise weight and the shipping charge?,2023-03-05T16:29:05.990-08:00,2023-03-05T16:29:08.750-08:00,student,student A,2,,3.0,
,,,"Yes, that is one way of okay.",2023-03-05T16:29:10.320-08:00,2023-03-05T16:29:12.920-08:00,tutor,tutor,2,,3.0,
,,,So here i'll put down a couple of points. Here.,2023-03-05T16:29:14.100-08:00,2023-03-05T16:29:17.550-08:00,tutor,tutor,2,,3.0,
,,,"Actually, yeah.",2023-03-05T16:29:19.360-08:00,2023-03-05T16:29:20.860-08:00,tutor,tutor,2,,3.0,
,,,"£5 is 1,694.",2023-03-05T16:29:22.120-08:00,2023-03-05T16:29:24.750-08:00,tutor,tutor,2,,3.0,
,,,£10 is 2189,2023-03-05T16:29:26.420-08:00,2023-03-05T16:29:30.540-08:00,tutor,tutor,2,,3.0,
,,,and 20 let's. Let's not poke on 40 we don't need it.,2023-03-05T16:29:31.630-08:00,2023-03-05T16:29:34.950-08:00,tutor,tutor,2,,3.0,
,,,"And it says that there is a linear relationship between the shipping charge and the weight of the merchandise. So and it's asking us for It's basically asking us for the equation of that line, right?",2023-03-05T16:29:36.730-08:00,2023-03-05T16:29:51.040-08:00,tutor,tutor,2,,3.0,
,,,So we have 4 data points. Actually.,2023-03-05T16:29:53.370-08:00,2023-03-05T16:29:56.510-08:00,tutor,tutor,2,,3.0,
,,,Oh.,2023-03-05T16:29:58.140-08:00,2023-03-05T16:29:58.980-08:00,tutor,tutor,2,,3.0,
,,,do we have enough information to get in line from this.,2023-03-05T16:29:59.480-08:00,2023-03-05T16:30:02.600-08:00,tutor,tutor,2,,3.0,
,,,probably,2023-03-05T16:30:06.510-08:00,2023-03-05T16:30:07.590-08:00,student,student A,2,,3.0,
,,,what we go about that,2023-03-05T16:30:08.110-08:00,2023-03-05T16:30:09.530-08:00,tutor,tutor,2,,3.0,
,,,it would make like a mock graph,2023-03-05T16:30:12.580-08:00,2023-03-05T16:30:15.600-08:00,student,student A,2,,3.0,
,,,and put the,2023-03-05T16:30:16.700-08:00,2023-03-05T16:30:18.530-08:00,student,student A,2,,3.0,
,,,X's and the wise.,2023-03-05T16:30:19.210-08:00,2023-03-05T16:30:21.600-08:00,student,student A,2,,3.0,
,,,Okay. So,2023-03-05T16:30:22.520-08:00,2023-03-05T16:30:24.230-08:00,tutor,tutor,2,,3.0,
,,,"how would we find the specific numbers we, what do we need? We need a slope, and we need an intercept",2023-03-05T16:30:24.260-08:00,2023-03-05T16:30:29.320-08:00,tutor,tutor,2,,3.0,
,,,right?,2023-03-05T16:30:30.960-08:00,2023-03-05T16:30:31.760-08:00,student,student A,2,,3.0,
,,,So how would you? How would you do this?,2023-03-05T16:30:34.240-08:00,2023-03-05T16:30:36.190-08:00,tutor,tutor,2,,3.0,
,,,I'm not too sure. I had some issues with this one.,2023-03-05T16:30:40.790-08:00,2023-03-05T16:30:43.520-08:00,student,student A,2,,3.0,
,,,"Okay? Well, then, what's the general formula for a line?",2023-03-05T16:30:43.820-08:00,2023-03-05T16:30:46.750-08:00,tutor,tutor,2,,3.0,
,,,My mind?,2023-03-05T16:30:54.740-08:00,2023-03-05T16:30:56.530-08:00,student,student A,2,,3.0,
,,,"Would anyone like the Would anyone like to take a step, General: for me a formula for the line",2023-03-05T16:30:57.220-08:00,2023-03-05T16:31:03.350-08:00,tutor,tutor,2,,3.0,
,,,Y equals Mx plus B.,2023-03-05T16:31:06.540-08:00,2023-03-05T16:31:08.330-08:00,student,student B,2,,3.0,
,,,"Okay, what is what? What is M and what is the",2023-03-05T16:31:08.950-08:00,2023-03-05T16:31:11.510-08:00,tutor,tutor,2,,3.0,
,,,I'm? Not sure.,2023-03-05T16:31:22.470-08:00,2023-03-05T16:31:23.370-08:00,student,student A,2,,3.0,
,,,Not looking for a number. I'm. Looking for. What does it represent?,2023-03-05T16:31:24.020-08:00,2023-03-05T16:31:27.800-08:00,tutor,tutor,2,,3.0,
,,,"Oh, oh, well, the is the",2023-03-05T16:31:28.640-08:00,2023-03-05T16:31:33.150-08:00,student,student A,2,,3.0,
,,,Yes. B it which intercept.,2023-03-05T16:31:33.760-08:00,2023-03-05T16:31:35.990-08:00,tutor,tutor,2,,3.0,
,,,Hmm. Why.,2023-03-05T16:31:36.850-08:00,2023-03-05T16:31:39.240-08:00,student,student A,2,,3.0,
,,,"yes, what's M.",2023-03-05T16:31:39.470-08:00,2023-03-05T16:31:40.740-08:00,tutor,tutor,2,,3.0,
,,,M. Is,2023-03-05T16:31:41.430-08:00,2023-03-05T16:31:43.470-08:00,student,student A,2,,3.0,
,,,the slope.,2023-03-05T16:31:44.350-08:00,2023-03-05T16:31:45.370-08:00,student,student A,2,,3.0,
,,,Okay.,2023-03-05T16:31:45.780-08:00,2023-03-05T16:31:46.430-08:00,tutor,tutor,2,,3.0,
,,,Okay.,2023-03-05T16:31:46.530-08:00,2023-03-05T16:31:47.570-08:00,student,student A,2,,3.0,
,,,we have 2 points. We actually have 4 points. So we can get a slope between 2 points right?,2023-03-05T16:31:48.150-08:00,2023-03-05T16:31:57.190-08:00,tutor,tutor,2,,3.0,
,,,"Yes, we can.",2023-03-05T16:31:59.210-08:00,2023-03-05T16:32:00.330-08:00,student,student A,2,,3.0,
,,,"and that's changing. Why, of a change in X right?",2023-03-05T16:32:00.870-08:00,2023-03-05T16:32:03.890-08:00,tutor,tutor,2,,3.0,
,,,Correct.,2023-03-05T16:32:04.220-08:00,2023-03-05T16:32:05.190-08:00,student,student A,2,,3.0,
,,,So,2023-03-05T16:32:06.130-08:00,2023-03-05T16:32:07.000-08:00,tutor,tutor,2,,3.0,
,,,"for simplicity sake, I probably I would probably use the point with",2023-03-05T16:32:07.880-08:00,2023-03-05T16:32:12.610-08:00,tutor,tutor,2,,3.0,
,,,"the points at £10 and points at £20, so it would look something like",2023-03-05T16:32:12.830-08:00,2023-03-05T16:32:18.350-08:00,tutor,tutor,2,,3.0,
,,,it would look something like this with this is the,2023-03-05T16:32:19.470-08:00,2023-03-05T16:32:23.740-08:00,tutor,tutor,2,,3.0,
,,,"where 31.7, 9 is the shipping charge for £20,",2023-03-05T16:32:26.460-08:00,2023-03-05T16:32:31.360-08:00,tutor,tutor,2,,3.0,
,,,"and 21.8, 9 is the shipping charge for",2023-03-05T16:32:32.690-08:00,2023-03-05T16:32:36.940-08:00,tutor,tutor,2,,3.0,
,,,"for £10. Divide up by the difference between the between the weights, which is £10,",2023-03-05T16:32:37.340-08:00,2023-03-05T16:32:42.980-08:00,tutor,tutor,2,,3.0,
,,,we get something that vaguely looks like this right?,2023-03-05T16:32:45.020-08:00,2023-03-05T16:32:47.630-08:00,tutor,tutor,2,,3.0,
,,,Yup.,2023-03-05T16:32:49.110-08:00,2023-03-05T16:32:49.710-08:00,student,student A,2,,3.0,
,,,Would anyone like else like to make take a sat with the next step.,2023-03-05T16:32:53.890-08:00,2023-03-05T16:32:57.580-08:00,tutor,tutor,2,,3.0,
,,,Good!,2023-03-05T16:33:07.470-08:00,2023-03-05T16:33:08.330-08:00,tutor,tutor,2,,3.0,
,,,I don't think so.,2023-03-05T16:33:18.240-08:00,2023-03-05T16:33:19.420-08:00,student,student A,2,,3.0,
,,,And do you have any ideas?,2023-03-05T16:33:20.250-08:00,2023-03-05T16:33:22.530-08:00,tutor,tutor,2,,3.0,
,,,I mean I solved it a different way. So what I did is,2023-03-05T16:33:23.580-08:00,2023-03-05T16:33:26.960-08:00,student,student B,2,,3.0,
,,,kind of just to like process of elimination.,2023-03-05T16:33:27.080-08:00,2023-03-05T16:33:29.480-08:00,student,student B,2,,3.0,
,,,You could do that.,2023-03-05T16:33:30.040-08:00,2023-03-05T16:33:32.640-08:00,tutor,tutor,2,,3.0,
,,,"I mean, yeah.",2023-03-05T16:33:32.800-08:00,2023-03-05T16:33:33.770-08:00,student,student B,2,,3.0,
,,,I think what I did. I was just looking at the first,2023-03-05T16:33:33.980-08:00,2023-03-05T16:33:39.320-08:00,student,student B,2,,3.0,
,,,"one, like the 5 that was corresponding to $16 and 94 cents. And so, you know, we don't have a calculator, but it kind of looked like it would be about",2023-03-05T16:33:39.330-08:00,2023-03-05T16:33:50.550-08:00,student,student A,2,,3.0,
,,,"3 point like answer, c.",2023-03-05T16:33:52.000-08:00,2023-03-05T16:33:54.260-08:00,student,student A,2,,3.0,
,,,"But I think if I had done the rest, it wouldn't have corresponded like i'm thinking just because I felt like during this test. I've been a little bit out of time, and so I probably wouldn't go about doing this whole process. I would probably like, [STUDENT_4] said, to process of elimination. And so if I thought about a little more, I would probably pick.",2023-03-05T16:33:55.990-08:00,2023-03-05T16:34:15.580-08:00,student,student A,2,,3.0,
,,,Yeah.,2023-03-05T16:34:15.860-08:00,2023-03-05T16:34:16.680-08:00,student,student A,2,,3.0,
,,,we can do process of elimination.,2023-03-05T16:34:17.240-08:00,2023-03-05T16:34:19.110-08:00,tutor,tutor,2,,3.0,
,,,"So like I said, C Doesn't really work because it only kind of works with 5. But it doesn't work with the rest of them, because it's not. The shipping charge is not",2023-03-05T16:34:19.460-08:00,2023-03-05T16:34:30.770-08:00,student,student A,2,,3.0,
,,,"times, 3 or nearly times 3, any of them. So C. Is",2023-03-05T16:34:30.820-08:00,2023-03-05T16:34:36.050-08:00,student,student A,2,,3.0,
,,,eliminated.,2023-03-05T16:34:37.130-08:00,2023-03-05T16:34:38.190-08:00,student,student A,2,,3.0,
,,,Okay. with someone else like to eliminate another one,2023-03-05T16:34:42.130-08:00,2023-03-05T16:34:45.770-08:00,tutor,tutor,2,,3.0,
