problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489 (A3),,1.0,Okay.,2023-02-21T02:00:54.710+00:00,2023-02-21T02:00:55.450+00:00,tutor,tutor,1,,,
,,,There you go.,2023-02-21T02:02:33.940+00:00,2023-02-21T02:02:35.350+00:00,tutor,tutor,1,,,
,,,Hello.,2023-02-21T02:07:26.840+00:00,2023-02-21T02:07:27.970+00:00,tutor,tutor,1,,,
,,,hey? Sorry I'm. I'm a little sick. I'm a little sick. So my voice sounds a little bad.,2023-02-21T02:07:29.110+00:00,2023-02-21T02:07:39.160+00:00,student,student A,1,,,
,,,"Yeah, I mean, I new tea helped, so I just like I got every tea bag in my house, and I made like an ultimate tea. I don't know. That's why.",2023-02-21T02:07:39.180+00:00,2023-02-21T02:07:49.660+00:00,student,student A,1,,,
,,,hopefully that out yeah.,2023-02-21T02:07:50.340+00:00,2023-02-21T02:07:52.600+00:00,student,student A,1,,,
,,,are you wearing? Are you wearing a jacket inside?,2023-02-21T02:08:16.670+00:00,2023-02-21T02:08:19.460+00:00,student,student A,1,,,
,,,"I'm wearing like a like a vest? Not really. Is it so cold in New York. No, my house is just. It's not even cold today. It's just. I don't know. I feel comfy and like the best. It actually I think it just started being it was 83 degrees today in Texas. So I think it.",2023-02-21T02:08:19.920+00:00,2023-02-21T02:08:42.590+00:00,student,student A,1,,,
,,,"Wow, I know I was excited. It was like",2023-02-21T02:08:42.890+00:00,2023-02-21T02:08:45.920+00:00,tutor,tutor,1,,,
,,,"almost 50 in New York. Yeah, that's that's warm for New Yorkers. Isn't it? Yeah, it was. It was nice out today. Everyone was like walking around, as everyone was in shorts and like flip flops.",2023-02-21T02:08:46.610+00:00,2023-02-21T02:09:00.630+00:00,tutor,tutor,1,,,
,,,Wow!,2023-02-21T02:09:05.840+00:00,2023-02-21T02:09:06.850+00:00,tutor,tutor,1,,,
,,,They're like it's swimming. It's swimming temperature now.,2023-02-21T02:09:07.100+00:00,2023-02-21T02:09:09.990+00:00,student,student A,1,,,
,,,"Wow, that's crazy. Do a lot of people have pools",2023-02-21T02:09:10.700+00:00,2023-02-21T02:09:14.660+00:00,tutor,tutor,1,,,
,,,in Texas,2023-02-21T02:09:15.450+00:00,2023-02-21T02:09:16.580+00:00,student,student A,1,,,
,,,"Yeah, oh, yeah, in my part of Texas you can't really have that many pools, the limestone barrier and getting one is like",2023-02-21T02:09:16.910+00:00,2023-02-21T02:09:30.840+00:00,student,student A,1,,,
,,,"half ground, half",2023-02-21T02:09:31.020+00:00,2023-02-21T02:09:33.070+00:00,student,student A,1,,,
,,,overground pools. And they're really.,2023-02-21T02:09:33.470+00:00,2023-02-21T02:09:38.550+00:00,student,student A,1,,,
,,,"Oh, nice yeah.",2023-02-21T02:09:38.650+00:00,2023-02-21T02:09:40.710+00:00,tutor,tutor,1,,,
,,,that's good. Do you use it a lot,2023-02-21T02:09:40.960+00:00,2023-02-21T02:09:43.080+00:00,tutor,tutor,1,,,
,,,"only during summer, but it does take a a bit to like, get back after winter, so it's nice to lay out, though.",2023-02-21T02:09:43.160+00:00,2023-02-21T02:09:52.980+00:00,student,student A,1,,,
,,,"Yeah, that's what I I have a pool, and that's what I do. I just kinda like lay out by it.",2023-02-21T02:09:53.220+00:00,2023-02-21T02:09:58.420+00:00,tutor,tutor,1,,,
,,,"Is it like? Oh, my God! You know this people in New York with like that. The greenhouse pools where it's like kind of indoors.",2023-02-21T02:09:58.480+00:00,2023-02-21T02:10:05.940+00:00,student,student A,1,,,
,,,"I don't have that. Now, lunch is just outside.",2023-02-21T02:10:06.370+00:00,2023-02-21T02:10:10.260+00:00,tutor,tutor,1,,,
,,,"What part of the work do you live in, like the countryside, or the city? Or",2023-02-21T02:10:10.430+00:00,2023-02-21T02:10:22.390+00:00,student,student A,1,,,
,,,"Gosh! I think it was during Christmas South West cancelled all of those flights, and so many of my friends were stuck in New York. Really. Yeah, they have to stay in Long Island.",2023-02-21T02:10:22.910+00:00,2023-02-21T02:10:32.950+00:00,student,student A,1,,,
,,,It's not that bad here. I don't know what Long Islands like. I just imagine it's an island.,2023-02-21T02:10:35.730+00:00,2023-02-21T02:10:42.110+00:00,student,student A,1,,,
,,,"Yeah, I mean.",2023-02-21T02:10:42.700+00:00,2023-02-21T02:10:44.840+00:00,tutor,tutor,1,,,
,,,I don't know. I don't know how to describe it. It's just like the suburbs,2023-02-21T02:10:45.450+00:00,2023-02-21T02:10:49.230+00:00,tutor,tutor,1,,,
,,,"I mean, you just have a Long Island accent.",2023-02-21T02:10:49.380+00:00,2023-02-21T02:10:53.310+00:00,student,student A,1,,,
,,,I do. I do. I don't get it.,2023-02-21T02:10:55.190+00:00,2023-02-21T02:10:59.860+00:00,tutor,tutor,1,,,
,,,It's kinda like,2023-02-21T02:11:00.110+00:00,2023-02-21T02:11:01.540+00:00,student,student A,1,,,
,,,Hmm. I don't know it's a little. It's it's like kind of Italian like you know what I mean.,2023-02-21T02:11:01.840+00:00,2023-02-21T02:11:06.580+00:00,student,student A,1,,,
,,,Huh!,2023-02-21T02:11:10.790+00:00,2023-02-21T02:11:11.570+00:00,tutor,tutor,1,,,
