problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495 (A4),,1.0,Good morning. Get everyone.,2023-02-19T15:00:37.320+00:00,2023-02-19T15:00:38.760+00:00,student,student A,1,,,
,,,"or if it's morning for you, that is actually",2023-02-19T15:00:42.630+00:00,2023-02-19T15:00:45.260+00:00,student,student A,1,,,
,,,all right. So today I was thinking that we would start by going over some of the problems from yesterday's test that we didn't get to.,2023-02-19T15:01:23.020+00:00,2023-02-19T15:01:30.730+00:00,tutor,tutor,1,,,
,,,"and then we're going to take another practice test on It will be a 4 with the computer, and then we'll g0 0ver that.",2023-02-19T15:01:30.740+00:00,2023-02-19T15:01:39.330+00:00,tutor,tutor,1,,,
,,,"Alright, so",2023-02-19T15:01:42.460+00:00,2023-02-19T15:01:44.170+00:00,tutor,tutor,1,,,
,-1.0,1.0,"okay, so we already did number one. We already went over that. So let's g0 0ver Number 2 next. So essentially there's events that's 2 point, one miles below the sea surface.",2023-02-19T15:01:57.300+00:00,2023-02-19T15:02:09.360+00:00,tutor,tutor,2,,-1.0,
,,,So we want to see if you want to find how many kilometers.,2023-02-19T15:02:09.490+00:00,2023-02-19T15:02:14.600+00:00,tutor,tutor,2,,-1.0,
,,,"Is it behind the sea surface? So essentially, this is just a problem trying to figure out how to convert miles into kilometers.",2023-02-19T15:02:14.860+00:00,2023-02-19T15:02:22.000+00:00,tutor,tutor,2,,-1.0,
,,,and I believe we actually went over this,2023-02-19T15:02:22.190+00:00,2023-02-19T15:02:25.110+00:00,tutor,tutor,2,,-1.0,
,,,"yesterday, doing unit conversions. So can anybody remind me how we do that",2023-02-19T15:02:25.830+00:00,2023-02-19T15:02:30.360+00:00,tutor,tutor,2,,-1.0,
,,,to cover for one unit to,2023-02-19T15:02:30.410+00:00,2023-02-19T15:02:31.930+00:00,tutor,tutor,2,,-1.0,
,,,you? Put the you essentially. You put 3.1,2023-02-19T15:02:32.600+00:00,2023-02-19T15:02:38.180+00:00,student,student A,2,,-1.0,
,,,over or times points,2023-02-19T15:02:38.320+00:00,2023-02-19T15:02:41.560+00:00,student,student A,2,,-1.0,
,,,times 6. Point 6 2 1 4.,2023-02-19T15:02:41.720+00:00,2023-02-19T15:02:44.640+00:00,student,student A,2,,-1.0,
,,,"Yeah. So you you just read what you have, right? So we have",2023-02-19T15:02:46.310+00:00,2023-02-19T15:02:50.440+00:00,tutor,tutor,2,,-1.0,
,,,even a mouse.,2023-02-19T15:02:50.880+00:00,2023-02-19T15:02:52.260+00:00,tutor,tutor,2,,-1.0,
,,,"and then we want to cover it to kilometers right? So we want to get rid of miles, so what we do",2023-02-19T15:02:52.270+00:00,2023-02-19T15:02:59.720+00:00,tutor,tutor,2,,-1.0,
,,,wouldn't it be one over?,2023-02-19T15:03:00.350+00:00,2023-02-19T15:03:02.450+00:00,student,student A,2,,-1.0,
,,,"Yes, one kilometer correct.",2023-02-19T15:03:03.800+00:00,2023-02-19T15:03:05.890+00:00,tutor,tutor,2,,-1.0,
,,,One kilometer over,2023-02-19T15:03:06.140+00:00,2023-02-19T15:03:07.660+00:00,tutor,tutor,2,,-1.0,
,,,0 point 6 2 1 4 miles. because we want to cancel out the miles,2023-02-19T15:03:08.660+00:00,2023-02-19T15:03:13.430+00:00,tutor,tutor,2,,-1.0,
,,,so,2023-02-19T15:03:14.770+00:00,2023-02-19T15:03:15.750+00:00,tutor,tutor,2,,-1.0,
,,,that will get us our answer of fine.,2023-02-19T15:03:16.330+00:00,2023-02-19T15:03:19.210+00:00,tutor,tutor,2,,-1.0,
,,,"Wait, wait, wait. So when you're counting it out, it's just because you multiply 3.1 times. 1.6 0ne.",2023-02-19T15:03:20.360+00:00,2023-02-19T15:03:29.300+00:00,student,student A,2,,-1.0,
,,,"6 2 1 4, right?",2023-02-19T15:03:29.310+00:00,2023-02-19T15:03:31.940+00:00,student,student A,2,,-1.0,
