problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"Alright, guys welcome back. We'll begin in like a minute or 2.",2023-03-01T16:00:48.320-08:00,2023-03-01T16:00:52.610-08:00,tutor,tutor,1,,,
,,,"But for us, guess we'll get started off with How is Everyone's week.",2023-03-01T16:00:53.310-08:00,2023-03-01T16:00:57.580-08:00,tutor,tutor,1,,,
,,,Good. Okay. Cool.,2023-03-01T16:01:03.600-08:00,2023-03-01T16:01:06.210-08:00,tutor,tutor,1,,,
,,,Our school actually,2023-03-01T16:01:06.580-08:00,2023-03-01T16:01:09.280-08:00,tutor,tutor,1,,,
,,,"had like any sat testing today for all juniors. Yeah, March first. So I got to go to school late.",2023-03-01T16:01:09.700-08:00,2023-03-01T16:01:18.320-08:00,tutor,tutor,1,,,
,,,"Okay, i'll go and get started. I don't think anybody else is joining so welcome back, guys. It's week, 3 day, 2 session, 6 of the schoolhouse. Math sat boot camp",2023-03-01T16:01:38.710-08:00,2023-03-01T16:01:52.350-08:00,tutor,tutor,1,,,
,,,Today we're going to talk about overcoming obstacles.,2023-03-01T16:01:52.730-08:00,2023-03-01T16:01:55.630-08:00,tutor,tutor,1,,,
,,,So our welcome question.,2023-03-01T16:01:57.750-08:00,2023-03-01T16:02:00.830-08:00,tutor,tutor,1,,,
,,,What was a big challenge you face? And how did you overcome it? Would anybody like to share.,2023-03-01T16:02:01.100-08:00,2023-03-01T16:02:07.460-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-01T16:02:23.800-08:00,2023-03-01T16:02:25.430-08:00,tutor,tutor,1,,,
,,,i'll go ahead and share. So one challenge I face was during Covid. I signed myself up for like a half Marathon. and that was like my first half Marathon at the time. so,2023-03-01T16:02:26.450-08:00,2023-03-01T16:02:39.700-08:00,tutor,tutor,1,,,
,,,like it was pretty challenging. It probably hadn't run more than like 3 or 4 miles and a half. Marathon is 13 miles. so I had to trade a lot for it.,2023-03-01T16:02:40.010-08:00,2023-03-01T16:02:50.610-08:00,tutor,tutor,1,,,
,,,"and I created a training plan. It's like 3 days a week, good rest good recovery, and I stuck to it. So with that training plan it really hoped, and",2023-03-01T16:02:50.870-08:00,2023-03-01T16:03:04.130-08:00,tutor,tutor,1,,,
,,,I ended up having a sub 10 min base at the which is pretty cool.,2023-03-01T16:03:04.250-08:00,2023-03-01T16:03:10.720-08:00,tutor,tutor,1,,,
,,,And.,2023-03-01T16:03:14.210-08:00,2023-03-01T16:03:15.400-08:00,tutor,tutor,1,,,
,,,"[STUDENT_4], do you have any challenge that you like to share?",2023-03-01T16:03:16.530-08:00,2023-03-01T16:03:19.850-08:00,tutor,tutor,1,,,
,,,"Yeah, do you have a challenge? It's similar to your story. Almost. What kind of my whole running like I would say journey in general",2023-03-01T16:03:21.670-08:00,2023-03-01T16:03:28.110-08:00,student,student A,1,,,
,,,"whenever I started out like i'd say one third of actually in my eighth grade. But I would say, for the first time in my high school years, which was my freshman in software years",2023-03-01T16:03:28.700-08:00,2023-03-01T16:03:37.290-08:00,student,student A,1,,,
,,,"I had like injuries, and",2023-03-01T16:03:38.030-08:00,2023-03-01T16:03:39.760-08:00,student,student A,1,,,
,,,you're in the,2023-03-01T16:03:40.120-08:00,2023-03-01T16:03:41.180-08:00,student,student A,1,,,
,,,"and like me, pains. and so on. And so",2023-03-01T16:03:41.300-08:00,2023-03-01T16:03:45.590-08:00,student,student A,1,,,
,,,"I just had like a of challenges with that in general, throughout all my season, because I ran across country, and and how I've ever came in is I've just been a while mercant with my",2023-03-01T16:03:45.680-08:00,2023-03-01T16:03:55.780-08:00,student,student A,1,,,
,,,making sure,2023-03-01T16:03:56.380-08:00,2023-03-01T16:03:57.050-08:00,student,student A,1,,,
,,,awesome.,2023-03-01T16:03:57.530-08:00,2023-03-01T16:03:58.200-08:00,student,student A,1,,,
,,,"Yeah. Consistency, it practices key. Don't want to hear yourself.",2023-03-01T16:03:59.190-08:00,2023-03-01T16:04:03.670-08:00,tutor,tutor,1,,,
,,,"Okay, If",2023-03-01T16:04:06.860-08:00,2023-03-01T16:04:08.380-08:00,tutor,tutor,1,,,
,,,If you guys don't feel comfortable with talking and sharing.,2023-03-01T16:04:08.890-08:00,2023-03-01T16:04:11.400-08:00,tutor,tutor,1,,,
,,,you guys can share share in chat if you want.,2023-03-01T16:04:11.520-08:00,2023-03-01T16:04:14.330-08:00,tutor,tutor,1,,,
,,,But i'll go ahead and move on from this question.,2023-03-01T16:04:15.240-08:00,2023-03-01T16:04:18.150-08:00,tutor,tutor,1,,,
,,,There's a picture,2023-03-01T16:04:21.340-08:00,2023-03-01T16:04:22.820-08:00,tutor,tutor,1,,,
,,,alright. The curriculum for today is we're going to start off with a no count practice test. That'll take 25 min. and we'll review the practice test for 25 min.,2023-03-01T16:04:24.690-08:00,2023-03-01T16:04:35.260-08:00,tutor,tutor,1,,,
,,,and then for the last 20 min we'll do some group practice on just like general topics that,2023-03-01T16:04:35.630-08:00,2023-03-01T16:04:41.680-08:00,tutor,tutor,1,,,
,,,"we haven't covered yet, and like anything that we struggle with on any test.",2023-03-01T16:04:41.880-08:00,2023-03-01T16:04:46.460-08:00,tutor,tutor,1,,,
,,,it's not good.,2023-03-01T16:04:47.140-08:00,2023-03-01T16:04:48.200-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-01T16:04:49.720-08:00,2023-03-01T16:04:50.400-08:00,tutor,tutor,1,,,
,,,So,2023-03-01T16:04:51.490-08:00,2023-03-01T16:04:52.570-08:00,tutor,tutor,1,,,
,,,we'll go ahead and get started with the first test.,2023-03-01T16:04:52.700-08:00,2023-03-01T16:04:56.280-08:00,tutor,tutor,1,,,
,,,"I'll give you guys a minute to get yourself together. Get some paper, your pencil. This is no calculator, so",2023-03-01T16:04:56.980-08:00,2023-03-01T16:05:05.710-08:00,tutor,tutor,1,,,
,,,please refrain from using a calculator.,2023-03-01T16:05:07.900-08:00,2023-03-01T16:05:10.710-08:00,tutor,tutor,1,,,
,,,"Let's see. Yeah, I'll give you guys a minute, and then i'll open it.",2023-03-01T16:05:11.630-08:00,2023-03-01T16:05:15.300-08:00,tutor,tutor,1,,,
,,,and i'll set a timer up on the screen.,2023-03-01T16:05:17.060-08:00,2023-03-01T16:05:18.890-08:00,tutor,tutor,1,,,
