problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,So,2023-02-17T14:59:16.830+00:00,2023-02-17T14:59:17.750+00:00,tutor,tutor,1,,,
,,,i'm looking.,2023-02-17T14:59:40.850+00:00,2023-02-17T14:59:41.750+00:00,tutor,tutor,1,,,
,,,I just wait a couple of minutes for others to join.,2023-02-17T15:03:36.360+00:00,2023-02-17T15:03:38.850+00:00,tutor,tutor,1,,,
,,,All right. We'll start. Could you all please turn on your cameras.,2023-02-17T15:05:44.510+00:00,2023-02-17T15:05:48.460+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-17T15:06:32.820+00:00,2023-02-17T15:06:33.640+00:00,tutor,tutor,1,,,
,,,Can you guys see my screen?,2023-02-17T15:06:40.350+00:00,2023-02-17T15:06:42.000+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-17T15:06:45.330+00:00,2023-02-17T15:06:46.150+00:00,tutor,tutor,1,,,
,,,So i'll start by asking you guys a question.,2023-02-17T15:06:47.140+00:00,2023-02-17T15:06:51.970+00:00,tutor,tutor,1,,,
,,,"I want to ask you, what are each of what score are each of you aiming for in the City match section, so that I can get a better idea.",2023-02-17T15:06:52.660+00:00,2023-02-17T15:07:00.220+00:00,tutor,tutor,1,,,
,,,What's the maximum score?,2023-02-17T15:07:15.270+00:00,2023-02-17T15:07:17.060+00:00,student,student A,1,,,
,,,"800? So it's like 600 to No, no, yeah. 800.",2023-02-17T15:07:18.830+00:00,2023-02-17T15:07:23.270+00:00,student,student A,1,,,
,,,And it's 10 points per question. Right?,2023-02-17T15:07:23.330+00:00,2023-02-17T15:07:25.550+00:00,student,student A,1,,,
,,,"Not exactly 10 points per question depending on how many questions you get wrong, you lose marks.",2023-02-17T15:07:26.370+00:00,2023-02-17T15:07:33.460+00:00,student,student A,1,,,
,,,So let's say you get 2 questions wrong. You might lose 20 0r 30 marks and let's say you get 6 7 0r 8 questions wrong you. You might lose,2023-02-17T15:07:34.250+00:00,2023-02-17T15:07:44.380+00:00,tutor,tutor,1,,,
,,,50 t0 60 marks something like that.,2023-02-17T15:07:44.440+00:00,2023-02-17T15:07:47.400+00:00,tutor,tutor,1,,,
,,,"so I guess I wouldn't. I don't want to miss more than like 5 questions, maybe. So whatever that score is. I don't want to miss",2023-02-17T15:07:47.919+00:00,2023-02-17T15:07:56.110+00:00,student,student A,1,,,
,,,"more than 5 0r 6, I guess, on the math section.",2023-02-17T15:07:56.220+00:00,2023-02-17T15:07:59.540+00:00,student,student A,1,,,
,,,Hmm.,2023-02-17T15:08:00.420+00:00,2023-02-17T15:08:01.090+00:00,tutor,tutor,1,,,
,,,One is somewhere around 700.,2023-02-17T15:08:14.640+00:00,2023-02-17T15:08:18.210+00:00,student,student B,1,,,
,,,Okay?,2023-02-17T15:08:20.600+00:00,2023-02-17T15:08:21.560+00:00,tutor,tutor,1,,,
,,,And does anyone else want to share?,2023-02-17T15:08:23.150+00:00,2023-02-17T15:08:25.550+00:00,tutor,tutor,1,,,
,,,I think I want to get over like 700.,2023-02-17T15:08:26.930+00:00,2023-02-17T15:08:31.410+00:00,student,student C,1,,,
,,,That's that's good others.,2023-02-17T15:08:32.230+00:00,2023-02-17T15:08:35.710+00:00,tutor,tutor,1,,,
,,,All right.,2023-02-17T15:08:53.850+00:00,2023-02-17T15:08:54.870+00:00,tutor,tutor,1,,,
,,,Just a nice breaker question if anyone wants to go ahead. What's your favorite subject? As good?,2023-02-17T15:08:59.960+00:00,2023-02-17T15:09:06.830+00:00,tutor,tutor,1,,,
,,,I would have to go with history.,2023-02-17T15:09:12.350+00:00,2023-02-17T15:09:15.610+00:00,tutor,tutor,1,,,
,,,That's nice.,2023-02-17T15:09:17.350+00:00,2023-02-17T15:09:18.590+00:00,tutor,tutor,1,,,
,,,all right.,2023-02-17T15:09:23.920+00:00,2023-02-17T15:09:25.330+00:00,student,student D,1,,,
,,,Probably English. So like writing and reading and stuff.,2023-02-17T15:09:27.800+00:00,2023-02-17T15:09:31.280+00:00,student,student A,1,,,
,,,"Nice, nice.",2023-02-17T15:09:32.200+00:00,2023-02-17T15:09:34.090+00:00,tutor,tutor,1,,,
,,,Okay. So i'll just tell you something a bit about schoolhouse.,2023-02-17T15:09:44.710+00:00,2023-02-17T15:09:49.860+00:00,tutor,tutor,1,,,
,,,"If any one of you want one on one homework, health, and schoolhouse offers this option, and every week the evening they this",2023-02-17T15:09:49.970+00:00,2023-02-17T15:10:02.020+00:00,tutor,tutor,1,,,
,,,and sessions ahead.,2023-02-17T15:10:02.260+00:00,2023-02-17T15:10:03.790+00:00,tutor,tutor,1,,,
,,,"And if you want small group tutoring also in various subjects, math or desktop, and other subjects. Then",2023-02-17T15:10:03.880+00:00,2023-02-17T15:10:13.500+00:00,tutor,tutor,1,,,
,,,"schoolhouse provides this facility also, so you can go ahead and explore the website. and it offers a lot of subjects. So you can see some of the subjects and courses over here.",2023-02-17T15:10:13.590+00:00,2023-02-17T15:10:26.790+00:00,tutor,tutor,1,,,
,,,"and just just explore the website a bit, and",2023-02-17T15:10:27.000+00:00,2023-02-17T15:10:32.080+00:00,tutor,tutor,1,,,
,,,"if you want some help, then you can really take advantage of this website.",2023-02-17T15:10:32.200+00:00,2023-02-17T15:10:36.340+00:00,tutor,tutor,1,,,
,,,So for today we'll start off with some with reviewing some concepts.,2023-02-17T15:10:38.300+00:00,2023-02-17T15:10:44.380+00:00,tutor,tutor,1,,,
,,,"and then we'll do a practice test for 20 min, Calculator. And we'll review that test",2023-02-17T15:10:44.480+00:00,2023-02-17T15:10:51.660+00:00,tutor,tutor,1,,,
,,,all right,2023-02-17T15:10:56.470+00:00,2023-02-17T15:10:57.680+00:00,tutor,tutor,1,,,
,,,before before starting. I just wanted to ask,2023-02-17T15:10:59.720+00:00,2023-02-17T15:11:03.460+00:00,tutor,tutor,1,,,
,,,for some of you. It may be morning right. So do you guys have school or anything.,2023-02-17T15:11:03.970+00:00,2023-02-17T15:11:08.890+00:00,tutor,tutor,1,,,
,,,and that's cool.,2023-02-17T15:11:11.380+00:00,2023-02-17T15:11:12.650+00:00,student,student E,1,,,
,,,Same: I'm. From schooled.,2023-02-17T15:11:15.420+00:00,2023-02-17T15:11:18.530+00:00,student,student D,1,,,
,,,I have school. I usually have to leave at like,2023-02-17T15:11:19.240+00:00,2023-02-17T15:11:23.600+00:00,student,student C,1,,,
,,,"8 8 10, so sometimes I might have to leave early.",2023-02-17T15:11:24.400+00:00,2023-02-17T15:11:29.080+00:00,student,student C,1,,,
,,,"Yeah, that's fine.",2023-02-17T15:11:29.620+00:00,2023-02-17T15:11:30.940+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-17T15:11:32.440+00:00,2023-02-17T15:11:33.300+00:00,tutor,tutor,1,,,
,,,I'll start.,2023-02-17T15:11:35.300+00:00,2023-02-17T15:11:36.520+00:00,tutor,tutor,1,,,
,,,So,2023-02-17T15:11:41.260+00:00,2023-02-17T15:11:42.420+00:00,tutor,tutor,1,,,
,,,we'll start off with,2023-02-17T15:11:44.330+00:00,2023-02-17T15:11:45.850+00:00,tutor,tutor,1,,,
,,,radical equations.,2023-02-17T15:11:51.000+00:00,2023-02-17T15:11:52.820+00:00,tutor,tutor,1,,,
,,,"So what are radical equations. radical, radical equations. Are basically any equations which have a square root. So something like X square is equal to let's say 2 X.",2023-02-17T15:12:02.970+00:00,2023-02-17T15:12:17.060+00:00,tutor,tutor,1,,,
,,,So that's a radical equation. And how do you? How do you solve for a radical equation? Can anybody tell me?,2023-02-17T15:12:18.200+00:00,2023-02-17T15:12:26.310+00:00,tutor,tutor,1,,,
,,,"Yeah, you square both sides. So when I square the left hand side, it comes to be X squared.",2023-02-17T15:12:34.730+00:00,2023-02-17T15:12:40.620+00:00,tutor,tutor,1,,,
,,,the right hand side will be 4 X squared.,2023-02-17T15:12:40.920+00:00,2023-02-17T15:12:43.740+00:00,tutor,tutor,1,,,
,,,and we will get,2023-02-17T15:12:44.440+00:00,2023-02-17T15:12:47.250+00:00,tutor,tutor,1,,,
,,,"t X squared is equal t0 0, so X squared is equal t0 0, and X is equal t0 0.",2023-02-17T15:12:48.460+00:00,2023-02-17T15:12:56.920+00:00,tutor,tutor,1,,,
,,,So it's pretty straightforward.,2023-02-17T15:12:58.840+00:00,2023-02-17T15:13:02.580+00:00,tutor,tutor,1,,,
,-1.0,1.0,Just try an example. Question.,2023-02-17T15:13:03.430+00:00,2023-02-17T15:13:06.030+00:00,tutor,tutor,2,,-1.0,
,,,Second,2023-02-17T15:13:09.590+00:00,2023-02-17T15:13:10.370+00:00,tutor,tutor,2,,-1.0,
,,,route.,2023-02-17T15:13:15.890+00:00,2023-02-17T15:13:16.960+00:00,tutor,tutor,2,,-1.0,
,,,Yeah.,2023-02-17T15:13:23.680+00:00,2023-02-17T15:13:24.240+00:00,tutor,tutor,2,,-1.0,
,,,Through 2 X minus 9,2023-02-17T15:13:24.770+00:00,2023-02-17T15:13:30.000+00:00,tutor,tutor,2,,-1.0,
,,,is equal to X minus 6.,2023-02-17T15:13:31.340+00:00,2023-02-17T15:13:35.340+00:00,tutor,tutor,2,,-1.0,
,,,"Okay, before you solve this question, there's one thing i'll tell you guys.",2023-02-17T15:13:35.700+00:00,2023-02-17T15:13:40.770+00:00,tutor,tutor,2,,-1.0,
,,,for these radical equations.,2023-02-17T15:13:41.620+00:00,2023-02-17T15:13:44.200+00:00,tutor,tutor,2,,-1.0,
,,,Oftentimes you get 2 solutions.,2023-02-17T15:13:44.690+00:00,2023-02-17T15:13:47.670+00:00,tutor,tutor,2,,-1.0,
,,,But both solutions are not always right. So,2023-02-17T15:13:47.700+00:00,2023-02-17T15:13:52.510+00:00,tutor,tutor,2,,-1.0,
,,,"assuming, let's say, the question was some.",2023-02-17T15:13:52.770+00:00,2023-02-17T15:13:57.290+00:00,tutor,tutor,2,,-1.0,
,,,"The question was, some root. X is equal to something. and for X you got the values as minus one. and for",2023-02-17T15:13:59.240+00:00,2023-02-17T15:14:10.110+00:00,tutor,tutor,2,,-1.0,
,,,"but if you substitute the value of minus one in X, then it will come as root minus one.",2023-02-17T15:14:10.650+00:00,2023-02-17T15:14:16.250+00:00,tutor,tutor,2,,-1.0,
,,,"and there there is no solution like there's no solution for that. It's it's a matt, and, like you, you. because it's negative. There's no square root of a negative number. Right?",2023-02-17T15:14:16.480+00:00,2023-02-17T15:14:28.270+00:00,tutor,tutor,2,,-1.0,
,,,So you can't say that minus one is is a solution. So in that case you have to ignore it and just take forward as a solution,2023-02-17T15:14:28.280+00:00,2023-02-17T15:14:35.520+00:00,tutor,tutor,2,,-1.0,
,,,so based on that. Can anyone,2023-02-17T15:14:36.730+00:00,2023-02-17T15:14:40.860+00:00,tutor,tutor,2,,-1.0,
,,,help us solve this question?,2023-02-17T15:14:41.010+00:00,2023-02-17T15:14:42.770+00:00,tutor,tutor,2,,-1.0,
,,,Does anyone want to go ahead and tell what the first step should be,2023-02-17T15:15:08.950+00:00,2023-02-17T15:15:12.710+00:00,tutor,tutor,2,,-1.0,
,,,square.,2023-02-17T15:15:15.650+00:00,2023-02-17T15:15:17.450+00:00,student,student A,2,,-1.0,
,,,"S0 0n the left side we get 2 x minus 9,",2023-02-17T15:15:20.140+00:00,2023-02-17T15:15:23.650+00:00,tutor,tutor,2,,-1.0,
,,,6. That's correct. What does this when we expand this? What do we get?,2023-02-17T15:15:25.720+00:00,2023-02-17T15:15:31.900+00:00,tutor,tutor,2,,-1.0,
,,,X squared minus 12 x plus 36,2023-02-17T15:15:34.980+00:00,2023-02-17T15:15:38.420+00:00,student,student A,2,,-1.0,
,,,correct,2023-02-17T15:15:40.160+00:00,2023-02-17T15:15:40.880+00:00,tutor,tutor,2,,-1.0,
,,,"6, so we can subtract both sides by 2, X minus 9, and we get",2023-02-17T15:15:44.390+00:00,2023-02-17T15:15:51.760+00:00,tutor,tutor,2,,-1.0,
,,,this will turn out to be Well. what's the factorized form of this?,2023-02-17T15:16:15.700+00:00,2023-02-17T15:16:21.630+00:00,tutor,tutor,2,,-1.0,
,,,"Or rather, what values of X. Do you get?",2023-02-17T15:16:25.490+00:00,2023-02-17T15:16:28.329+00:00,tutor,tutor,2,,-1.0,
,,,30 and 15?,2023-02-17T15:16:46.420+00:00,2023-02-17T15:16:47.800+00:00,student,student E,2,,-1.0,
,,,It's 9 and 5.,2023-02-17T15:17:04.770+00:00,2023-02-17T15:17:06.180+00:00,student,student A,2,,-1.0,
,,,Yeah. So,2023-02-17T15:17:08.120+00:00,2023-02-17T15:17:10.590+00:00,tutor,tutor,2,,-1.0,
,,,"So when i'm solving for it. I am also getting X is equal t0 9, and X is equal to It's fine.",2023-02-17T15:17:15.760+00:00,2023-02-17T15:17:25.270+00:00,tutor,tutor,2,,-1.0,
,,,so let's check. If let's check by substituting the values.,2023-02-17T15:17:30.150+00:00,2023-02-17T15:17:36.920+00:00,tutor,tutor,2,,-1.0,
,,,"S0 2 times 9 root of 2 2 int0 9 minus 9,",2023-02-17T15:17:43.860+00:00,2023-02-17T15:17:48.210+00:00,tutor,tutor,2,,-1.0,
,,,"which is root 9, that's 3, and over here 9 minus 6 comes to bt.",2023-02-17T15:17:48.510+00:00,2023-02-17T15:17:54.140+00:00,tutor,tutor,2,,-1.0,
,,,"and when we take 5 it's root of 2 and 5 minus 9, which is root one.",2023-02-17T15:17:54.610+00:00,2023-02-17T15:17:59.600+00:00,tutor,tutor,2,,-1.0,
,,,"which is one, and here it's 5 minus 6, which is minus one. So I think I have made an editor somewhere.",2023-02-17T15:17:59.700+00:00,2023-02-17T15:18:09.850+00:00,tutor,tutor,2,,-1.0,
,,,"or is 5, not a solution.",2023-02-17T15:18:14.690+00:00,2023-02-17T15:18:16.590+00:00,student,student A,2,,-1.0,
,,,1 s. Let me just check.,2023-02-17T15:18:21.420+00:00,2023-02-17T15:18:24.490+00:00,student,student A,2,,-1.0,
,,,"Yeah. So, as I said, there will always be some solutions that do not fit. So you have to substitute this in the question. And for this question",2023-02-17T15:19:02.680+00:00,2023-02-17T15:19:14.670+00:00,tutor,tutor,2,,-1.0,
,,,the answer is just,2023-02-17T15:19:16.730+00:00,2023-02-17T15:19:18.310+00:00,tutor,tutor,2,,-1.0,
,,,1 s.,2023-02-17T15:19:22.730+00:00,2023-02-17T15:19:23.580+00:00,tutor,tutor,2,,-1.0,
,,,Yeah.,2023-02-17T15:19:49.170+00:00,2023-02-17T15:19:49.870+00:00,tutor,tutor,2,,-1.0,
,,,So this question the solution is just: X is equal t0 9.,2023-02-17T15:19:50.250+00:00,2023-02-17T15:19:54.500+00:00,tutor,tutor,2,,-1.0,
,,,Did you all get that? So it it's important that once you get the 2 answers you you substitute it,2023-02-17T15:20:00.320+00:00,2023-02-17T15:20:08.300+00:00,tutor,tutor,2,,-1.0,
